50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_lost_in_play,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,team_id,timestamp,type,under_pressure,x,y,end_x,end_y,x1_bin,y1_bin,x2_bin,y2_bin,start_zone_value,end_zone_value,pass_xT,progressive_xT,expected_assists_xA,shot_statsbomb_xg_cum,xg_chain,xg_buildup,Extraction Date,match_date,season,competition,h2h
,,,,,,,,,,,,,,,,,,2.0266,,,,,,,,,,,,,,00f4a293-2baf-432c-b951-5f87f33aafe3,3473,,"[80.1, 12.2]",69308,77,,,,True,0.69066,,,,,,"[92.2, 22.2]",,High Pass,,15.697452,,,,Pedro Eliezer Rodríguez Ledesma,,,,,,2,From Free Kick,Seydou Kéita,20169.0,Left Center Midfield,176,Barcelona,217,"['48a71cb3-43da-413d-87dc-c9fb1d3629a0', '5fda9624-22b1-4395-887a-f7dccd53a097']",47,,,,,,,,,,,,,,,Barcelona,217,00:32:47.522,Pass,True,80.1,12.2,92.2,22.2,7,1,9,2,0.018703,0.028552,0.009849,0.009849,,,,,2024-09-07 18:28:34.847674,2010-11-13,2010/2011,Spain - La Liga,Barcelona vs Villarreal
,,,,,,,,,,,,,,,,,,0.9036,,,,,,,,,,,,,,655a84d7-208f-40cd-9537-5862b5a45342,3479,,"[13.7, 66.0]",69308,77,,,,,0.45333868,,Right Foot,,,,"[21.5, 69.8]",,Low Pass,,8.676405,,,,Marcos Antonio Senna da Silva,,,,,,2,Regular Play,Carlos Marchena López,20127.0,Right Center Back,177,Villarreal,222,['dbf6740b-7178-48a8-9ece-969a8c173b49'],52,,,,,,,,,,,,,,,Villarreal,222,00:32:52.300,Pass,,13.7,66.0,21.5,69.8,1,6,2,6,0.008786,0.009424,0.0006379999999999997,0.0006379999999999997,,,,,2024-09-07 18:28:34.847674,2010-11-13,2010/2011,Spain - La Liga,Barcelona vs Villarreal
,,,,,,,,,,,,,,,,,,1.098156,,,,,,,,,,,,,,a5158f8e-dd4a-48f4-83ba-c9f26e293317,3482,,"[21.5, 69.8]",69308,77,,,,,-1.9897453,,Right Foot,,,,"[15.8, 57.0]",,Low Pass,,14.011781,,,,Ángel Domingo López Ruano,,,,,,2,Regular Play,Marcos Antonio Senna da Silva,20135.0,Right Defensive Midfield,177,Villarreal,222,['24a96ffd-c616-431f-91a3-92c55ed74a4c'],53,,,,,,,,,,,,,,,Villarreal,222,00:32:53.220,Pass,,21.5,69.8,15.8,57.0,1,6,1,5,0.008786,0.009777,0.0009909999999999988,0.0009909999999999988,,,,,2024-09-07 18:28:34.847674,2010-11-13,2010/2011,Spain - La Liga,Barcelona vs Villarreal
,,,,,,,,,,,,,,,,,,1.0379,,,,,,,,,,,,,,142c0eb8-9666-496d-8cd5-291cc33cd699,3485,,"[20.7, 56.8]",69308,77,,,,,-0.27829966,,Right Foot,,,,"[44.5, 50.0]",,Low Pass,,24.752373,,,,Santiago Cazorla González,,,,,,2,Regular Play,Ángel Domingo López Ruano,25984.0,Right Back,177,Villarreal,222,['00614db5-138f-4627-a37b-2ba3415741b0'],55,,,,,,,,,,,,,,,Villarreal,222,00:32:55.553,Pass,,20.7,56.8,44.5,50.0,1,5,4,4,0.009777,0.012626,0.002849000000000001,0.002849000000000001,,,,,2024-09-07 18:28:34.847674,2010-11-13,2010/2011,Spain - La Liga,Barcelona vs Villarreal
,,,,,,,,,,,,,,,,,,3.0262,,,,,,,,,,,,,,19156a4b-a9ce-47ce-8778-6f567cc89e09,3488,,"[48.6, 61.9]",69308,77,,,,,0.2153577,,Right Foot,,,,"[87.0, 70.3]",,Ground Pass,,39.308014,,Incomplete,,Jefferson Antonio Montero Vite,,,,,,2,Regular Play,Santiago Cazorla González,11386.0,Left Midfield,177,Villarreal,222,"['8621c16f-790c-47e4-973b-7b14acc32c4b', 'db4e030d-0357-4304-b0ae-f7f5b1108803']",58,,,,,,,,,,,,,,,Villarreal,222,00:32:58.632,Pass,,48.6,61.9,87.0,70.3,4,6,8,6,0.012147,0.024015,0.011868000000000002,0.011868000000000002,,,,,2024-09-07 18:28:34.847674,2010-11-13,2010/2011,Spain - La Liga,Barcelona vs Villarreal
,,,,,,,,,,,,,,,,,,1.2582,,,,,,,,,,,,,,e681ee87-1b35-4537-9846-544238b70b70,3496,,"[96.4, 73.9]",69308,78,,,,,-2.0975468,,Right Foot,,,,"[88.2, 59.8]",,Ground Pass,,16.311039,,,,Giuseppe Rossi,,,,,,2,Regular Play,Jefferson Antonio Montero Vite,7063.0,Right Midfield,177,Villarreal,222,"['0b1b0a14-7fd6-4842-b617-d626356d3715', 'a9a9d421-8e39-4dcf-8926-b2774c20f185']",5,,,,,,,,,,,,,,,Villarreal,222,00:33:05.185,Pass,True,96.4,73.9,88.2,59.8,9,7,8,5,0.027563,0.024122,-0.0034409999999999996,0.0,,,,,2024-09-07 18:28:34.847674,2010-11-13,2010/2011,Spain - La Liga,Barcelona vs Villarreal
,,,,,,,,,,,,,,,,,,0.722213,,,,,,,,,,,,,,a86d1648-c615-4be9-91dc-30d5994dd72a,3502,,"[35.2, 38.7]",69308,78,,,,,-1.1884173,,Left Foot,,,,"[38.9, 29.5]",,Ground Pass,,9.916148,,,,Xavier Hernández Creus,,,,,Recovery,2,Regular Play,Seydou Kéita,20169.0,Left Center Midfield,178,Barcelona,217,['8c057df4-c77c-4d9a-a243-5f0636cbeea0'],9,,,,,,,,,,,,,,,Barcelona,217,00:33:09.754,Pass,,35.2,38.7,38.9,29.5,3,3,3,2,0.011324,0.011105,-0.00021900000000000044,0.0,,,,,2024-09-07 18:28:34.847674,2010-11-13,2010/2011,Spain - La Liga,Barcelona vs Villarreal
,,,,,,,,,,,,,,,,,,1.651388,,,,,,,,,,,,,,2662e323-351f-442c-bc97-4406f7bb7962,3505,,"[51.2, 40.1]",69308,78,,,,,0.967047,,Right Foot,,,,"[63.2, 57.5]",,Ground Pass,,21.136698,,,,Andrés Iniesta Luján,,,,,,2,Regular Play,Xavier Hernández Creus,20131.0,Right Center Midfield,178,Barcelona,217,['bf12ac37-e061-47c4-b676-ef8a1c190e93'],13,,,,,,,,,,,,,,,Barcelona,217,00:33:13.666,Pass,,51.2,40.1,63.2,57.5,4,3,6,5,0.012626,0.016856,0.004229999999999999,0.004229999999999999,,,,,2024-09-07 18:28:34.847674,2010-11-13,2010/2011,Spain - La Liga,Barcelona vs Villarreal
,,,,,,,,,,,,,,,,,,1.024088,,,,,,,,,,,,,,ae8d2fd9-9596-4688-8eb6-c52dbf1eba3a,3508,,"[68.9, 65.4]",69308,78,,,,,0.710271,,Right Foot,,,,"[78.9, 74.0]",,Ground Pass,,13.189389,,,,Lionel Andrés Messi Cuccittini,,,,,,2,Regular Play,Andrés Iniesta Luján,5216.0,Center Attacking Midfield,178,Barcelona,217,['8e0ef42f-7fea-4d5c-bfce-c71dc5d67b7c'],17,,,,,,,,,,,,,,,Barcelona,217,00:33:17.317,Pass,,68.9,65.4,78.9,74.0,6,6,7,7,0.016118,0.017451,0.0013330000000000009,0.0013330000000000009,,,,,2024-09-07 18:28:34.847674,2010-11-13,2010/2011,Spain - La Liga,Barcelona vs Villarreal
,,,,,,,,,,,,,,,,,,0.9597,,,,,,,,,,,,,,d2f49416-dfef-451f-9a51-1d2b42627116,3511,,"[78.5, 65.6]",69308,78,,,,,-0.2850166,,Left Foot,,,,"[94.2, 61.0]",,Low Pass,,16.360012,,Incomplete,,Daniel Alves da Silva,,,,,,2,Regular Play,Lionel Andrés Messi Cuccittini,5503.0,Right Center Forward,178,Barcelona,217,"['78c2cc02-1d55-4e74-bafd-2df1881afd8f', 'ac4cf342-011b-4ecb-8b05-3f50f00afc96']",20,,,,,,,,,,,,,,,Barcelona,217,00:33:20.885,Pass,,78.5,65.6,94.2,61.0,7,6,9,6,0.018703,0.029533,0.01083,0.01083,,,,,2024-09-07 18:28:34.847674,2010-11-13,2010/2011,Spain - La Liga,Barcelona vs Villarreal
