50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,team_id,timestamp,type,under_pressure,x,y,end_x,end_y,x1_bin,y1_bin,x2_bin,y2_bin,start_zone_value,end_zone_value,pass_xT,progressive_xT,expected_assists_xA,shot_statsbomb_xg_cum,xg_chain,xg_buildup,Extraction Date,match_date,season,competition,h2h
,,,,,,,,,,,,,,,,,2.300374,,,,,,,,,,,,,,,83766a70-dde5-4dc6-8938-f6305787dabb,392,,"[52.9, 12.3]",69305,6,,,,,1.3310533,,Left Foot,,,,"[62.8, 52.8]",,High Pass,,41.692444,,,,Xavier Hernández Creus,,True,,,,1,From Throw In,Gabriel Alejandro Milito,25919.0,Left Center Back,18,Barcelona,217,['40c405c5-3fbf-41d2-a5d7-62cee8d97312'],58,,,,,,,,,,,,,,,Barcelona,217,00:06:58.291,Pass,,52.9,12.3,62.8,52.8,5,1,6,5,0.013845,0.016856,0.003011,0.003011,,,,,2024-09-07 18:28:10.718550,2011-04-09,2010/2011,Spain - La Liga,Barcelona vs Almería
,,,,,,,,,,,,,,,,,1.217034,,,,,,,,,,,,,,,b32cfaf2-1589-4099-9b05-aeb40e290207,396,,"[54.6, 64.4]",69305,7,,,,,-0.20574261,,Right Foot,,,,"[66.1, 62.0]",,Ground Pass,,11.747766,,,,Lionel Andrés Messi Cuccittini,,,,,,1,From Throw In,Xavier Hernández Creus,20131.0,Right Center Midfield,18,Barcelona,217,"['283a5ffc-337c-441d-bc21-9f048fc04ec1', '8d3bedfa-98b2-432c-9b47-791b668720ba']",4,,,,,,,,,,,,,,,Barcelona,217,00:07:04.053,Pass,True,54.6,64.4,66.1,62.0,5,6,6,6,0.013845,0.016118,0.0022730000000000007,0.0022730000000000007,,,,,2024-09-07 18:28:10.718550,2011-04-09,2010/2011,Spain - La Liga,Barcelona vs Almería
,,,,,,,,,,,,,,,,,1.104652,,,,,,,,,,,,,,,e0d8a2a0-03fb-49e8-b8fb-cd091a2d10f2,400,,"[67.1, 67.4]",69305,7,,,,,1.8603,,Left Foot,,,,"[64.3, 76.8]",,Ground Pass,,9.80816,,,,Daniel Alves da Silva,,,,,,1,From Throw In,Lionel Andrés Messi Cuccittini,5503.0,Center Forward,18,Barcelona,217,"['cdf49d92-d8d3-4724-8085-2c84c1653af1', 'd280d3f1-6c9b-4b7b-88d1-346e77fbe97c']",5,,,,,,,,,,,,,,,Barcelona,217,00:07:05.504,Pass,True,67.1,67.4,64.3,76.8,6,6,6,7,0.016118,0.014736,-0.0013819999999999995,0.0,,,,,2024-09-07 18:28:10.718550,2011-04-09,2010/2011,Spain - La Liga,Barcelona vs Almería
,,,,,,,,,,,,,,,,,3.3498,,,,,,,,,,,,,,,1c01c195-a12b-425e-bd0b-6040184705ba,403,,"[64.3, 76.8]",69305,7,,,,,-0.6412855,,Right Foot,,,,"[86.0, 60.6]",,Ground Pass,,27.080067,,Incomplete,,Lionel Andrés Messi Cuccittini,,,,,,1,From Throw In,Daniel Alves da Silva,4324.0,Right Back,18,Barcelona,217,"['75c86d89-05fe-45d2-b101-83cfac2e08b2', 'b2381e88-2582-4e7e-8473-0178ac2006c9']",6,,,,,,,,,,,,,,,Barcelona,217,00:07:06.627,Pass,,64.3,76.8,86.0,60.6,6,7,8,6,0.014736,0.024015,0.009279,0.009279,,,,,2024-09-07 18:28:10.718550,2011-04-09,2010/2011,Spain - La Liga,Barcelona vs Almería
,,,,,,,,,,,,,,,,,0.7584,,,,,,,,,,,,,,,75c86d89-05fe-45d2-b101-83cfac2e08b2,406,,"[35.0, 20.4]",69305,7,,,,,1.0004131,,Right Foot,,,,"[41.8, 31.0]",,Ground Pass,,12.593649,,,,Juan Jesús Gutiérrez Robles,,,,,Recovery,1,Regular Play,Juan Manuel Ortiz Palazón,26440.0,Right Wing,19,Almería,403,"['1c01c195-a12b-425e-bd0b-6040184705ba', '64a9d745-33b0-4d81-8cc5-6ab012608355', 'e5b25869-7a33-46e0-8ac8-92325bce014d']",9,,,,,,,,,,,,,,,Almería,403,00:07:09.977,Pass,True,35.0,20.4,41.8,31.0,3,1,3,3,0.010595,0.011324,0.0007290000000000005,0.0007290000000000005,,,,,2024-09-07 18:28:10.718550,2011-04-09,2010/2011,Spain - La Liga,Barcelona vs Almería
,,,,,,,,,,,,,,,,,0.9146,,,,,,,,,,,,,,,c96b6554-fda8-4d1f-956a-0ed9d3d82c71,409,,"[41.8, 31.0]",69305,7,,,,,-1.6110971,,Right Foot,,,,"[41.3, 18.6]",,Low Pass,,12.410076,,,,Hernán Darío Bernardello,,,,,,1,Regular Play,Juan Jesús Gutiérrez Robles,25883.0,Left Defensive Midfield,19,Almería,403,['626ef20b-0603-48ea-a497-ccbebd635e8f'],10,,,,,,,,,,,,,,,Almería,403,00:07:10.742,Pass,,41.8,31.0,41.3,18.6,3,3,3,1,0.011324,0.010595,-0.0007290000000000005,0.0,,,,,2024-09-07 18:28:10.718550,2011-04-09,2010/2011,Spain - La Liga,Barcelona vs Almería
,,,,,,,,,,,,,,,,,1.699455,,,,,,,,,,,,,,,12972fce-7380-4f28-83b2-c308195dcd3f,412,,"[42.7, 19.0]",69305,7,,,,,0.75207716,,Head,,,,"[48.9, 24.8]",,Low Pass,,8.489994,,Incomplete,,,,,,,,1,Regular Play,Hernán Darío Bernardello,26651.0,Right Defensive Midfield,19,Almería,403,"['2e2a79b8-7a0a-4780-ada0-ad35ce50b401', 'b76910bd-fb0a-4896-88ac-e7456320a199']",11,,,,,,,,,,,,,,,Almería,403,00:07:11.656,Pass,True,42.7,19.0,48.9,24.8,4,1,4,2,0.012147,0.012692,0.0005450000000000003,0.0005450000000000003,,,,,2024-09-07 18:28:10.718550,2011-04-09,2010/2011,Spain - La Liga,Barcelona vs Almería
,,,,,,,,,,,,,,,,,0.8494,,,,,,,,,,,,,,,97c7199a-dc42-4833-918e-595dbeeb04f5,421,,"[42.3, 4.6]",69305,7,,,,,2.3184764,,Right Foot,,,,"[27.0, 21.1]",,Ground Pass,,22.502,,,,Santiago Wilmer Acasiete Ariadela,,,,,,1,Regular Play,Juan Manuel Ortiz Palazón,26440.0,Right Wing,19,Almería,403,['e41a9125-ad1c-42ce-9e75-1a722e85470d'],20,,,,,,,,,,,,,,,Almería,403,00:07:20.971,Pass,,42.3,4.6,27.0,21.1,4,0,2,2,0.011263,0.010013,-0.0012500000000000011,0.0,,,,,2024-09-07 18:28:10.718550,2011-04-09,2010/2011,Spain - La Liga,Barcelona vs Almería
,,,,,,,,,,,,,,,,,4.0897,,,,,,,,,,,,,,,6b624393-0fd5-4e8d-80c5-e9a27e71850f,423,,"[27.4, 21.4]",69305,7,,,,,0.022173785,,Left Foot,,,,"[77.0, 22.5]",,Low Pass,,49.612198,,Incomplete,,Pablo Daniel Piatti,,,,,,1,Regular Play,Santiago Wilmer Acasiete Ariadela,26434.0,Left Center Back,19,Almería,403,"['13c8c0ae-d3c8-43f2-8837-5017610688a2', '8dcfcb36-550a-41be-b3bc-cefd9319034c']",21,,,,,,,,,,,,,,,Almería,403,00:07:21.821,Pass,,27.4,21.4,77.0,22.5,2,2,7,2,0.010013,0.019351,0.009338,0.009338,,,,,2024-09-07 18:28:10.718550,2011-04-09,2010/2011,Spain - La Liga,Barcelona vs Almería
,,,,,,,,,,,,,,,,,1.24825,,,,,,,,,,,,,,,3072f6bf-28eb-45be-ab04-8421922982fa,427,,"[34.9, 47.6]",69305,7,,,,,-0.9224643,,Left Foot,,,,"[44.9, 34.4]",,Ground Pass,,16.560194,,,,Thiago Alcântara do Nascimento,,,,,,1,Regular Play,Gabriel Alejandro Milito,25919.0,Left Center Back,20,Barcelona,217,['5d842b8b-750f-491c-a51a-5d2831e83328'],28,,,,,,,,,,,,,,,Barcelona,217,00:07:28.489,Pass,,34.9,47.6,44.9,34.4,3,4,4,3,0.011324,0.012626,0.0013019999999999993,0.0013019999999999993,,,,,2024-09-07 18:28:10.718550,2011-04-09,2010/2011,Spain - La Liga,Barcelona vs Almería
