ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,team_id,timestamp,type,under_pressure,x,y,end_x,end_y,x1_bin,y1_bin,x2_bin,y2_bin,start_zone_value,end_zone_value,pass_xT,progressive_xT,expected_assists_xA,shot_statsbomb_xg_cum,xg_chain,xg_buildup,Extraction Date,match_date,season,competition,h2h
,,,,,,,,,,,,,,,1.322154,,,,,,,,,,,,,,,11f70118-bab7-4619-a6f8-e5e2fee54de2,2356,,"[69.3, 11.2]",69282,46,,,,-0.8562471,,Right Foot,,,"[76.5, 2.9]",,Ground Pass,,10.9877205,,,,,Pedro Eliezer Rodríguez Ledesma,,,,,,,2,Regular Play,Eric-Sylvain Bilal Abidal,20177.0,Left Back,85,Barcelona,217,['f1ed77e4-74c8-49e2-b002-245fad413715'],29,,,,,,,,,,,,,,,Barcelona,217,00:01:29.540,Pass,,69.3,11.2,76.5,2.9,6,1,7,0,0.016118,0.017451,0.0013330000000000009,0.0013330000000000009,,,0.01635927,0.01635927,2024-09-07 18:28:23.668406,2011-02-20,2010/2011,Spain - La Liga,Barcelona vs Athletic Club
,,,,,,,,,,,,,,,0.984068,,,,,,,,,,,,,,,d36c4042-7011-4a4c-96f1-fa204f41d792,2360,,"[76.9, 4.0]",69282,46,,,,2.2701454,,Left Foot,,,"[62.6, 21.0]",,Ground Pass,,22.214634,,,,,Andrés Iniesta Luján,,,,,,,2,Regular Play,Pedro Eliezer Rodríguez Ledesma,3958.0,Left Wing,85,Barcelona,217,"['5a5e4a69-6ee2-40cf-834f-08e0f410fd8f', 'b9a10b5b-5b0d-4555-807c-bf8c8fdf601a']",31,,,,,,,,,,,,,,,Barcelona,217,00:01:31.332,Pass,True,76.9,4.0,62.6,21.0,7,0,6,2,0.017451,0.016856,-0.0005950000000000018,0.0,,,0.01635927,0.01635927,2024-09-07 18:28:23.668406,2011-02-20,2010/2011,Spain - La Liga,Barcelona vs Athletic Club
,,,,,,,,,,,,,,,0.884132,,,,,,,,,,,,,,,8191621e-7217-4e44-948c-b378c1ce99d0,2364,,"[64.5, 21.5]",69282,46,,,,0.79457223,,Right Foot,,,"[69.9, 27.0]",,Ground Pass,,7.7077885,,,,,Lionel Andrés Messi Cuccittini,,,,,,,2,Regular Play,Andrés Iniesta Luján,5216.0,Left Center Midfield,85,Barcelona,217,"['0dd5795f-95d2-4d79-a899-d84150945778', 'bdaa6e26-3ddf-4817-abd8-833c2688ed31']",33,,,,,,,,,,,,,,,Barcelona,217,00:01:33.460,Pass,True,64.5,21.5,69.9,27.0,6,2,6,2,0.016856,0.016856,0.0,0.0,,,0.01635927,0.01635927,2024-09-07 18:28:23.668406,2011-02-20,2010/2011,Spain - La Liga,Barcelona vs Athletic Club
,,,,,,,,,,,,,,,0.903032,,,,,,,,,,,,,,,6d215288-3cc0-419b-8f13-7fcae3fe1859,2367,,"[69.3, 18.8]",69282,46,,,,0.8559877,,Left Foot,,,"[73.9, 24.1]",,Ground Pass,,7.017834,,,,,Andrés Iniesta Luján,,,,,,,2,Regular Play,Lionel Andrés Messi Cuccittini,5503.0,Right Wing,85,Barcelona,217,['bf90c4b1-fbec-48d4-881d-7ce9450595d2'],35,,,,,,,,,,,,,,,Barcelona,217,00:01:35.782,Pass,,69.3,18.8,73.9,24.1,6,1,7,2,0.016118,0.019351,0.0032329999999999998,0.0032329999999999998,,,0.01635927,0.01635927,2024-09-07 18:28:23.668406,2011-02-20,2010/2011,Spain - La Liga,Barcelona vs Athletic Club
,,,,,,,,,,,,,,,1.305642,,,,,,,,,,,,,,,030e2f49-03f3-4a6c-8209-1754f76c86be,2370,,"[74.8, 24.9]",69282,46,,,,2.1781015,,Right Foot,,,"[70.7, 30.8]",,Ground Pass,,7.184706,,,,,Xavier Hernández Creus,,,,,,,2,Regular Play,Andrés Iniesta Luján,5216.0,Left Center Midfield,85,Barcelona,217,['eb8199c3-c9fb-4947-a1d7-53a4f6a6f1a1'],37,,,,,,,,,,,,,,,Barcelona,217,00:01:37.000,Pass,,74.8,24.9,70.7,30.8,7,2,7,3,0.019351,0.019971,0.000619999999999999,0.000619999999999999,,,0.01635927,0.01635927,2024-09-07 18:28:23.668406,2011-02-20,2010/2011,Spain - La Liga,Barcelona vs Athletic Club
,,,,,,,,,,,,,,,2.521728,,,,,,,,,,,,,,,f0e2c8bf-58ee-49e9-b6f0-f0a6d1f5d1ae,2373,,"[73.1, 35.4]",69282,46,,,,1.3292307,,Right Foot,,,"[83.3, 76.8]",,Ground Pass,,42.638012,,,,,Daniel Alves da Silva,,,True,,,,2,Regular Play,Xavier Hernández Creus,20131.0,Right Center Midfield,85,Barcelona,217,['c192d213-863a-49c9-8c18-dbe04fa3c66a'],40,,,,,,,,,,,,,,,Barcelona,217,00:01:40.189,Pass,,73.1,35.4,83.3,76.8,7,3,8,7,0.019971,0.021221,0.0012500000000000011,0.0012500000000000011,,,0.01635927,0.01635927,2024-09-07 18:28:23.668406,2011-02-20,2010/2011,Spain - La Liga,Barcelona vs Athletic Club
,,,,,,,,,,,,,,,1.715,,,,,,,,,,,,,,,28c31bcf-7112-4156-b673-3f24173f5233,2376,,"[94.0, 73.8]",69282,46,,,,-1.8613955,,Right Foot,,,"[87.6, 52.4]",,Ground Pass,,22.336517,,,,,Xavier Hernández Creus,,,,,,,2,Regular Play,Daniel Alves da Silva,4324.0,Right Back,85,Barcelona,217,['922e1abf-bc9d-49a0-b26d-205d377ecbc0'],45,,,,,,,,,,,,,,,Barcelona,217,00:01:45.511,Pass,,94.0,73.8,87.6,52.4,9,7,8,5,0.027563,0.024122,-0.0034409999999999996,0.0,,,0.01635927,0.01635927,2024-09-07 18:28:23.668406,2011-02-20,2010/2011,Spain - La Liga,Barcelona vs Athletic Club
,,,,,,,,,,,,,,,1.451924,,,,,,,,,,,,,,,a93149a6-501c-4a13-ab8b-16658cb32eb1,2379,,"[87.6, 52.4]",69282,46,,,,-1.541102,daa35a97-49cb-4835-88eb-1db9dbf20042,Right Foot,,,"[88.2, 32.2]",,Ground Pass,,20.208908,,,,,Andrés Iniesta Luján,True,,,,,,2,Regular Play,Xavier Hernández Creus,20131.0,Right Center Midfield,85,Barcelona,217,['830568ce-f208-4679-a9eb-fa0a3e01dddd'],47,,,,,,,,,,,,,,,Barcelona,217,00:01:47.985,Pass,,87.6,52.4,88.2,32.2,8,5,8,3,0.024122,0.023851,-0.0002710000000000004,0.0,0.01635927,,0.01635927,,2024-09-07 18:28:23.668406,2011-02-20,2010/2011,Spain - La Liga,Barcelona vs Athletic Club
,,,,,,,,,,,,,,,1.607025,,,,,,,,,,,,,,,daa35a97-49cb-4835-88eb-1db9dbf20042,2388,,"[115.0, 25.2]",69282,46,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Andrés Iniesta Luján,5216.0,Left Center Midfield,85,Barcelona,217,['f10e72ad-385a-420a-91cd-b752046992a0'],54,,Left Foot,"[120.0, 57.2, 0.4]",,"[{'location': [104.6, 39.3], 'player': {'id': 9399, 'name': 'Javier Martínez Aginaga'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [114.0, 25.8], 'player': {'id': 6390, 'name': 'Markel Susaeta Laskurain'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [112.0, 32.6], 'player': {'id': 26087, 'name': 'Carlos Gurpegi Nausia'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [114.4, 33.4], 'player': {'id': 26031, 'name': 'Andoni Iraola Sagarna'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [113.3, 37.3], 'player': {'id': 26736, 'name': 'Borja Ekiza Imaz'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [113.7, 39.6], 'player': {'id': 26028, 'name': 'Fernando Amorebieta Mardaras'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [110.7, 45.3], 'player': {'id': 26479, 'name': 'Koikili Lertxundi Del Campo'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [119.2, 36.3], 'player': {'id': 6576, 'name': 'Gorka Iraizoz Moreno'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [107.7, 49.3], 'player': {'id': 12737, 'name': 'David Villa Sánchez'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [110.0, 39.5], 'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [112.7, 33.8], 'player': {'id': 3958, 'name': 'Pedro Eliezer Rodríguez Ledesma'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [111.6, 16.5], 'player': {'id': 20177, 'name': 'Eric-Sylvain Bilal Abidal'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}]",a93149a6-501c-4a13-ab8b-16658cb32eb1,True,Off T,0.01635927,Normal,Open Play,,,,Barcelona,217,00:01:54.964,Shot,,115.0,25.2,,,11,2,0,0,0.064426,0.006383,-0.058043,0.0,,0.01635927,0.01635927,,2024-09-07 18:28:23.668406,2011-02-20,2010/2011,Spain - La Liga,Barcelona vs Athletic Club
,,,,,,,,,,,,,,,5.062786,,,,,,,,,,,,,,,ee8352d6-3751-485d-9843-f9562044a893,2390,,"[6.0, 44.0]",69282,47,True,,,-0.06343935,,Right Foot,,,"[54.8, 40.9]",,High Pass,,48.898365,,,Incomplete,,,,,,,,Goal Kick,2,From Goal Kick,Gorka Iraizoz Moreno,6576.0,Goalkeeper,86,Athletic Club,215,['16a12f13-a4df-4155-8b9e-c44fe662fbec'],23,,,,,,,,,,,,,,,Athletic Club,215,00:02:23.824,Pass,,6.0,44.0,54.8,40.9,0,4,5,4,0.009411,0.014846,0.005435000000000001,0.005435000000000001,,,,,2024-09-07 18:28:23.668406,2011-02-20,2010/2011,Spain - La Liga,Barcelona vs Athletic Club
