bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_success_out,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,team_id,timestamp,type,under_pressure,x,y,end_x,end_y,x1_bin,y1_bin,x2_bin,y2_bin,start_zone_value,end_zone_value,pass_xT,progressive_xT,expected_assists_xA,shot_statsbomb_xg_cum,xg_chain,xg_buildup,Extraction Date,match_date,season,competition,h2h
,,,,,,,,,,,,,,,1.299208,,,,,,,,,,,,,,,,,9c821dd0-2c09-488f-ab85-35f5629bec0c,1632,,"[23.8, 50.5]",69245,39,,,,,-1.1737169,,Right Foot,,,"[30.3, 35.0]",Ground Pass,,16.807735,,,Gerard Piqué Bernabéu,,,,,,1,Regular Play,Carles Puyol i Saforcada,20125.0,Right Center Back,110,Barcelona,217,['1ba0ef07-dc81-4c66-8419-0c2cb7951502'],14,,,,,,,,,,,,,,,Barcelona,217,00:39:14.284,Pass,,23.8,50.5,30.3,35.0,2,5,2,3,0.010013,0.010165,0.0001520000000000011,0.0001520000000000011,,,0.014345895,0.014345895,2024-09-07 18:28:15.361858,2011-04-16,2010/2011,Spain - La Liga,Real Madrid vs Barcelona
,,,,,,,,,,,,,,,1.228696,,,,,,,,,,,,,,,,,07f16706-46f7-4756-a207-57c3b61da700,1635,,"[66.3, 24.2]",69245,39,,,,,-1.3722957,,Right Foot,,,"[69.8, 6.8]",Low Pass,,17.748522,,,Andrés Iniesta Luján,,,,,,1,Regular Play,Gerard Piqué Bernabéu,5213.0,Left Center Back,110,Barcelona,217,['3e731608-3f1c-408b-8666-e72b9b6504f4'],23,,,,,,,,,,,,,,,Barcelona,217,00:39:23.183,Pass,,66.3,24.2,69.8,6.8,6,2,6,0,0.016856,0.014736,-0.0021199999999999986,0.0,,,0.014345895,0.014345895,2024-09-07 18:28:15.361858,2011-04-16,2010/2011,Spain - La Liga,Real Madrid vs Barcelona
,,,,,,,,,,,,,,,1.568154,,,,,,,,,,,,,,,,,bbbfad18-e15c-4ee0-bb0a-a4181f6b58f6,1639,,"[77.4, 14.4]",69245,39,,,,,2.567926,,Right Foot,,,"[64.4, 22.8]",Ground Pass,,15.477726,,,Gerard Piqué Bernabéu,,,,,,1,Regular Play,Andrés Iniesta Luján,5216.0,Left Center Midfield,110,Barcelona,217,['58824fc0-ae59-4a8d-81d2-61e53dba9cb6'],26,,,,,,,,,,,,,,,Barcelona,217,00:39:26.537,Pass,,77.4,14.4,64.4,22.8,7,1,6,2,0.018703,0.016856,-0.0018470000000000014,0.0,,,0.014345895,0.014345895,2024-09-07 18:28:15.361858,2011-04-16,2010/2011,Spain - La Liga,Real Madrid vs Barcelona
,,,,,,,,,,,,,,,1.218897,,,,,,,,,,,,,,,,,5f76c7ef-b940-4fac-84e4-d0d423659bca,1642,,"[64.4, 22.8]",69245,39,,,,,-1.5453781,,Right Foot,,,"[64.7, 11.0]",Ground Pass,,11.803813,,,Adriano Correia Claro,,,,,,1,Regular Play,Gerard Piqué Bernabéu,5213.0,Left Center Back,110,Barcelona,217,['da0a8604-b2ae-483a-948f-27addcc09e53'],28,,,,,,,,,,,,,,,Barcelona,217,00:39:28.923,Pass,,64.4,22.8,64.7,11.0,6,2,6,1,0.016856,0.016118,-0.0007379999999999991,0.0,,,0.014345895,0.014345895,2024-09-07 18:28:15.361858,2011-04-16,2010/2011,Spain - La Liga,Real Madrid vs Barcelona
,,,,,,,,,,,,,,,1.10417,,,,,,,,,,,,,,,,,81fca29c-f939-41fc-8e20-962660bc5c20,1645,,"[67.0, 11.3]",69245,39,,,,,1.7253969,,Left Foot,,,"[65.8, 19.0]",Ground Pass,,7.7929454,,,Andrés Iniesta Luján,,,,,,1,Regular Play,Adriano Correia Claro,22102.0,Left Back,110,Barcelona,217,['87e48a20-fcf4-4e7e-80b6-7d964c9f3003'],30,,,,,,,,,,,,,,,Barcelona,217,00:39:30.669,Pass,,67.0,11.3,65.8,19.0,6,1,6,1,0.016118,0.016118,0.0,0.0,,,0.014345895,0.014345895,2024-09-07 18:28:15.361858,2011-04-16,2010/2011,Spain - La Liga,Real Madrid vs Barcelona
,,,,,,,,,,,,,,,2.20185,,,,,,,,,,,,,,,,,3d39ea46-b257-4d1d-b9f1-3249ffa75101,1649,,"[64.4, 23.3]",69245,39,,,,,2.039763,,Right Foot,,,"[53.0, 45.8]",Ground Pass,,25.223204,,,Carles Puyol i Saforcada,,,,,,1,Regular Play,Andrés Iniesta Luján,5216.0,Left Center Midfield,110,Barcelona,217,"['b052935d-dd2a-4387-bb25-80b8159ca00f', 'f2396667-4d7b-47f3-9cfa-988b7275b627']",32,,,,,,,,,,,,,,,Barcelona,217,00:39:32.499,Pass,True,64.4,23.3,53.0,45.8,6,2,5,4,0.016856,0.014846,-0.0020099999999999996,0.0,,,0.014345895,0.014345895,2024-09-07 18:28:15.361858,2011-04-16,2010/2011,Spain - La Liga,Real Madrid vs Barcelona
,,,,,,,,,,,,,,,0.862254,,,,,,,,,,,,,,,,,4d8cdaab-83c4-41d5-8c8a-197acb9ccf79,1652,,"[53.3, 47.7]",69245,39,,,,,-1.2847449,,Right Foot,,,"[56.8, 35.8]",Ground Pass,,12.404032,,,Xavier Hernández Creus,,,,,,1,Regular Play,Carles Puyol i Saforcada,20125.0,Right Center Back,110,Barcelona,217,['b75105aa-bca1-4f8e-b13f-0275452f6f4e'],35,,,,,,,,,,,,,,,Barcelona,217,00:39:35.345,Pass,,53.3,47.7,56.8,35.8,5,4,5,3,0.014846,0.014846,0.0,0.0,,,0.014345895,0.014345895,2024-09-07 18:28:15.361858,2011-04-16,2010/2011,Spain - La Liga,Real Madrid vs Barcelona
,,,,,,,,,,,,,,,2.101457,,,,,,,,,,,,,,,,,38cc38e8-b2a8-41ab-94c9-1a271df82081,1655,,"[68.9, 39.3]",69245,39,,,,,-0.83947647,d3892f0d-2f86-45ff-a72b-a53bbdfc3698,Right Foot,,,"[85.5, 20.8]",Ground Pass,,24.855783,,,David Villa Sánchez,True,,,,,1,Regular Play,Xavier Hernández Creus,20131.0,Right Center Midfield,110,Barcelona,217,['2d010106-d89e-4da6-9f44-35fe52716a8d'],39,,,,,,,,,,,,,,,Barcelona,217,00:39:39.407,Pass,,68.9,39.3,85.5,20.8,6,3,8,2,0.016895,0.024122,0.007227000000000001,0.007227000000000001,0.014345895,,0.014345895,,2024-09-07 18:28:15.361858,2011-04-16,2010/2011,Spain - La Liga,Real Madrid vs Barcelona
,,,,,,,,,,,,,,,1.64956,,,,,,,,,,,,,,,,,d3892f0d-2f86-45ff-a72b-a53bbdfc3698,1659,,"[86.4, 22.1]",69245,39,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,David Villa Sánchez,12737.0,Left Wing,110,Barcelona,217,['fb13ca20-6ef6-4e22-8486-79746c33f7d6'],42,,Right Foot,"[117.9, 37.3, 0.5]",,"[{'location': [81.4, 43.7], 'player': {'id': 3958, 'name': 'Pedro Eliezer Rodríguez Ledesma'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [85.0, 67.9], 'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [75.3, 56.1], 'player': {'id': 2995, 'name': 'Ángel Fabián Di María Hernández'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [88.4, 20.0], 'player': {'id': 5201, 'name': 'Sergio Ramos García'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [80.7, 25.4], 'player': {'id': 5566, 'name': 'Sami Khedira'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [75.7, 33.4], 'player': {'id': 20133, 'name': 'Xabier Alonso Olano'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [94.4, 39.6], 'player': {'id': 10805, 'name': 'Ricardo Alberto Silveira de Carvalho'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [89.8, 60.8], 'player': {'id': 5552, 'name': 'Marcelo Vieira da Silva Júnior'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [95.1, 28.6], 'player': {'id': 7030, 'name': 'Raúl Albiol i Tortajada'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [86.2, 41.9], 'player': {'id': 20016, 'name': 'Kléper Laveran Lima Ferreira'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}]",38cc38e8-b2a8-41ab-94c9-1a271df82081,,Saved,0.014345895,Normal,Open Play,,,,Barcelona,217,00:39:42.427,Shot,,86.4,22.1,,,8,2,0,0,0.024122,0.006383,-0.017739,0.0,,0.014345895,0.014345895,,2024-09-07 18:28:15.361858,2011-04-16,2010/2011,Spain - La Liga,Real Madrid vs Barcelona
,,,,,,,,,,,,,,,3.3082,,,,,,,,,,,,,,,,,e8c3c343-adab-4246-bcdd-f993e05f8ec8,1661,,"[7.7, 38.1]",69245,39,,,,,-0.06515587,,Right Foot,,,"[78.2, 33.5]",High Pass,,70.64991,Incomplete,,Karim Benzema,,,,,,1,From Keeper,Iker Casillas Fernández,11179.0,Goalkeeper,112,Real Madrid,220,"['be4859c3-8b49-4eef-9e2c-b544accfa932', 'e4d8f412-24d7-4c95-bbbc-01351cd6ca81']",54,,,,,,,,,,,,,,,Real Madrid,220,00:39:54.331,Pass,,7.7,38.1,78.2,33.5,0,3,7,3,0.009411,0.019971,0.01056,0.01056,,,,,2024-09-07 18:28:15.361858,2011-04-16,2010/2011,Spain - La Liga,Real Madrid vs Barcelona
