ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,team_id,timestamp,type,under_pressure,x,y,end_x,end_y,x1_bin,y1_bin,x2_bin,y2_bin,start_zone_value,end_zone_value,pass_xT,progressive_xT,expected_assists_xA,shot_statsbomb_xg_cum,xg_chain,xg_buildup,Extraction Date,match_date,season,competition,h2h
,,,,,,,,,,,,,,,1.1982,,,,,,,,,,,,,,948cb7bc-f53c-4ee6-b732-0f69f4b7cbb3,1791,,"[61.3, 45.0]",69271,46,,,,,-2.6992185,,Right Foot,,,,"[46.1, 37.8]",,Ground Pass,,16.819036,,,Krisztián Vadócz,,,,,,2,From Kick Off,Javier Camuñas Gallego,26169.0,Center Attacking Midfield,104,Osasuna,422,['e9d79638-c901-444b-bdc9-3367c20ede60'],49,,,,,,,,,,,,,Osasuna,422,00:01:49.497,Pass,,61.3,45.0,46.1,37.8,6,4,4,3,0.016895,0.012626,-0.004269,0.0,,,,,2024-09-07 18:28:09.866059,2011-04-23,2010/2011,Spain - La Liga,Barcelona vs Osasuna
,,,,,,,,,,,,,,,2.4115,,,,,,,,,,,,,,89bff7cd-5ebf-47fc-8a62-abd4e97bd284,1794,,"[50.6, 39.8]",69271,46,,,,,0.86360824,,Right Foot,,,,"[80.0, 74.2]",,High Pass,,45.25174,,,Damià Abella Pérez,,,,,,2,From Kick Off,Krisztián Vadócz,26660.0,Right Defensive Midfield,104,Osasuna,422,['f8d40bbe-6ed3-4891-994b-c5d815f015b9'],52,,,,,,,,,,,,,Osasuna,422,00:01:52.327,Pass,,50.6,39.8,80.0,74.2,5,3,7,7,0.014846,0.017451,0.0026050000000000014,0.0026050000000000014,,,,,2024-09-07 18:28:09.866059,2011-04-23,2010/2011,Spain - La Liga,Barcelona vs Osasuna
,,,,,,,,,,,,,,,4.6655,,,,,,,,,,,,,,4dbe63ac-52b6-4260-a635-e5ff5b9e4563,1796,,"[80.0, 74.2]",69271,46,,,,True,-0.07969198,,,,,,"[108.8, 71.9]",,High Pass,,28.891695,Incomplete,,Enrique Sola Clemente,,,,,,2,From Kick Off,Damià Abella Pérez,25896.0,Right Wing,104,Osasuna,422,"['08471d06-d440-41ff-90f8-7f4514d1916f', '68abac58-576e-4e82-86c4-946cb259018c', 'e5c37abc-c977-4e60-9b25-308b3ca81d83']",54,,,,,,,,,,,,,Osasuna,422,00:01:54.738,Pass,True,80.0,74.2,108.8,71.9,7,7,10,7,0.017451,0.034851,0.0174,0.0174,,,,,2024-09-07 18:28:09.866059,2011-04-23,2010/2011,Spain - La Liga,Barcelona vs Osasuna
,,,,,,,,,,,,,,,2.828,,,,,,,,,,,,,,38e7b024-66f4-43cc-ac11-f566b4e47281,1801,,"[76.4, 61.4]",69271,47,,,,,-0.7436218,,Head,,,,"[92.6, 46.5]",,High Pass,,22.010225,Incomplete,,Álvaro Cejudo Carmona,,,,,Recovery,2,From Kick Off,Nélson Augusto Tomar Marcos,26589.0,Right Back,104,Osasuna,422,"['4f2d8492-f540-4385-8702-908feff188dd', '55b2faac-5e75-4326-b537-68cab80c3bb2']",1,,,,,,,,,,,,,Osasuna,422,00:02:01.371,Pass,,76.4,61.4,92.6,46.5,7,6,9,4,0.018703,0.035113,0.016409999999999998,0.016409999999999998,,,,,2024-09-07 18:28:09.866059,2011-04-23,2010/2011,Spain - La Liga,Barcelona vs Osasuna
,,,,,,,,,,,,,,,0.773882,,,,,,,,,,,,,,4f2d8492-f540-4385-8702-908feff188dd,1803,,"[28.4, 34.5]",69271,47,,,,,-0.25121558,,Head,,,,"[39.7, 31.6]",,Low Pass,,11.66619,,,Thiago Alcântara do Nascimento,,,,,Recovery,2,Regular Play,Javier Alejandro Mascherano,5506.0,Right Center Back,105,Barcelona,217,"['38e7b024-66f4-43cc-ac11-f566b4e47281', 'f217f6f2-5cc3-4f1d-9a11-99ae8f429880']",4,,,,,,,,,,,,,Barcelona,217,00:02:04.199,Pass,,28.4,34.5,39.7,31.6,2,3,3,3,0.010165,0.011324,0.0011590000000000003,0.0011590000000000003,,,,,2024-09-07 18:28:09.866059,2011-04-23,2010/2011,Spain - La Liga,Barcelona vs Osasuna
,,,,,,,,,,,,,,,1.294952,,,,,,,,,,,,,,1423b7a7-8fdb-4ac5-bb1f-2048ab0545ce,1806,,"[39.8, 34.2]",69271,47,,,,,1.7651212,,Right Foot,,,,"[36.1, 53.0]",,Ground Pass,,19.160637,,,Daniel Alves da Silva,,,,,,2,Regular Play,Thiago Alcântara do Nascimento,5208.0,Right Center Midfield,105,Barcelona,217,['8da5d4f5-62f8-4d2d-9b81-dfc43a706ee4'],5,,,,,,,,,,,,,Barcelona,217,00:02:05.990,Pass,,39.8,34.2,36.1,53.0,3,3,3,5,0.011324,0.011105,-0.00021900000000000044,0.0,,,,,2024-09-07 18:28:09.866059,2011-04-23,2010/2011,Spain - La Liga,Barcelona vs Osasuna
,,,,,,,,,,,,,,,0.932704,,,,,,,,,,,,,,daf9b305-7e28-45cf-82d1-70be0ee9e496,1809,,"[36.6, 54.1]",69271,47,,,,,1.1232764,,Right Foot,,,,"[45.0, 71.6]",,Ground Pass,,19.411594,,,Andrés Iniesta Luján,,,,,,2,Regular Play,Daniel Alves da Silva,4324.0,Right Back,105,Barcelona,217,['3ddba04d-11b1-489e-8fab-5cfe4a633388'],9,,,,,,,,,,,,,Barcelona,217,00:02:09.224,Pass,,36.6,54.1,45.0,71.6,3,5,4,7,0.011105,0.011263,0.00015800000000000015,0.00015800000000000015,,,,,2024-09-07 18:28:09.866059,2011-04-23,2010/2011,Spain - La Liga,Barcelona vs Osasuna
,,,,,,,,,,,,,,,0.570971,,,,,,,,,,,,,,732bded7-4f5c-43f2-9290-c563b65ed244,1813,,"[50.3, 73.8]",69271,47,,,,,-0.102579854,,Right Foot,,,,"[57.1, 73.1]",,Ground Pass,,6.8359346,,,Daniel Alves da Silva,,,,,,2,Regular Play,Andrés Iniesta Luján,5216.0,Right Wing,105,Barcelona,217,['0b8159e8-32df-4d3e-acea-fb00b00cf277'],11,,,,,,,,,,,,,Barcelona,217,00:02:11.661,Pass,,50.3,73.8,57.1,73.1,5,7,5,7,0.012483,0.012483,0.0,0.0,,,,,2024-09-07 18:28:09.866059,2011-04-23,2010/2011,Spain - La Liga,Barcelona vs Osasuna
,,,,,,,,,,,,,,,1.6578,,,,,,,,,,,,,,5f4299f8-6992-4106-802d-538890423bdb,1818,,"[67.8, 1.0]",69271,47,,,,,0.8265514,,,,,,"[84.1, 18.7]",,Low Pass,,24.062004,,,Enrique Sola Clemente,,,,,Throw-in,2,From Throw In,Ignacio Monreal Eraso,3498.0,Left Back,106,Osasuna,422,['59a0c202-7b3c-4b6e-9b48-a2d7634596fd'],26,,,,,,,,,,,,,Osasuna,422,00:02:26.929,Pass,,67.8,1.0,84.1,18.7,6,0,8,1,0.014736,0.024015,0.009279,0.009279,,,,,2024-09-07 18:28:09.866059,2011-04-23,2010/2011,Spain - La Liga,Barcelona vs Osasuna
,,,,,,,,,,,,,,,2.0154,,,,,,,,,,,,,,a1132c74-f692-4b50-b586-1cd91ad03dce,1821,,"[85.6, 20.7]",69271,47,,,,True,0.25168997,,,,,,"[99.6, 24.3]",,High Pass,,14.455449,Incomplete,,,,,,,,2,From Throw In,Enrique Sola Clemente,26518.0,Center Forward,106,Osasuna,422,"['1b62201e-28d5-4e9d-9999-71c2208f4e9d', 'b5467daa-b2c2-42ba-8d8a-aa3eb3bba9ca']",28,,,,,,,,,,,,,Osasuna,422,00:02:28.587,Pass,True,85.6,20.7,99.6,24.3,8,1,9,2,0.024015,0.028552,0.004536999999999999,0.004536999999999999,,,,,2024-09-07 18:28:09.866059,2011-04-23,2010/2011,Spain - La Liga,Barcelona vs Osasuna
