ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,team_id,timestamp,type,under_pressure,x,y,end_x,end_y,x1_bin,y1_bin,x2_bin,y2_bin,start_zone_value,end_zone_value,pass_xT,progressive_xT,expected_assists_xA,shot_statsbomb_xg_cum,xg_chain,xg_buildup,Extraction Date,match_date,season,competition,h2h
,,,,,,,,,,,,,,,,1.4231,,,,,,,,,,,,,dbb91816-4180-4b40-bed8-5b22e99f2e22,639,,"[84.2, 60.5]",69278,10,,,,-1.6239377,,Left Foot,,,"[83.7, 51.1]",,Ground Pass,,9.413288,,,,,Xavier Hernández Creus,,,,,,1,Regular Play,Lionel Andrés Messi Cuccittini,5503.0,Center Forward,21,Barcelona,217,['e823fbac-ea75-4d9b-8776-975dd85a733a'],21,,,,,,,,,,,,,,,,Barcelona,217,00:10:21.553,Pass,,84.2,60.5,83.7,51.1,8,6,8,5,0.024015,0.024122,0.00010699999999999946,0.00010699999999999946,,,,,2024-09-07 18:28:11.533367,2011-01-16,2010/2011,Spain - La Liga,Barcelona vs Málaga
,,,,,,,,,,,,,,,,1.9583,,,,,,,,,,,,,c33d66b3-4b20-4831-bec3-30137c00cab0,642,,"[82.3, 54.1]",69278,10,,,,1.3688263,,Right Foot,,,"[86.6, 75.1]",,Ground Pass,,21.435719,,,,,Daniel Alves da Silva,,,,,,1,Regular Play,Xavier Hernández Creus,20131.0,Right Center Midfield,21,Barcelona,217,['6ee7b4fc-26ea-4024-8849-e1decdb55372'],23,,,,,,,,,,,,,,,,Barcelona,217,00:10:23.767,Pass,,82.3,54.1,86.6,75.1,8,5,8,7,0.024122,0.021221,-0.002901000000000001,0.0,,,,,2024-09-07 18:28:11.533367,2011-01-16,2010/2011,Spain - La Liga,Barcelona vs Málaga
,,,,,,,,,,,,,,,,1.5016,,,,,,,,,,,,,73dc34f6-5d78-44ff-8e3e-69f741046872,646,,"[84.4, 77.2]",69278,10,,,,-2.146715,,Right Foot,,,"[74.4, 61.8]",,Ground Pass,,18.361917,,,,,Lionel Andrés Messi Cuccittini,,,,,,1,Regular Play,Daniel Alves da Silva,4324.0,Right Back,21,Barcelona,217,"['5b507cb2-b35b-41a5-9f1a-05194baddcc2', 'f64ac67b-6a16-4758-a6f1-e1f81bfcb854']",26,,,,,,,,,,,,,,,,Barcelona,217,00:10:26.310,Pass,True,84.4,77.2,74.4,61.8,8,7,7,6,0.021221,0.018703,-0.0025179999999999994,0.0,,,,,2024-09-07 18:28:11.533367,2011-01-16,2010/2011,Spain - La Liga,Barcelona vs Málaga
,,,,,,,,,,,,,,,,1.4719,,,,,,,,,,,,,316787ff-d193-4400-88d7-47412534d13e,649,,"[74.8, 61.0]",69278,10,,,,-1.9134167,,Left Foot,,,"[69.2, 45.3]",,Ground Pass,,16.668833,,,,,Sergio Busquets i Burgos,,,,,,1,Regular Play,Lionel Andrés Messi Cuccittini,5503.0,Center Forward,21,Barcelona,217,['5b220b0b-6e2d-43e7-beee-67ab8fb9e06e'],28,,,,,,,,,,,,,,,,Barcelona,217,00:10:28.846,Pass,,74.8,61.0,69.2,45.3,7,6,6,4,0.018703,0.016895,-0.0018080000000000006,0.0,,,,,2024-09-07 18:28:11.533367,2011-01-16,2010/2011,Spain - La Liga,Barcelona vs Málaga
,,,,,,,,,,,,,,,,1.1249,,,,,,,,,,,,,3556543c-98d5-4449-b3e5-204e38c7d77e,652,,"[69.0, 43.5]",69278,10,,,,-1.3927034,,Right Foot,,,"[71.7, 28.5]",,Ground Pass,,15.241063,,,,,Andrés Iniesta Luján,,,,,,1,Regular Play,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,21,Barcelona,217,['9032f7be-2ef6-4c7a-b6b4-253c8a21916e'],30,,,,,,,,,,,,,,,,Barcelona,217,00:10:30.718,Pass,,69.0,43.5,71.7,28.5,6,4,7,2,0.016895,0.019351,0.002456,0.002456,,,,,2024-09-07 18:28:11.533367,2011-01-16,2010/2011,Spain - La Liga,Barcelona vs Málaga
,,,,,,,,,,,,,,,,1.8891,,,,,,,,,,,,,6b609a0e-5a19-4e16-adb8-1b3e12d27b58,655,,"[76.0, 24.6]",69278,10,,,,-1.1747149,,Right Foot,,,"[85.2, 2.6]",,Ground Pass,,23.846174,,,,,Eric-Sylvain Bilal Abidal,,,,,,1,Regular Play,Andrés Iniesta Luján,5216.0,Left Center Midfield,21,Barcelona,217,['5133abbf-7558-4b90-8ae2-8ca60ec6ac3a'],32,,,,,,,,,,,,,,,,Barcelona,217,00:10:32.916,Pass,,76.0,24.6,85.2,2.6,7,2,8,0,0.019351,0.021221,0.0018700000000000001,0.0018700000000000001,,,,,2024-09-07 18:28:11.533367,2011-01-16,2010/2011,Spain - La Liga,Barcelona vs Málaga
,,,,,,,,,,,,,,,,1.2262,,,,,,,,,,,,,1377021f-7fb5-46f7-867e-aeaf78d09198,658,,"[85.2, 2.6]",69278,10,,,,2.6727638,,Left Foot,,,"[77.5, 6.5]",,Ground Pass,,8.631338,,,,,Andrés Iniesta Luján,,,,,,1,Regular Play,Eric-Sylvain Bilal Abidal,20177.0,Left Back,21,Barcelona,217,['0737e092-7985-4041-840b-1777f52866b8'],35,,,,,,,,,,,,,,,,Barcelona,217,00:10:35.594,Pass,,85.2,2.6,77.5,6.5,8,0,7,0,0.021221,0.017451,-0.003769999999999999,0.0,,,,,2024-09-07 18:28:11.533367,2011-01-16,2010/2011,Spain - La Liga,Barcelona vs Málaga
,,,,,,,,,,,,,,,,0.7695,,,,,,,,,,,,,b217b0b1-39aa-4d66-881a-ad40c5079566,661,,"[76.5, 7.2]",69278,10,,,,1.5243182,,Right Foot,,,"[77.3, 24.4]",,Ground Pass,,17.218596,,,,,Xavier Hernández Creus,,,,,,1,Regular Play,Andrés Iniesta Luján,5216.0,Left Center Midfield,21,Barcelona,217,['73a7012e-da8a-4317-b713-6dcde35ab2ee'],37,,,,,,,,,,,,,,,,Barcelona,217,00:10:37.988,Pass,,76.5,7.2,77.3,24.4,7,0,7,2,0.017451,0.019351,0.001899999999999999,0.001899999999999999,,,,,2024-09-07 18:28:11.533367,2011-01-16,2010/2011,Spain - La Liga,Barcelona vs Málaga
,,,,,,,,,,,,,,,,1.5094,,,,,,,,,,,,,cad177eb-a13c-4990-b295-9ecb6551c632,664,,"[77.9, 21.5]",69278,10,,,,-1.7757963,,Right Foot,,,"[75.8, 11.4]",,Ground Pass,,10.316007,,,,,Andrés Iniesta Luján,,,,,,1,Regular Play,Xavier Hernández Creus,20131.0,Right Center Midfield,21,Barcelona,217,['188ee741-4000-411e-a998-02ab39ae889a'],38,,,,,,,,,,,,,,,,Barcelona,217,00:10:38.788,Pass,,77.9,21.5,75.8,11.4,7,2,7,1,0.019351,0.018703,-0.0006479999999999993,0.0,,,,,2024-09-07 18:28:11.533367,2011-01-16,2010/2011,Spain - La Liga,Barcelona vs Málaga
,,,,,,,,,,,,,,,,1.0868,,,,,,,,,,,,,10de8e21-f9f7-4266-a3ef-bcc67d61950f,667,,"[74.4, 27.0]",69278,10,,,,1.5385494,,Right Foot,,,"[75.0, 45.6]",,Ground Pass,,18.609674,,,,,Sergio Busquets i Burgos,,,,,,1,Regular Play,Andrés Iniesta Luján,5216.0,Left Center Midfield,21,Barcelona,217,['29366eba-1784-4da2-b97a-5ffaaa381fb7'],44,,,,,,,,,,,,,,,,Barcelona,217,00:10:44.181,Pass,,74.4,27.0,75.0,45.6,7,2,7,4,0.019351,0.019971,0.000619999999999999,0.000619999999999999,,,,,2024-09-07 18:28:11.533367,2011-01-16,2010/2011,Spain - La Liga,Barcelona vs Málaga
