50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,team_id,timestamp,type,under_pressure,x,y,end_x,end_y,x1_bin,y1_bin,x2_bin,y2_bin,start_zone_value,end_zone_value,pass_xT,progressive_xT,expected_assists_xA,shot_statsbomb_xg_cum,xg_chain,xg_buildup,Extraction Date,match_date,season,competition,h2h
,,,,,,,,,,,,,,,,1.256281,,,,,,,,,,,,,ea40f4f2-f1b6-42b9-84ed-e47e5fa94da8,685,,,"[57.7, 26.1]",69296,11,,,,-1.9135019,,Right Foot,,,"[50.6, 6.2]",,Ground Pass,,21.128654,,,,,Francisco Peña Romero,,,,,,,1,From Goal Kick,Matías Lionel Fritzler,26751.0,Right Defensive Midfield,27,Hércules,1218,"['80fa2bfd-be4a-4931-970f-b6eb15681d15', '877f93e8-1465-4a78-b7d8-cf41d964e3a5']",10,,,,,,,,,,,,,,,Hércules,1218,00:11:10.038,Pass,True,57.7,26.1,50.6,6.2,5,2,4,0,0.014291,0.011263,-0.0030279999999999994,0.0,,,,,2024-09-07 18:28:16.839459,2011-01-29,2010/2011,Spain - La Liga,Hércules vs Barcelona
,,,,,,,,,,,,,,,,1.673836,,,,,,,,,,,,,50a93511-b28b-4e90-90fa-e267f274494f,689,,,"[51.4, 4.8]",69296,11,,,,-0.12390414,,Left Foot,,,"[78.7, 1.4]",,High Pass,,27.510906,,,Out,,Francisco Femenía Far,,,,,,,1,From Goal Kick,Francisco Peña Romero,25900.0,Left Back,27,Hércules,1218,"['a037fd5d-1679-4466-8a8f-732a11246c53', 'cc72f554-7d23-4e17-ad2c-e2f91e7bd561']",12,,,,,,,,,,,,,,,Hércules,1218,00:11:12.280,Pass,True,51.4,4.8,78.7,1.4,5,0,7,0,0.012483,0.017451,0.004968000000000002,0.004968000000000002,,,,,2024-09-07 18:28:16.839459,2011-01-29,2010/2011,Spain - La Liga,Hércules vs Barcelona
,,,,,,,,,,,,,,,,0.4,,,,,,,,,,,,,56d3c240-11eb-48d9-b9c3-d10c1863e2c0,691,,,"[39.1, 80.0]",69296,11,True,,,-1.6438369,,,,,"[38.2, 67.7]",,Low Pass,,12.332883,,,,,Sergio Busquets i Burgos,,,,,,Throw-in,1,From Throw In,Daniel Alves da Silva,4324.0,Right Back,28,Barcelona,217,['72c76ba1-a737-4c44-86fd-fc436831208d'],22,,,,,,,,,,,,,,,Barcelona,217,00:11:22.856,Pass,,39.1,80.0,38.2,67.7,3,7,3,6,0.009777,0.010595,0.000818000000000001,0.000818000000000001,,,,,2024-09-07 18:28:16.839459,2011-01-29,2010/2011,Spain - La Liga,Hércules vs Barcelona
,,,,,,,,,,,,,,,,0.9063,,,,,,,,,,,,,86005678-2811-4a55-8bf5-2989ecc36d07,693,,,"[38.2, 67.7]",69296,11,,,,1.5707964,,Right Foot,,,"[38.2, 79.0]",,Ground Pass,,11.3,,,,,Daniel Alves da Silva,,,,,,,1,From Throw In,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,28,Barcelona,217,['2b52f1b6-3e08-458e-ad94-e8688fce17ab'],23,,,,,,,,,,,,,,,Barcelona,217,00:11:23.296,Pass,,38.2,67.7,38.2,79.0,3,6,3,7,0.010595,0.009777,-0.000818000000000001,0.0,,,,,2024-09-07 18:28:16.839459,2011-01-29,2010/2011,Spain - La Liga,Hércules vs Barcelona
,,,,,,,,,,,,,,,,1.869823,,,,,,,,,,,,,e8b2a3a7-e5f8-4033-bd1f-7a0712c52acc,696,,,"[37.9, 79.0]",69296,11,,,,-1.696234,,Right Foot,,,"[33.6, 44.9]",,Ground Pass,,34.370045,,,,,Eric-Sylvain Bilal Abidal,,,,,,,1,From Throw In,Daniel Alves da Silva,4324.0,Right Back,28,Barcelona,217,['9d12dc30-e8cb-478e-a9fb-91b4f99ad3d8'],24,,,,,,,,,,,,,,,Barcelona,217,00:11:24.243,Pass,,37.9,79.0,33.6,44.9,3,7,3,4,0.009777,0.011324,0.0015470000000000015,0.0015470000000000015,,,,,2024-09-07 18:28:16.839459,2011-01-29,2010/2011,Spain - La Liga,Hércules vs Barcelona
,,,,,,,,,,,,,,,,1.88505,,,,,,,,,,,,,ab8f2847-f5a3-43c7-8b96-65c354883ffe,699,,,"[43.9, 32.3]",69296,11,,,,-0.94594765,,Right Foot,,,"[64.6, 3.6]",,Ground Pass,,35.386154,,,,,Andrés Iniesta Luján,,,,,,,1,From Throw In,Eric-Sylvain Bilal Abidal,20177.0,Left Center Back,28,Barcelona,217,['631ab3fc-f507-4626-a5b0-fef37d984f2a'],28,,,,,,,,,,,,,,,Barcelona,217,00:11:28.741,Pass,,43.9,32.3,64.6,3.6,4,3,6,0,0.012626,0.014736,0.0021100000000000008,0.0021100000000000008,,,,,2024-09-07 18:28:16.839459,2011-01-29,2010/2011,Spain - La Liga,Hércules vs Barcelona
,,,,,,,,,,,,,,,,1.338402,,,,,,,,,,,,,5425ffb3-da51-4d2f-a516-3901c5753bf3,702,,,"[73.0, 15.0]",69296,11,,,,1.5410432,,Right Foot,,,"[73.5, 31.8]",,Ground Pass,,16.807438,,,,,Sergio Busquets i Burgos,,,,,,,1,From Throw In,Andrés Iniesta Luján,5216.0,Left Center Midfield,28,Barcelona,217,['356031fb-241c-4c7f-9498-0b1853ab7f99'],33,,,,,,,,,,,,,,,Barcelona,217,00:11:33.019,Pass,,73.0,15.0,73.5,31.8,7,1,7,3,0.018703,0.019971,0.0012679999999999983,0.0012679999999999983,,,,,2024-09-07 18:28:16.839459,2011-01-29,2010/2011,Spain - La Liga,Hércules vs Barcelona
,,,,,,,,,,,,,,,,0.618982,,,,,,,,,,,,,1e5bda93-4e7b-46e0-8481-24e38ed2f298,706,,,"[76.7, 31.2]",69296,11,,,,1.830528,,Left Foot,,,"[72.9, 45.5]",,Ground Pass,,14.796284,,,,,Xavier Hernández Creus,,,,,,,1,From Throw In,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,28,Barcelona,217,['18aa4a6f-0170-4bab-b03b-ef188150c53d'],35,,,,,,,,,,,,,,,Barcelona,217,00:11:35.352,Pass,,76.7,31.2,72.9,45.5,7,3,7,4,0.019971,0.019971,0.0,0.0,,,,,2024-09-07 18:28:16.839459,2011-01-29,2010/2011,Spain - La Liga,Hércules vs Barcelona
,,,,,,,,,,,,,,,,1.977389,,,,,,,,,,,,,01da8ad5-9609-4eb6-b67f-1846ac05e996,709,,,"[73.0, 50.3]",69296,11,,,,1.0516502,,Right Foot,,,"[87.8, 76.2]",,Ground Pass,,29.830353,,,,,Pedro Eliezer Rodríguez Ledesma,,,,,,,1,From Throw In,Xavier Hernández Creus,20131.0,Right Center Midfield,28,Barcelona,217,['b669da74-f051-4f0f-9aab-e5571427eeb7'],36,,,,,,,,,,,,,,,Barcelona,217,00:11:36.524,Pass,,73.0,50.3,87.8,76.2,7,4,8,7,0.019971,0.021221,0.0012500000000000011,0.0012500000000000011,,,,,2024-09-07 18:28:16.839459,2011-01-29,2010/2011,Spain - La Liga,Hércules vs Barcelona
,,,,,,,,,,,,,,,,1.497209,,,,,,,,,,,,,0714eeeb-ab06-4add-ba7d-8d50802d0edd,715,,,"[98.5, 80.0]",69296,11,,,,-2.8309941,,,,,"[82.3, 74.8]",,Low Pass,,17.014112,,,,,Daniel Alves da Silva,,,,,,Throw-in,1,From Throw In,Pedro Eliezer Rodríguez Ledesma,3958.0,Right Wing,29,Barcelona,217,['f37ca9e6-158d-4865-923c-2979ab115d1a'],46,,,,,,,,,,,,,,,Barcelona,217,00:11:46.868,Pass,,98.5,80.0,82.3,74.8,9,7,8,7,0.027563,0.021221,-0.006342,0.0,,,,,2024-09-07 18:28:16.839459,2011-01-29,2010/2011,Spain - La Liga,Hércules vs Barcelona
