bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,team_id,timestamp,type,under_pressure,x,y,end_x,end_y,x1_bin,y1_bin,x2_bin,y2_bin,start_zone_value,end_zone_value,pass_xT,progressive_xT,expected_assists_xA,shot_statsbomb_xg_cum,xg_chain,xg_buildup,Extraction Date,match_date,season,competition,h2h
,,,,,,,,,,,,,,,1.641718,,,,,,,,,,,,,9d620133-e4a4-4b51-863d-9a1749d06c91,1549,,"[53.8, 63.4]",69263,43,,,,,0.76977444,,Right Foot,,,,"[66.8, 76.0]",,Ground Pass,,18.104143,,,,Daniel Alves da Silva,,,,,,,1,Regular Play,Gerard Piqué Bernabéu,5213.0,Center Back,110,Barcelona,217,['0267a0a9-d486-408c-9af3-32f0748e971c'],54,,,,,,,,,,,,,,,Barcelona,217,00:43:54.471,Pass,,53.8,63.4,66.8,76.0,5,6,6,7,0.013845,0.014736,0.0008910000000000012,0.0008910000000000012,,,,,2024-09-07 18:28:45.899860,2010-10-23,2010/2011,Spain - La Liga,Real Zaragoza vs Barcelona
,,,,,,,,,,,,,,,0.9375,,,,,,,,,,,,,2a4ddf80-5e69-4a71-8188-b29f9dfe6609,1552,,"[82.8, 77.4]",69263,43,,,,,-0.9557068,,Right Foot,,,,"[89.3, 68.2]",,Ground Pass,,11.264546,,,,Pedro Eliezer Rodríguez Ledesma,,,,,,,1,Regular Play,Daniel Alves da Silva,4324.0,Right Wing Back,111,Barcelona,217,['f709ca78-98bb-4d62-a576-ba862c917f99'],57,,,,,,,,,,,,,,,Barcelona,217,00:43:57.869,Pass,,82.8,77.4,89.3,68.2,8,7,8,6,0.021221,0.024015,0.0027940000000000013,0.0027940000000000013,,,,,2024-09-07 18:28:45.899860,2010-10-23,2010/2011,Spain - La Liga,Real Zaragoza vs Barcelona
,,,,,,,,,,,,,,,1.1017,,,,,,,,,,,,,84f652bc-2c4e-42ec-84af-95da9a227488,1558,,"[31.4, 10.0]",69263,44,,,,,0.8139618,,Left Foot,,,,"[34.8, 13.6]",,Ground Pass,,4.9517674,,,,Leonardo Daniel Ponzio,,,,,,Recovery,1,Regular Play,Gabriel Fernández Arenas,6384.0,Center Defensive Midfield,112,Real Zaragoza,395,['8cb4369c-39ad-4293-921a-63623b674d96'],0,,,,,,,,,,,,,,,Real Zaragoza,395,00:44:00.316,Pass,,31.4,10.0,34.8,13.6,2,0,3,1,0.008449,0.010595,0.0021460000000000003,0.0021460000000000003,,,,,2024-09-07 18:28:45.899860,2010-10-23,2010/2011,Spain - La Liga,Real Zaragoza vs Barcelona
,,,,,,,,,,,,,,,0.5816,,,,,,,,,,,,,a7b4a629-c130-4ff0-8fc7-20162a7ca81b,1562,,"[33.9, 14.6]",69263,44,,,,,-1.3020933,,Right Foot,,,,"[35.8, 7.7]",,Ground Pass,,7.156815,,,,Gabriel Fernández Arenas,,,,,,,1,Regular Play,Leonardo Daniel Ponzio,25922.0,Left Center Midfield,112,Real Zaragoza,395,"['6c8a76a5-69ba-4372-8984-dea30d62b53a', 'ef1793f0-efa5-42d9-a8fe-b966540bb58d']",1,,,,,,,,,,,,,,,Real Zaragoza,395,00:44:01.598,Pass,True,33.9,14.6,35.8,7.7,3,1,3,0,0.010595,0.009777,-0.000818000000000001,0.0,,,,,2024-09-07 18:28:45.899860,2010-10-23,2010/2011,Spain - La Liga,Real Zaragoza vs Barcelona
,,,,,,,,,,,,,,,0.757235,,,,,,,,,,,,,bd444a31-15cd-427d-865e-af0b44836782,1572,,"[79.0, 67.3]",69263,44,,,,,0.08314123,,Left Foot,,,,"[94.6, 68.6]",,Ground Pass,,15.654073,,,,Lionel Andrés Messi Cuccittini,,,,,,,1,Regular Play,Daniel Alves da Silva,4324.0,Right Wing Back,112,Real Zaragoza,395,['4b9cf4b1-7ea8-468b-a8c6-de91b9aeed4a'],8,,,,,,,,,,,,,,,Barcelona,217,00:44:08.952,Pass,,79.0,67.3,94.6,68.6,7,6,9,6,0.018703,0.029533,0.01083,0.01083,,,,,2024-09-07 18:28:45.899860,2010-10-23,2010/2011,Spain - La Liga,Real Zaragoza vs Barcelona
,,,,,,,,,,,,,,,0.5063,,,,,,,,,,,,,8dc81127-23b3-413e-a2bc-d7324d4e7b85,1575,,"[93.3, 64.8]",69263,44,,,,,-0.44610554,,Left Foot,,,,"[100.2, 61.5]",,Low Pass,,7.648529,,Incomplete,,David Villa Sánchez,,,,,,,1,Regular Play,Lionel Andrés Messi Cuccittini,5503.0,Center Attacking Midfield,112,Real Zaragoza,395,"['a027630f-9138-47b5-a1a2-3299535b53b6', 'b22273cf-46af-4ea3-99e3-4133626b848a']",11,,,,,,,,,,,,,,,Barcelona,217,00:44:11.406,Pass,,93.3,64.8,100.2,61.5,9,6,9,6,0.029533,0.029533,0.0,0.0,,,,,2024-09-07 18:28:45.899860,2010-10-23,2010/2011,Spain - La Liga,Real Zaragoza vs Barcelona
,,,,,,,,,,,,,,,1.1831,,,,,,,,,,,,,4b97d967-6d61-4563-8ef7-2f0d0c9b2410,1579,,"[17.5, 18.2]",69263,44,,,,,0.21243203,,Right Foot,,,,"[22.6, 19.3]",,Low Pass,,5.217279,,Unknown,,,,,,,,,1,Regular Play,Ivan Obradović,23651.0,Left Wing Back,112,Real Zaragoza,395,,12,,,,,,,,,,,,,,,Real Zaragoza,395,00:44:12.338,Pass,,17.5,18.2,22.6,19.3,1,1,2,1,0.008786,0.009424,0.0006379999999999997,0.0006379999999999997,,,,,2024-09-07 18:28:45.899860,2010-10-23,2010/2011,Spain - La Liga,Real Zaragoza vs Barcelona
,,,,,,,,,,,,,,,2.5154,,,,,,,,,,,,,8d8e0e6f-dac9-47fe-8169-7de057df7a36,1582,,"[97.3, 61.0]",69263,44,,,,,0.13845275,,Right Foot,,,,"[109.5, 62.7]",,Ground Pass,,12.317873,,,,Lionel Andrés Messi Cuccittini,,,,,,Free Kick,1,From Free Kick,Sergio Busquets i Burgos,5203.0,Right Defensive Midfield,113,Barcelona,217,['3a4b25a5-5872-4da0-a0ad-fabc657f4a09'],53,,,,,,,,,,,,,,,Barcelona,217,00:44:53.936,Pass,,97.3,61.0,109.5,62.7,9,6,10,6,0.029533,0.04067,0.011136999999999998,0.011136999999999998,,,,,2024-09-07 18:28:45.899860,2010-10-23,2010/2011,Spain - La Liga,Real Zaragoza vs Barcelona
,,,,,,,,,,,,,,,1.637151,,,,,,,,,,,,,4f6ffc88-a82f-42fa-9860-f93cf6b50ed6,1585,,"[112.6, 62.5]",69263,44,,,,,-1.1408148,,Right Foot,True,,,"[119.8, 46.8]",,High Pass,,17.272232,,Out,,,,,,,,,1,From Free Kick,Lionel Andrés Messi Cuccittini,5503.0,Center Attacking Midfield,113,Barcelona,217,,56,,,,,,,,,,,,,,,Barcelona,217,00:44:56.640,Pass,,112.6,62.5,119.8,46.8,11,6,11,4,0.046477,0.257454,0.21097700000000003,0.21097700000000003,,,,,2024-09-07 18:28:45.899860,2010-10-23,2010/2011,Spain - La Liga,Real Zaragoza vs Barcelona
,,,,,,,,,,,,,,,2.6836,,,,,,,,,,,,,ec40766a-545f-4eac-b775-bf71112e86da,1586,,"[6.0, 44.0]",69263,45,,True,,,-0.4662383,,Right Foot,,,,"[83.1, 5.2]",,High Pass,,86.312515,,,,Ángel Lafita Castillo,,,,,,Goal Kick,1,From Goal Kick,Antonio Baltasar Doblas Santana,26484.0,Goalkeeper,114,Real Zaragoza,395,['3c69c310-d032-434e-b55e-ff7772d6b8a4'],33,,,,,,,,,,,,,,,Real Zaragoza,395,00:45:33.840,Pass,,6.0,44.0,83.1,5.2,0,4,8,0,0.009411,0.021221,0.011810000000000001,0.011810000000000001,,,,,2024-09-07 18:28:45.899860,2010-10-23,2010/2011,Spain - La Liga,Real Zaragoza vs Barcelona
,,,,,,,,,,,,,,,0.8687,,,,,,,,,,,,,c1040887-9eb3-4ffa-a032-badf37f9cd45,1589,,"[43.5, 80.0]",69263,45,,,,,-1.0636978,,,,,,"[46.0, 75.5]",,High Pass,,5.147815,,,,Sergio Busquets i Burgos,,,,,,Throw-in,1,From Throw In,Daniel Alves da Silva,4324.0,Right Wing Back,115,Barcelona,217,['8b0d4078-04fa-4b20-9333-341c60306ab2'],44,,,,,,,,,,,,,,,Barcelona,217,00:45:44.987,Pass,,43.5,80.0,46.0,75.5,4,7,4,7,0.011263,0.011263,0.0,0.0,,,,,2024-09-07 18:28:45.899860,2010-10-23,2010/2011,Spain - La Liga,Real Zaragoza vs Barcelona
,,,,,,,,,,,,,,,1.1486,,,,,,,,,,,,,a6004d69-44d0-4508-820b-311e2075a74d,1592,,"[46.0, 75.5]",69263,45,,,,,0.048610326,,Right Foot,,,,"[64.5, 76.4]",,High Pass,,18.52188,,Incomplete,,,,,,,,,1,From Throw In,Sergio Busquets i Burgos,5203.0,Right Defensive Midfield,115,Barcelona,217,['e46da97b-2f08-4d84-8c7d-32e5f43984ab'],45,,,,,,,,,,,,,,,Barcelona,217,00:45:45.935,Pass,,46.0,75.5,64.5,76.4,4,7,6,7,0.011263,0.014736,0.0034730000000000004,0.0034730000000000004,,,,,2024-09-07 18:28:45.899860,2010-10-23,2010/2011,Spain - La Liga,Real Zaragoza vs Barcelona
