50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,player_off_permanent,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,team_id,timestamp,type,under_pressure,x,y,end_x,end_y,x1_bin,y1_bin,x2_bin,y2_bin,start_zone_value,end_zone_value,pass_xT,progressive_xT,expected_assists_xA,shot_statsbomb_xg_cum,xg_chain,xg_buildup,Extraction Date,match_date,season,competition,h2h
,,,,,,,,,,,,,,,,,,1.577981,,,,,,,,,,,,,2bb5fbef-34b4-4f58-8eed-86d983871b22,968,,,"[84.0, 45.1]",69299,23,,,,,1.0439048,,Right Foot,,,,"[99.3, 71.4]",,Ground Pass,,30.426634,,,,Pedro Eliezer Rodríguez Ledesma,,,,,,1,From Throw In,Xavier Hernández Creus,20131.0,,Right Center Midfield,42,Barcelona,217,"['463cc5a0-b415-4dd8-ab09-b9b68df697e9', 'af7d01ba-027a-4260-8e72-6697b3b32ec7']",10,,,,,,,,,,,,,,,,Barcelona,217,00:23:10.765,Pass,True,84.0,45.1,99.3,71.4,8,4,9,7,0.023851,0.027563,0.003712,0.003712,,,,,2024-09-07 18:28:41.239433,2010-11-29,2010/2011,Spain - La Liga,Barcelona vs Real Madrid
,,,,,,,,,,,,,,,,,,1.635827,,,,,,,,,,,,,79a8b968-9a6e-4d65-b89b-8539753e8005,971,,,"[114.0, 63.4]",69299,23,,,,,-1.5336512,,Right Foot,True,,,"[115.1, 33.8]",,High Pass,,29.620432,,Incomplete,,David Villa Sánchez,,,,,,1,From Throw In,Pedro Eliezer Rodríguez Ledesma,3958.0,,Right Wing,42,Barcelona,217,"['5c7533c3-311e-47ec-b217-e0bf955faf96', 'c73cadef-c376-40dc-bee6-bde0a06629b1']",16,,,,,,,,,,,,,,,,Barcelona,217,00:23:16.208,Pass,,114.0,63.4,115.1,33.8,11,6,11,3,0.046477,0.257454,0.21097700000000003,0.21097700000000003,,,,,2024-09-07 18:28:41.239433,2010-11-29,2010/2011,Spain - La Liga,Barcelona vs Real Madrid
,,,,,,,,,,,,,,,,,,0.84621,,,,,,,,,,,,,ff9fb1c7-cf83-418b-b2c7-b89871f0636b,974,,,"[120.0, 1.0]",69299,23,,True,,,2.8054545,,Right Foot,,,,"[111.7, 3.9]",,Ground Pass,,8.792042,,,,Lionel Andrés Messi Cuccittini,,,,,Corner,1,From Corner,Xavier Hernández Creus,20131.0,,Right Center Midfield,43,Barcelona,217,['7df93687-da85-40b7-a831-3352c11f37a8'],36,,,,,,,,,,,,,,,,Barcelona,217,00:23:36.345,Pass,,120.0,1.0,111.7,3.9,11,0,11,0,0.037926,0.037926,0.0,0.0,,,,,2024-09-07 18:28:41.239433,2010-11-29,2010/2011,Spain - La Liga,Barcelona vs Real Madrid
,,,,,,,,,,,,,,,,,,0.71799,,,,,,,,,,,,,34e6d37a-c429-4b10-80ad-c8cbc0ec18d3,977,,,"[111.5, 2.9]",69299,23,,,,,2.4954739,,Left Foot,,,,"[105.4, 7.5]",,Ground Pass,,7.640026,,,,Xavier Hernández Creus,,,,,,1,From Corner,Lionel Andrés Messi Cuccittini,5503.0,,Center Forward,43,Barcelona,217,"['7a6fb5c6-ebc6-4e7c-855e-8e866f6b5d3b', 'c76b492f-4389-4c37-9154-7b8bde13c08a']",38,,,,,,,,,,,,,,,,Barcelona,217,00:23:38.694,Pass,True,111.5,2.9,105.4,7.5,11,0,10,0,0.037926,0.034851,-0.0030750000000000013,0.0,,,,,2024-09-07 18:28:41.239433,2010-11-29,2010/2011,Spain - La Liga,Barcelona vs Real Madrid
,,,,,,,,,,,,,,,,,,1.470092,,,,,,,,,,,,,6ebd2c4a-a72d-4397-b782-4db1db177bfa,980,,,"[97.2, 19.3]",69299,23,,,,,2.0665276,,Right Foot,,,,"[84.6, 42.6]",,Ground Pass,,26.488676,,,,Daniel Alves da Silva,,,,,,1,From Corner,Xavier Hernández Creus,20131.0,,Right Center Midfield,43,Barcelona,217,['33b1b0aa-0022-4c6a-8832-44d249753d26'],42,,,,,,,,,,,,,,,,Barcelona,217,00:23:42.188,Pass,,97.2,19.3,84.6,42.6,9,1,8,4,0.029533,0.023851,-0.0056819999999999996,0.0,,,,,2024-09-07 18:28:41.239433,2010-11-29,2010/2011,Spain - La Liga,Barcelona vs Real Madrid
,,,,,,,,,,,,,,,,,,1.1246,,,,,,,,,,,,,d3b7c658-68ff-4c54-b1ba-9f3a88ad73a1,983,,,"[85.2, 42.6]",69299,23,,,,,-0.34067574,,Right Foot,,,,"[104.1, 35.9]",,High Pass,,20.052431,,Incomplete,,Xavier Hernández Creus,,,,,,1,From Corner,Daniel Alves da Silva,4324.0,,Right Back,43,Barcelona,217,"['19804683-c359-4c6f-92c4-059546ddcd9b', '385beb37-10f7-497e-b624-7cfd12a69075']",44,,,,,,,,,,,,,,,,Barcelona,217,00:23:44.771,Pass,,85.2,42.6,104.1,35.9,8,4,10,3,0.023851,0.108051,0.0842,0.0842,,,,,2024-09-07 18:28:41.239433,2010-11-29,2010/2011,Spain - La Liga,Barcelona vs Real Madrid
,,,,,,,,,,,,,,,,,,2.945484,,,,,,,,,,,,,b4a2dd05-c1a0-47eb-9eab-ef9c895aff2e,988,,,"[15.4, 44.3]",69299,23,,,,,-0.17767802,,Drop Kick,,,,"[76.1, 33.4]",,High Pass,,61.670902,,Incomplete,,Mesut Özil,,,,,,1,From Corner,Iker Casillas Fernández,11179.0,,Goalkeeper,43,Barcelona,217,"['b54e37dc-83ac-46af-9722-324a1183a6f5', 'ed376a81-85a2-4a79-9b5b-a7294fe4c32f']",50,,,,,,,,,,,,,,,,Real Madrid,220,00:23:50.702,Pass,,15.4,44.3,76.1,33.4,1,4,7,3,0.010827,0.019971,0.009144,0.009144,,,,,2024-09-07 18:28:41.239433,2010-11-29,2010/2011,Spain - La Liga,Barcelona vs Real Madrid
,,,,,,,,,,,,,,,,,,1.927324,,,,,,,,,,,,,0cf6c631-73cb-4aa6-9c08-5701fd3407af,991,,,"[31.8, 43.6]",69299,23,,,,,3.0528214,,Head,,,,"[12.7, 45.3]",,Low Pass,,19.175505,,,,Víctor Valdés Arribas,,,,,,1,From Corner,Daniel Alves da Silva,4324.0,,Right Back,43,Barcelona,217,['336ea871-f5f7-4c4d-ac71-06d558312645'],55,,,,,,,,,,,,,,,,Barcelona,217,00:23:55.537,Pass,,31.8,43.6,12.7,45.3,2,4,0,4,0.010165,0.009411,-0.0007540000000000012,0.0,,,,,2024-09-07 18:28:41.239433,2010-11-29,2010/2011,Spain - La Liga,Barcelona vs Real Madrid
,,,,,,,,,,,,,,,,,,1.347973,,,,,,,,,,,,,d73f8826-ee73-4c04-aec6-d93a10a44e08,994,,,"[13.8, 44.5]",69299,24,,,,,-1.1796211,,Right Foot,,,,"[21.1, 26.8]",,Ground Pass,,19.146278,,,,Gerard Piqué Bernabéu,,,,,,1,From Corner,Víctor Valdés Arribas,20176.0,,Goalkeeper,43,Barcelona,217,['56d5f3a4-add8-4e2a-9dad-b121f1812e7c'],1,,,,,,,,,,,,,,,,Barcelona,217,00:24:01.961,Pass,,13.8,44.5,21.1,26.8,1,4,1,2,0.010827,0.009777,-0.0010500000000000006,0.0,,,,,2024-09-07 18:28:41.239433,2010-11-29,2010/2011,Spain - La Liga,Barcelona vs Real Madrid
,,,,,,,,,,,,,,,,,,1.430922,,,,,,,,,,,,,2771e7b3-36b6-41f0-8820-ba615c69fd40,997,,,"[27.2, 26.2]",69299,24,,,,,-0.9942635,,Right Foot,,,,"[41.7, 3.9]",,Ground Pass,,26.599625,,,,Eric-Sylvain Bilal Abidal,,,,,,1,From Corner,Gerard Piqué Bernabéu,5213.0,,Right Center Back,43,Barcelona,217,['7543ea0c-6090-495d-bade-e8fd49bc888c'],7,,,,,,,,,,,,,,,,Barcelona,217,00:24:07.218,Pass,,27.2,26.2,41.7,3.9,2,2,3,0,0.010013,0.009777,-0.0002360000000000001,0.0,,,,,2024-09-07 18:28:41.239433,2010-11-29,2010/2011,Spain - La Liga,Barcelona vs Real Madrid
