bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,team_id,timestamp,type,under_pressure,x,y,end_x,end_y,x1_bin,y1_bin,x2_bin,y2_bin,start_zone_value,end_zone_value,pass_xT,progressive_xT,expected_assists_xA,shot_statsbomb_xg_cum,xg_chain,xg_buildup,Extraction Date,match_date,season,competition,h2h
,,,,,,,,,,,,,,,,,0.189166,,,,,,,,,,,,,,b22d3d28-7871-4534-9f76-2c9c69a655bb,3754,,,"[104.9, 76.1]",69234,82,,,,,-1.241172,,Right Foot,,,"[107.5, 68.5]",,High Pass,,8.032434,,Incomplete,,,,,,,,,2,Regular Play,Pedro Eliezer Rodríguez Ledesma,3958.0,Right Wing,180,Barcelona,217,['48c8d176-f1ff-40d3-8cda-61195669908d'],32,,,,,,,,,,,,,,,Barcelona,217,00:37:32.324,Pass,,104.9,76.1,107.5,68.5,10,7,10,6,0.034851,0.04067,0.005818999999999998,0.005818999999999998,,,,,2024-09-07 18:28:33.314212,2011-05-08,2010/2011,Spain - La Liga,Barcelona vs Espanyol
,,,,,,,,,,,,,,,,,0.9486,,,,,,,,,,,,,,ea6cff14-43c3-44a6-92cb-cf64993132fc,3757,,,"[101.2, 80.0]",69234,83,,,,,-1.8411217,,,,,"[98.9, 71.7]",,High Pass,,8.612782,,,,Xavier Hernández Creus,,,,,,Throw-in,2,From Throw In,Daniel Alves da Silva,4324.0,Right Back,181,Barcelona,217,['501454f6-d7ac-4048-bfc8-9c85ea479c85'],33,,,,,,,,,,,,,,,Barcelona,217,00:38:33.552,Pass,,101.2,80.0,98.9,71.7,10,7,9,7,0.034851,0.027563,-0.007287999999999999,0.0,,,,,2024-09-07 18:28:33.314212,2011-05-08,2010/2011,Spain - La Liga,Barcelona vs Espanyol
,,,,,,,,,,,,,,,,,0.6302,,,,,,,,,,,,,,5d81eccf-c9a8-4e5b-b75e-3fcc62d919fc,3761,,,"[97.9, 70.0]",69234,83,,,,,1.439969,,Right Foot,,,"[98.9, 77.6]",,Ground Pass,,7.6655073,,,,Daniel Alves da Silva,,,,,,,2,From Throw In,Xavier Hernández Creus,20131.0,Right Center Midfield,181,Barcelona,217,"['272b9cb3-8822-49b6-9e67-b0e27b8ccaeb', 'e4801a70-0d25-45ab-bfbb-89139133de00']",34,,,,,,,,,,,,,,,Barcelona,217,00:38:34.616,Pass,True,97.9,70.0,98.9,77.6,9,6,9,7,0.029533,0.027563,-0.0019699999999999995,0.0,,,,,2024-09-07 18:28:33.314212,2011-05-08,2010/2011,Spain - La Liga,Barcelona vs Espanyol
,,,,,,,,,,,,,,,,,0.9817,,,,,,,,,,,,,,fc768dce-d9ae-430f-a4f2-e42c2426a957,3764,,,"[98.9, 78.2]",69234,83,,,,,-2.6439025,,Right Foot,,,"[86.2, 71.3]",,Ground Pass,,14.453373,,,,Lionel Andrés Messi Cuccittini,,,,,,,2,From Throw In,Daniel Alves da Silva,4324.0,Right Back,181,Barcelona,217,['666a7005-3a20-4524-89b4-cd1ef32ea18e'],35,,,,,,,,,,,,,,,Barcelona,217,00:38:35.366,Pass,,98.9,78.2,86.2,71.3,9,7,8,7,0.027563,0.021221,-0.006342,0.0,,,,,2024-09-07 18:28:33.314212,2011-05-08,2010/2011,Spain - La Liga,Barcelona vs Espanyol
,,,,,,,,,,,,,,,,,0.5547,,,,,,,,,,,,,,321e1683-3666-4867-badd-9590d0aeab0a,3766,,,"[86.8, 71.9]",69234,83,,,,,0.92955256,,Left Foot,,,"[92.1, 79.0]",,Ground Pass,,8.860023,,,,Daniel Alves da Silva,,,,,,,2,From Throw In,Lionel Andrés Messi Cuccittini,5503.0,Center Forward,181,Barcelona,217,['f5e74f78-8b3e-456e-81cc-f6b4b0a288a0'],36,,,,,,,,,,,,,,,Barcelona,217,00:38:36.348,Pass,,86.8,71.9,92.1,79.0,8,7,9,7,0.021221,0.027563,0.006342,0.006342,,,,,2024-09-07 18:28:33.314212,2011-05-08,2010/2011,Spain - La Liga,Barcelona vs Espanyol
,,,,,,,,,,,,,,,,,0.6214,,,,,,,,,,,,,,97460493-c1e9-46d0-8d58-dcacd4d8ba5b,3769,,,"[91.9, 79.0]",69234,83,,,,,-2.2769954,,Right Foot,,,"[86.1, 72.2]",,Ground Pass,,8.937561,,,,Lionel Andrés Messi Cuccittini,,,,,,,2,From Throw In,Daniel Alves da Silva,4324.0,Right Back,181,Barcelona,217,['8d62dfc1-fda6-4e06-88ca-0234100c933f'],37,,,,,,,,,,,,,,,Barcelona,217,00:38:37.254,Pass,,91.9,79.0,86.1,72.2,9,7,8,7,0.027563,0.021221,-0.006342,0.0,,,,,2024-09-07 18:28:33.314212,2011-05-08,2010/2011,Spain - La Liga,Barcelona vs Espanyol
,,,,,,,,,,,,,,,,,0.6149,,,,,,,,,,,,,,29b456bf-74de-451a-b994-d21ac6038df7,3773,,,"[85.8, 74.8]",69234,83,,,,,0.44142905,,Left Foot,,,"[94.9, 79.1]",,Ground Pass,,10.06479,,,,Xavier Hernández Creus,,,,,,,2,From Throw In,Lionel Andrés Messi Cuccittini,5503.0,Center Forward,181,Barcelona,217,"['bbf054fa-590a-4a17-8549-f916b3d86083', 'e9c0cf0c-9aaa-477f-8416-7dd5627da40a']",39,,,,,,,,,,,,,,,Barcelona,217,00:38:39.050,Pass,True,85.8,74.8,94.9,79.1,8,7,9,7,0.021221,0.027563,0.006342,0.006342,,,,,2024-09-07 18:28:33.314212,2011-05-08,2010/2011,Spain - La Liga,Barcelona vs Espanyol
,,,,,,,,,,,,,,,,,0.6927,,,,,,,,,,,,,,658422a7-d9c0-4ee6-ae20-e3845c199375,3776,,,"[91.5, 79.6]",69234,83,,,,,-1.3925289,,Right Foot,,,"[93.5, 68.5]",,Ground Pass,,11.278741,,,,Lionel Andrés Messi Cuccittini,,,,,,,2,From Throw In,Xavier Hernández Creus,20131.0,Right Center Midfield,181,Barcelona,217,['ade4a620-3685-43f7-aa6d-a539acc2974c'],41,,,,,,,,,,,,,,,Barcelona,217,00:38:41.020,Pass,,91.5,79.6,93.5,68.5,9,7,9,6,0.027563,0.029533,0.0019699999999999995,0.0019699999999999995,,,,,2024-09-07 18:28:33.314212,2011-05-08,2010/2011,Spain - La Liga,Barcelona vs Espanyol
,,,,,,,,,,,,,,,,,1.2579,,,,,,,,,,,,,,441f4af5-cedc-4627-8b17-76f7c73c6b58,3780,,,"[98.9, 63.4]",69234,83,,,,,-2.3488953,,Right Foot,,,"[92.1, 56.5]",,Ground Pass,,9.687621,,,,Daniel Alves da Silva,,,,,,,2,From Throw In,Lionel Andrés Messi Cuccittini,5503.0,Center Forward,181,Barcelona,217,"['9a78f494-bd0a-42cd-8839-b7226b1dc2db', 'bab6015e-7416-494c-88f3-20dc44afbc28']",43,,,,,,,,,,,,,,,Barcelona,217,00:38:43.342,Pass,True,98.9,63.4,92.1,56.5,9,6,9,5,0.029533,0.028552,-0.0009809999999999992,0.0,,,,,2024-09-07 18:28:33.314212,2011-05-08,2010/2011,Spain - La Liga,Barcelona vs Espanyol
,,,,,,,,,,,,,,,,,0.1071,,,,,,,,,,,,,,b7c28712-7251-4dce-8e53-b3c12a801405,3783,,,"[92.1, 56.5]",69234,83,,,,,0.23255694,,Right Foot,,,"[95.9, 57.4]",,Low Pass,,3.905125,,Incomplete,,Lionel Andrés Messi Cuccittini,,,,,,,2,From Throw In,Daniel Alves da Silva,4324.0,Right Back,181,Barcelona,217,"['db3a6d1a-c4e4-480a-a0a3-ee42e125fa3c', 'dc581168-9c82-4f9a-92f5-ee738be79706']",44,,,,,,,,,,,,,,,Barcelona,217,00:38:44.640,Pass,,92.1,56.5,95.9,57.4,9,5,9,5,0.028552,0.028552,0.0,0.0,,,,,2024-09-07 18:28:33.314212,2011-05-08,2010/2011,Spain - La Liga,Barcelona vs Espanyol
,,,,,,,,,,,,,,,,,1.068756,,,,,,,,,,,,,,dc16c736-9588-43c3-a2bb-92c1316a3620,3786,,,"[91.5, 56.2]",69234,83,,,,,1.5948881,,Right Foot,,,"[91.1, 72.8]",,Ground Pass,,16.604818,,,,Xavier Hernández Creus,,,,,,Recovery,2,From Throw In,Daniel Alves da Silva,4324.0,Right Back,181,Barcelona,217,['08234798-6245-43ab-a7d0-c1860b558995'],46,,,,,,,,,,,,,,,Barcelona,217,00:38:46.187,Pass,,91.5,56.2,91.1,72.8,9,5,8,7,0.028552,0.021221,-0.007331000000000001,0.0,,,,,2024-09-07 18:28:33.314212,2011-05-08,2010/2011,Spain - La Liga,Barcelona vs Espanyol
,,,,,,,,,,,,,,,,,0.9627,,,,,,,,,,,,,,513ecf7f-7b28-47fe-984b-19032e2d9684,3789,,,"[90.7, 73.3]",69234,83,,,,,-2.2726457,,Right Foot,,,"[81.4, 62.3]",,Ground Pass,,14.404513,,,,Sergio Busquets i Burgos,,,,,,,2,From Throw In,Xavier Hernández Creus,20131.0,Right Center Midfield,181,Barcelona,217,['e86e026e-1a06-45cd-bf18-39c145f3323b'],47,,,,,,,,,,,,,,,Barcelona,217,00:38:47.797,Pass,,90.7,73.3,81.4,62.3,9,7,7,6,0.027563,0.018703,-0.00886,0.0,,,,,2024-09-07 18:28:33.314212,2011-05-08,2010/2011,Spain - La Liga,Barcelona vs Espanyol
,,,,,,,,,,,,,,,,,0.7542,,,,,,,,,,,,,,9308af8e-45ec-4793-b0f9-8da72b5a9b09,3792,,,"[77.9, 61.6]",69234,83,,,,,-1.2490457,,Right Foot,,,"[80.8, 52.9]",,Ground Pass,,9.170606,,,,Ibrahim Afellay,,,,,,,2,From Throw In,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,181,Barcelona,217,['355fd456-26b3-41de-bc97-2a2b9ff42c31'],48,,,,,,,,,,,,,,,Barcelona,217,00:38:48.960,Pass,,77.9,61.6,80.8,52.9,7,6,7,5,0.018703,0.019351,0.0006479999999999993,0.0006479999999999993,,,,,2024-09-07 18:28:33.314212,2011-05-08,2010/2011,Spain - La Liga,Barcelona vs Espanyol
