50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_lost_in_play,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_off_target,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_saved_off_target,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,team_id,timestamp,type,under_pressure,x,y,end_x,end_y,x1_bin,y1_bin,x2_bin,y2_bin,start_zone_value,end_zone_value,pass_xT,progressive_xT,expected_assists_xA,shot_statsbomb_xg_cum,xg_chain,xg_buildup,Extraction Date,match_date,season,competition,h2h
,,,,,,,,,,,,,,,,2.13449,,,,,,,,,,,,,,,b14d44d3-cc48-4401-8121-70ab8318551b,2791,,"[100.9, 80.0]",69236,74,,True,,,-2.1442368,,,,,"[91.6, 65.6]",,Low Pass,,17.142054,,,,Thiago Alcântara do Nascimento,,,,,,Throw-in,2,From Throw In,Daniel Alves da Silva,4324.0,Right Back,148,Barcelona,217,['913045b9-02cc-4fd3-b114-e0dfa6450ab1'],28,,,,,,,,,,,,,,,,,Barcelona,217,00:29:28.866,Pass,,100.9,80.0,91.6,65.6,10,7,9,6,0.034851,0.029533,-0.005318,0.0,,,,,2024-09-07 18:28:32.546335,2010-10-03,2010/2011,Spain - La Liga,Barcelona vs Mallorca
,,,,,,,,,,,,,,,,1.635613,,,,,,,,,,,,,,,4aac15c4-7eb3-4a40-bfb0-2720ff04be40,2793,,"[91.6, 65.6]",69236,74,,True,,,-1.0284183,,Right Foot,True,,"[114.2, 28.1]",,High Pass,,43.783672,,Incomplete,,,,,,,,,2,From Throw In,Thiago Alcântara do Nascimento,5208.0,Left Center Midfield,148,Barcelona,217,['ba9cc4bc-5d00-4796-af8a-87c9717b4a44'],41,,,,,,,,,,,,,,,,,Barcelona,217,00:29:41.957,Pass,,91.6,65.6,114.2,28.1,9,6,11,2,0.029533,0.064426,0.03489299999999999,0.03489299999999999,,,,,2024-09-07 18:28:32.546335,2010-10-03,2010/2011,Spain - La Liga,Barcelona vs Mallorca
,,,,,,,,,,,,,,,,1.512671,,,,,,,,,,,,,,,d5a7e2e4-c903-46cf-881b-b76ee267221a,2795,,"[120.0, 0.1]",69236,74,,,,,1.8065388,,Left Foot,,,"[110.8, 38.4]",,High Pass,,39.389465,,Incomplete,True,Gerard Piqué Bernabéu,,,,Outswinging,,Corner,2,From Corner,Lionel Andrés Messi Cuccittini,5503.0,Center Forward,149,Barcelona,217,"['369a0fb8-c71a-4e55-9138-403b510af782', 'b509e549-8296-4286-8600-7e39ed014a22']",56,,,,,,,,,,,,,,,,,Barcelona,217,00:29:56.610,Pass,,120.0,0.1,110.8,38.4,11,0,11,3,0.037926,0.257454,0.219528,0.219528,,,,,2024-09-07 18:28:32.546335,2010-10-03,2010/2011,Spain - La Liga,Barcelona vs Mallorca
,,,,,,,,,,,,,,,,1.975,,,,,,,,,,,,,,,764d6688-3d11-42d2-ab92-12ef534005ab,2800,,"[6.0, 44.0]",69236,75,,,,,-0.028294334,,Right Foot,,,"[59.0, 42.5]",,High Pass,,53.02122,,,,Jose Luis Martí Soler,,,,,,Goal Kick,2,From Goal Kick,Dudú Aouate,26146.0,Goalkeeper,150,Mallorca,1043,['3444fbc0-5ae6-4902-aaed-7a48a10793c9'],21,,,,,,,,,,,,,,,,,Mallorca,1043,00:30:21.770,Pass,,6.0,44.0,59.0,42.5,0,4,5,4,0.009411,0.014846,0.005435000000000001,0.005435000000000001,,,0.0060665985,0.0060665985,2024-09-07 18:28:32.546335,2010-10-03,2010/2011,Spain - La Liga,Barcelona vs Mallorca
,,,,,,,,,,,,,,,,2.0123,,,,,,,,,,,,,,,b9d4259e-303c-4fb9-9a0f-82427db84664,2802,,"[58.2, 40.8]",69236,75,,,,,0.10266805,222c556e-25f4-4e63-bc6a-0a267cdaa4b6,Head,,,"[74.7, 42.5]",,High Pass,,16.587345,,,,Pierre Achille Webó Kouamo,True,,,,,,2,From Goal Kick,Jose Luis Martí Soler,25948.0,Left Center Midfield,150,Mallorca,1043,['aaae2ec4-011e-4d5d-81bc-0635ee2758e9'],23,,,,,,,,,,,,,,,,,Mallorca,1043,00:30:23.785,Pass,,58.2,40.8,74.7,42.5,5,4,7,4,0.014846,0.019971,0.005124999999999999,0.005124999999999999,0.0060665985,,0.0060665985,,2024-09-07 18:28:32.546335,2010-10-03,2010/2011,Spain - La Liga,Barcelona vs Mallorca
,,,,,,,,,,,,,,,,0.818024,,,,,,,,,,,,,,,222c556e-25f4-4e63-bc6a-0a267cdaa4b6,2805,,"[77.6, 38.6]",69236,75,,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,Pierre Achille Webó Kouamo,25876.0,Center Forward,150,Mallorca,1043,['a28da874-c47d-47a7-8088-cbae074c8d75'],26,,Right Foot,,"[103.6, 30.5]",,"[{'location': [59.9, 27.8], 'player': {'id': 3958, 'name': 'Pedro Eliezer Rodríguez Ledesma'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [70.5, 39.4], 'player': {'id': 5208, 'name': 'Thiago Alcântara do Nascimento'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [74.3, 39.6], 'player': {'id': 5506, 'name': 'Javier Alejandro Mascherano'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [78.6, 27.7], 'player': {'id': 4324, 'name': 'Daniel Alves da Silva'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [84.3, 37.2], 'player': {'id': 5213, 'name': 'Gerard Piqué Bernabéu'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [83.3, 39.8], 'player': {'id': 25919, 'name': 'Gabriel Alejandro Milito'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [80.6, 57.0], 'player': {'id': 20177, 'name': 'Eric-Sylvain Bilal Abidal'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [65.4, 51.2], 'player': {'id': 5216, 'name': 'Andrés Iniesta Luján'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [56.6, 28.7], 'player': {'id': 26673, 'name': 'Kevin Martín García Martínez'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}, {'location': [58.1, 41.8], 'player': {'id': 25948, 'name': 'Jose Luis Martí Soler'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [66.3, 41.8], 'player': {'id': 26675, 'name': 'João Victor de Albuquerque Bruno'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [69.2, 47.9], 'player': {'id': 8675, 'name': 'Jonathan de Guzmán'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [73.4, 27.5], 'player': {'id': 13581, 'name': 'Emilio Nsue López'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [76.8, 57.9], 'player': {'id': 26671, 'name': 'Michaël Pereira'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [117.2, 39.7], 'player': {'id': 20176, 'name': 'Víctor Valdés Arribas'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}]",b9d4259e-303c-4fb9-9a0f-82427db84664,,Wayward,,0.0060665985,Volley,Open Play,,,,Mallorca,1043,00:30:26.424,Shot,,77.6,38.6,,,7,3,0,0,0.019971,0.006383,-0.013588,0.0,,0.0060665985,0.0060665985,,2024-09-07 18:28:32.546335,2010-10-03,2010/2011,Spain - La Liga,Barcelona vs Mallorca
,,,,,,,,,,,,,,,,1.077312,,,,,,,,,,,,,,,f55cd5f9-7a43-4682-a558-4693528ec049,2808,,"[7.9, 56.9]",69236,75,,True,,,0.37510687,,Right Foot,,,"[23.9, 63.2]",,Ground Pass,,17.195639,,,,Gerard Piqué Bernabéu,,,,,,,2,Regular Play,Víctor Valdés Arribas,20176.0,Goalkeeper,151,Barcelona,217,['7409a660-ce22-4ae0-9f71-cc1acb0bf492'],31,,,,,,,,,,,,,,,,,Barcelona,217,00:30:31.115,Pass,,7.9,56.9,23.9,63.2,0,5,2,6,0.00888,0.009424,0.0005439999999999993,0.0005439999999999993,,,0.028900856,0.028900856,2024-09-07 18:28:32.546335,2010-10-03,2010/2011,Spain - La Liga,Barcelona vs Mallorca
,,,,,,,,,,,,,,,,2.310882,,,,,,,,,,,,,,,c2f90b81-6ef0-45f2-9883-dcdc5253cbcf,2810,,"[23.7, 63.2]",69236,75,,True,,,0.08220528,,Right Foot,,,"[85.6, 68.3]",,Ground Pass,,62.10974,,,,Pedro Eliezer Rodríguez Ledesma,,,,,,,2,Regular Play,Gerard Piqué Bernabéu,5213.0,Right Center Back,151,Barcelona,217,['f99fc199-ec6b-41f7-9227-e1d9ca84bf9d'],36,,,,,,,,,,,,,,,,,Barcelona,217,00:30:36.714,Pass,,23.7,63.2,85.6,68.3,2,6,8,6,0.009424,0.024015,0.014591000000000002,0.014591000000000002,,,0.028900856,0.028900856,2024-09-07 18:28:32.546335,2010-10-03,2010/2011,Spain - La Liga,Barcelona vs Mallorca
,,,,,,,,,,,,,,,,0.978406,,,,,,,,,,,,,,,6a4704bf-1e3f-46a1-aa1e-89bdaf55af85,2812,,"[87.3, 63.4]",69236,75,,,,,1.7755773,,Right Foot,,,"[84.6, 76.4]",,Ground Pass,,13.277425,,,,Daniel Alves da Silva,,,,,,,2,Regular Play,Pedro Eliezer Rodríguez Ledesma,3958.0,Right Wing,151,Barcelona,217,['c81e1587-cc02-4eb1-b254-8c0a0e1301af'],42,,,,,,,,,,,,,,,,,Barcelona,217,00:30:42.386,Pass,,87.3,63.4,84.6,76.4,8,6,8,7,0.024015,0.021221,-0.0027940000000000013,0.0,,,0.028900856,0.028900856,2024-09-07 18:28:32.546335,2010-10-03,2010/2011,Spain - La Liga,Barcelona vs Mallorca
,,,,,,,,,,,,,,,,0.208261,,,,,,,,,,,,,,,3857a429-c783-4706-aa9d-3bd2202bc35f,2815,,"[84.4, 75.7]",69236,75,,,,,-2.0156176,,Right Foot,,,"[75.2, 56.4]",,Ground Pass,,21.380598,,,,Thiago Alcântara do Nascimento,,,,,,,2,Regular Play,Daniel Alves da Silva,4324.0,Right Back,151,Barcelona,217,['25ff8caa-e461-4a36-a920-8035c6e7b7e3'],44,,,,,,,,,,,,,,,,,Barcelona,217,00:30:44.197,Pass,,84.4,75.7,75.2,56.4,8,7,7,5,0.021221,0.019351,-0.0018700000000000001,0.0,,,0.028900856,0.028900856,2024-09-07 18:28:32.546335,2010-10-03,2010/2011,Spain - La Liga,Barcelona vs Mallorca
