bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,team_id,timestamp,type,under_pressure,x,y,end_x,end_y,x1_bin,y1_bin,x2_bin,y2_bin,start_zone_value,end_zone_value,pass_xT,progressive_xT,expected_assists_xA,shot_statsbomb_xg_cum,xg_chain,xg_buildup,Extraction Date,match_date,season,competition,h2h
,,,,,,,,,,,,,,,,,1.082849,,,,,,,,,,,,,4c6925aa-524d-4b16-88c8-8f137bd93a10,371,,"[71.9, 7.2]",69248,7,,,,,1.849096,,Right Foot,,,,"[68.7, 18.4]",,Ground Pass,,11.648176,,,,Andrés Iniesta Luján,,,,,,1,Regular Play,David Villa Sánchez,12737.0,Left Wing,18,Barcelona,217,['c86e7992-386f-41c9-90f5-f4216f75fb22'],8,,,,,,,,,,,,,,,Barcelona,217,00:07:08.350,Pass,,71.9,7.2,68.7,18.4,7,0,6,1,0.017451,0.016118,-0.0013330000000000009,0.0,,,0.044545326,0.044545326,2024-09-07 18:28:51.029855,2011-02-12,2010/2011,Spain - La Liga,Sporting Gijón vs Barcelona
,,,,,,,,,,,,,,,,,0.971273,,,,,,,,,,,,,8ee0ec0d-ae27-4ecd-afda-42bed5e6978d,374,,"[68.7, 18.4]",69248,7,,,,,2.0542433,,Right Foot,,,,"[64.5, 26.4]",,Ground Pass,,9.035485,,,,Javier Alejandro Mascherano,,,,,,1,Regular Play,Andrés Iniesta Luján,5216.0,Right Center Midfield,18,Barcelona,217,['7786bc71-c6e2-4320-8e54-4b046885f9ec'],10,,,,,,,,,,,,,,,Barcelona,217,00:07:10.245,Pass,,68.7,18.4,64.5,26.4,6,1,6,2,0.016118,0.016856,0.0007379999999999991,0.0007379999999999991,,,0.044545326,0.044545326,2024-09-07 18:28:51.029855,2011-02-12,2010/2011,Spain - La Liga,Sporting Gijón vs Barcelona
,,,,,,,,,,,,,,,,,1.19891,,,,,,,,,,,,,3f8b6d24-a6e0-4a31-a599-a44894069cb2,377,,"[64.5, 26.4]",69248,7,,,,,-1.2068174,,Right Foot,,,,"[68.5, 15.9]",,Ground Pass,,11.236102,,,,Andrés Iniesta Luján,,,,,,1,Regular Play,Javier Alejandro Mascherano,5506.0,Center Defensive Midfield,18,Barcelona,217,['7551651c-91a6-43c2-9f0e-a18057adc245'],11,,,,,,,,,,,,,,,Barcelona,217,00:07:11.917,Pass,,64.5,26.4,68.5,15.9,6,2,6,1,0.016856,0.016118,-0.0007379999999999991,0.0,,,0.044545326,0.044545326,2024-09-07 18:28:51.029855,2011-02-12,2010/2011,Spain - La Liga,Sporting Gijón vs Barcelona
,,,,,,,,,,,,,,,,,1.935226,,,,,,,,,,,,,5950efdd-914d-49b0-b488-a43012cd94ff,380,,"[68.3, 16.5]",69248,7,,,,,1.8746042,,Right Foot,,,,"[56.7, 53.5]",,Low Pass,,38.775764,,,,Gerard Piqué Bernabéu,,,,,,1,Regular Play,Andrés Iniesta Luján,5216.0,Right Center Midfield,18,Barcelona,217,['ad5b767d-1922-4ff1-ad6e-879344cef48e'],14,,,,,,,,,,,,,,,Barcelona,217,00:07:14.429,Pass,,68.3,16.5,56.7,53.5,6,1,5,5,0.016118,0.014291,-0.0018270000000000005,0.0,,,0.044545326,0.044545326,2024-09-07 18:28:51.029855,2011-02-12,2010/2011,Spain - La Liga,Sporting Gijón vs Barcelona
,,,,,,,,,,,,,,,,,0.899965,,,,,,,,,,,,,27ab50bb-ac9b-423f-ac41-1ced15645ae2,383,,"[62.4, 54.7]",69248,7,,,,,-1.315614,,Right Foot,,,,"[65.4, 43.2]",,Ground Pass,,11.884864,,,,Xavier Hernández Creus,,,,,,1,Regular Play,Gerard Piqué Bernabéu,5213.0,Right Center Back,18,Barcelona,217,['9c65ee90-d7e7-4715-a77f-6e94260ed3f9'],18,,,,,,,,,,,,,,,Barcelona,217,00:07:18.557,Pass,,62.4,54.7,65.4,43.2,6,5,6,4,0.016856,0.016895,3.900000000000084e-05,3.900000000000084e-05,,,0.044545326,0.044545326,2024-09-07 18:28:51.029855,2011-02-12,2010/2011,Spain - La Liga,Sporting Gijón vs Barcelona
,,,,,,,,,,,,,,,,,1.3519,,,,,,,,,,,,,84a624eb-6ddb-45a2-8e82-e9a70eecb728,386,,"[67.5, 43.6]",69248,7,,,,,-1.1849136,,Right Foot,,,,"[72.7, 30.8]",,Ground Pass,,13.815933,,,,Lionel Andrés Messi Cuccittini,,,,,,1,Regular Play,Xavier Hernández Creus,20131.0,Left Center Midfield,18,Barcelona,217,['7080c6c1-29f3-44e3-9622-e5d93dfc0eef'],21,,,,,,,,,,,,,,,Barcelona,217,00:07:21.710,Pass,,67.5,43.6,72.7,30.8,6,4,7,3,0.016895,0.019971,0.003075999999999999,0.003075999999999999,,,0.044545326,0.044545326,2024-09-07 18:28:51.029855,2011-02-12,2010/2011,Spain - La Liga,Sporting Gijón vs Barcelona
,,,,,,,,,,,,,,,,,1.057371,,,,,,,,,,,,,31a36e1f-5e19-454d-bdf6-11ecbae2dc24,389,,"[73.6, 29.9]",69248,7,,,,,-1.4870764,,Left Foot,,,,"[74.8, 15.6]",,Ground Pass,,14.350262,,,,Andrés Iniesta Luján,,,,,,1,Regular Play,Lionel Andrés Messi Cuccittini,5503.0,Center Forward,18,Barcelona,217,['362cd813-b319-47b6-8919-de0dd70ec4b0'],23,,,,,,,,,,,,,,,Barcelona,217,00:07:23.909,Pass,,73.6,29.9,74.8,15.6,7,2,7,1,0.019351,0.018703,-0.0006479999999999993,0.0,,,0.044545326,0.044545326,2024-09-07 18:28:51.029855,2011-02-12,2010/2011,Spain - La Liga,Sporting Gijón vs Barcelona
,,,,,,,,,,,,,,,,,1.503702,,,,,,,,,,,,,2ff820e2-5e73-40e4-ba7d-e662f5d8fbcd,392,,"[74.8, 15.6]",69248,7,,,,,1.9825425,,Right Foot,,,,"[67.9, 31.4]",,Ground Pass,,17.24094,,,,Javier Alejandro Mascherano,,,,,,1,Regular Play,Andrés Iniesta Luján,5216.0,Right Center Midfield,18,Barcelona,217,['54a72969-7515-48b6-98bb-9dba4568e89b'],26,,,,,,,,,,,,,,,Barcelona,217,00:07:26.913,Pass,,74.8,15.6,67.9,31.4,7,1,6,3,0.018703,0.016895,-0.0018080000000000006,0.0,,,0.044545326,0.044545326,2024-09-07 18:28:51.029855,2011-02-12,2010/2011,Spain - La Liga,Sporting Gijón vs Barcelona
,,,,,,,,,,,,,,,,,1.904834,,,,,,,,,,,,,d30b2569-0bbd-49f5-81ff-982067f6eb65,395,,"[65.4, 33.9]",69248,7,,,,,1.6968844,,Right Foot,,,,"[61.8, 62.3]",,Ground Pass,,28.62726,,,,Gerard Piqué Bernabéu,,,,,,1,Regular Play,Javier Alejandro Mascherano,5506.0,Center Defensive Midfield,18,Barcelona,217,['8658f852-5b91-42aa-902f-dc597b432afa'],29,,,,,,,,,,,,,,,Barcelona,217,00:07:29.122,Pass,,65.4,33.9,61.8,62.3,6,3,6,6,0.016895,0.016118,-0.0007769999999999999,0.0,,,0.044545326,0.044545326,2024-09-07 18:28:51.029855,2011-02-12,2010/2011,Spain - La Liga,Sporting Gijón vs Barcelona
,,,,,,,,,,,,,,,,,1.276262,,,,,,,,,,,,,af49bdfd-c237-4d96-9b98-8b22a636d424,398,,"[62.8, 63.4]",69248,7,,,,,0.773634,,Right Foot,,,,"[75.7, 76.0]",,Ground Pass,,18.03247,,,,Daniel Alves da Silva,,,,,,1,Regular Play,Gerard Piqué Bernabéu,5213.0,Right Center Back,18,Barcelona,217,['f5762740-cd16-44f9-9ad4-1a143a35edb7'],32,,,,,,,,,,,,,,,Barcelona,217,00:07:32.652,Pass,,62.8,63.4,75.7,76.0,6,6,7,7,0.016118,0.017451,0.0013330000000000009,0.0013330000000000009,,,0.044545326,0.044545326,2024-09-07 18:28:51.029855,2011-02-12,2010/2011,Spain - La Liga,Sporting Gijón vs Barcelona
