50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,team_id,timestamp,type,under_pressure,x,y,end_x,end_y,x1_bin,y1_bin,x2_bin,y2_bin,start_zone_value,end_zone_value,pass_xT,progressive_xT,expected_assists_xA,shot_statsbomb_xg_cum,xg_chain,xg_buildup,Extraction Date,match_date,season,competition,h2h
,,,,,,,,,,,,,,,,,,0.8581,,,,,,,,,,,,534fe3a5-d42d-4f9a-bbfa-57f46c9f8bc2,729,,,"[55.6, 14.5]",69269,16,,,,,0.7066142,,Left Foot,,,"[63.8, 21.5]",,Low Pass,,10.781466,,,,,Andrés Iniesta Luján,,,,,,Recovery,1,From Throw In,Maxwell Scherrer Cabelino Andrade,26613.0,Left Back,45,Barcelona,217,"['2a272f2e-8211-4c5c-9b51-4b37f55fcfb7', 'ef824e8e-85d7-4386-a7ff-04f71dd5b4e4']",18,,,,,,,,,,,,,,,Barcelona,217,00:16:18.038,Pass,,55.6,14.5,63.8,21.5,5,1,6,2,0.013845,0.016856,0.003011,0.003011,,,,,2024-09-07 18:28:18.601650,2010-09-19,2010/2011,Spain - La Liga,Atlético Madrid vs Barcelona
,,,,,,,,,,,,,,,,,,1.6468,,,,,,,,,,,,02691581-3247-4147-8db5-bc95d56fe2fe,732,,,"[63.8, 21.5]",69269,16,,,,,-1.4100336,,Right Foot,,,"[66.2, 6.7]",,Ground Pass,,14.993332,,,,,Sergio Busquets i Burgos,,,,,,,1,From Throw In,Andrés Iniesta Luján,5216.0,Left Center Midfield,45,Barcelona,217,['83af34e2-67cb-4e77-9187-bd0e49ce9598'],18,,,,,,,,,,,,,,,Barcelona,217,00:16:18.936,Pass,,63.8,21.5,66.2,6.7,6,2,6,0,0.016856,0.014736,-0.0021199999999999986,0.0,,,,,2024-09-07 18:28:18.601650,2010-09-19,2010/2011,Spain - La Liga,Atlético Madrid vs Barcelona
,,,,,,,,,,,,,,,,,,1.5043,,,,,,,,,,,,e9c35d86-7e84-4b0f-b7f9-c83e3162366f,734,,,"[66.2, 6.7]",69269,16,,,,,0.89789194,,Left Foot,,,"[76.8, 20.0]",,Ground Pass,,17.00735,,,,,David Villa Sánchez,,,,,,,1,From Throw In,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,45,Barcelona,217,['f2b182ed-0c7b-463a-acb7-d2e1687743f8'],20,,,,,,,,,,,,,,,Barcelona,217,00:16:20.583,Pass,,66.2,6.7,76.8,20.0,6,0,7,1,0.014736,0.018703,0.003967,0.003967,,,,,2024-09-07 18:28:18.601650,2010-09-19,2010/2011,Spain - La Liga,Atlético Madrid vs Barcelona
,,,,,,,,,,,,,,,,,,2.0356,,,,,,,,,,,,c2f2ca11-b7d6-4c29-a3d6-ed63fb665961,740,,,"[89.1, 1.0]",69269,16,,,,,1.9022553,,,,,"[83.8, 16.4]",,Low Pass,,16.286497,,,,,Xavier Hernández Creus,,,,,,Throw-in,1,From Throw In,Maxwell Scherrer Cabelino Andrade,26613.0,Left Back,46,Barcelona,217,['b41541cc-666e-48f6-abc3-d3e5733fd7bc'],39,,,,,,,,,,,,,,,Barcelona,217,00:16:39.917,Pass,,89.1,1.0,83.8,16.4,8,0,8,1,0.021221,0.024015,0.0027940000000000013,0.0027940000000000013,,,,,2024-09-07 18:28:18.601650,2010-09-19,2010/2011,Spain - La Liga,Atlético Madrid vs Barcelona
,,,,,,,,,,,,,,,,,,0.9633,,,,,,,,,,,,c4276a6f-9132-441e-892e-25a4303cdc69,743,,,"[83.3, 12.2]",69269,16,,,,,-1.1474856,,Right Foot,,,"[87.4, 3.1]",,Ground Pass,,9.980982,,,,,Maxwell Scherrer Cabelino Andrade,,,,,,,1,From Throw In,Xavier Hernández Creus,20131.0,Right Center Midfield,46,Barcelona,217,['cca753fa-7db8-4c3a-bd86-a620330356c2'],42,,,,,,,,,,,,,,,Barcelona,217,00:16:42.577,Pass,,83.3,12.2,87.4,3.1,8,1,8,0,0.024015,0.021221,-0.0027940000000000013,0.0,,,,,2024-09-07 18:28:18.601650,2010-09-19,2010/2011,Spain - La Liga,Atlético Madrid vs Barcelona
,,,,,,,,,,,,,,,,,,0.7016,,,,,,,,,,,,44700838-f4e1-4f68-8d54-41b5980c301c,746,,,"[85.3, 3.1]",69269,16,,,,,2.077895,,Left Foot,,,"[79.8, 13.0]",,Ground Pass,,11.325193,,,,,Xavier Hernández Creus,,,,,,,1,From Throw In,Maxwell Scherrer Cabelino Andrade,26613.0,Left Back,46,Barcelona,217,['56e89716-7adc-43e0-a989-0c029bace60a'],44,,,,,,,,,,,,,,,Barcelona,217,00:16:44.795,Pass,,85.3,3.1,79.8,13.0,8,0,7,1,0.021221,0.018703,-0.0025179999999999994,0.0,,,,,2024-09-07 18:28:18.601650,2010-09-19,2010/2011,Spain - La Liga,Atlético Madrid vs Barcelona
,,,,,,,,,,,,,,,,,,0.967,,,,,,,,,,,,8e09baae-bc42-4f17-8ce6-0cf83303376a,749,,,"[78.3, 12.4]",69269,16,,,,,-2.9574943,,Right Foot,,,"[63.8, 9.7]",,Ground Pass,,14.749237,,,,,Andrés Iniesta Luján,,,,,,,1,From Throw In,Xavier Hernández Creus,20131.0,Right Center Midfield,46,Barcelona,217,['95dd122b-00dd-496d-a1ab-63204b4883be'],46,,,,,,,,,,,,,,,Barcelona,217,00:16:46.369,Pass,,78.3,12.4,63.8,9.7,7,1,6,0,0.018703,0.014736,-0.003967,0.0,,,,,2024-09-07 18:28:18.601650,2010-09-19,2010/2011,Spain - La Liga,Atlético Madrid vs Barcelona
,,,,,,,,,,,,,,,,,,1.563983,,,,,,,,,,,,ce48cd49-a486-4107-ba95-8b8900316879,752,,,"[58.1, 9.7]",69269,16,,,,,2.1744227,,Right Foot,,,"[45.0, 28.7]",,Ground Pass,,23.078344,,,,,Carles Puyol i Saforcada,,,,,,,1,From Throw In,Andrés Iniesta Luján,5216.0,Left Center Midfield,46,Barcelona,217,['06294446-2ac8-4aa5-aab2-143fc37a984c'],48,,,,,,,,,,,,,,,Barcelona,217,00:16:48.732,Pass,,58.1,9.7,45.0,28.7,5,0,4,2,0.012483,0.012692,0.00020900000000000085,0.00020900000000000085,,,,,2024-09-07 18:28:18.601650,2010-09-19,2010/2011,Spain - La Liga,Atlético Madrid vs Barcelona
,,,,,,,,,,,,,,,,,,2.176166,,,,,,,,,,,,c9eadfc3-88e8-4679-8541-b43b25a2bffc,755,,,"[43.3, 34.2]",69269,16,,,,,2.9265244,,Left Foot,,,"[22.7, 38.7]",,Ground Pass,,21.085777,,,,,Víctor Valdés Arribas,,,,,,,1,From Throw In,Carles Puyol i Saforcada,20125.0,Left Center Back,46,Barcelona,217,['bb9531e3-9b12-479b-840d-14671044b7ac'],51,,,,,,,,,,,,,,,Barcelona,217,00:16:51.123,Pass,,43.3,34.2,22.7,38.7,4,3,2,3,0.012626,0.010165,-0.0024609999999999996,0.0,,,,,2024-09-07 18:28:18.601650,2010-09-19,2010/2011,Spain - La Liga,Atlético Madrid vs Barcelona
,,,,,,,,,,,,,,,,,,3.5093,,,,,,,,,,,,b4ca1ec6-275b-4d74-9a80-b2167da9ae0f,758,,,"[24.6, 47.6]",69269,16,,,,,0.44805866,,Right Foot,,,"[78.9, 73.7]",,High Pass,,60.24699,,,Unknown,,,,,,,,,1,From Throw In,Víctor Valdés Arribas,20176.0,Goalkeeper,46,Barcelona,217,,56,,,,,,,,,,,,,,,Barcelona,217,00:16:56.450,Pass,,24.6,47.6,78.9,73.7,2,4,7,7,0.010165,0.017451,0.007286000000000001,0.007286000000000001,,,,,2024-09-07 18:28:18.601650,2010-09-19,2010/2011,Spain - La Liga,Atlético Madrid vs Barcelona
