ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,team_id,timestamp,type,under_pressure,x,y,end_x,end_y,x1_bin,y1_bin,x2_bin,y2_bin,start_zone_value,end_zone_value,pass_xT,progressive_xT,expected_assists_xA,shot_statsbomb_xg_cum,xg_chain,xg_buildup,Extraction Date,match_date,season,competition,h2h
,,,,,,,,,,,,,1.626967,,,,,,,,,,,19c04e37-1903-412f-87b6-268fdeee1ef1,1178,,"[67.1, 35.2]",69272,20,,,,1.4644793,,Right Foot,,,"[69.8, 60.5]",,Ground Pass,25.443663,,,Daniel Alves da Silva,,,,,,1,From Goal Kick,Gerard Piqué Bernabéu,5213.0,Left Center Back,34,Barcelona,217,['c7fa90e1-5e86-427d-a112-de0732dd8e8e'],58,,,,,,,,,,,,,,,Barcelona,217,00:20:58.911,Pass,,67.1,35.2,69.8,60.5,6,3,6,5,0.016895,0.016856,-3.900000000000084e-05,0.0,,,,,2024-09-07 18:28:34.126743,2011-05-11,2010/2011,Spain - La Liga,Levante UD vs Barcelona
,,,,,,,,,,,,,0.8465,,,,,,,,,,,496a2eb4-7f23-464e-9512-9a732ed994d8,1181,,"[77.0, 61.9]",69272,21,,,,-0.060992956,,Right Foot,,,"[90.1, 61.1]",,Ground Pass,13.124405,,,David Villa Sánchez,,,,,,1,From Goal Kick,Daniel Alves da Silva,4324.0,Right Back,34,Barcelona,217,['1b7084e4-2626-43e2-92a0-85bf1d8ccd20'],3,,,,,,,,,,,,,,,Barcelona,217,00:21:03.714,Pass,,77.0,61.9,90.1,61.1,7,6,8,6,0.018703,0.024015,0.005312000000000001,0.005312000000000001,,,,,2024-09-07 18:28:34.126743,2011-05-11,2010/2011,Spain - La Liga,Levante UD vs Barcelona
,,,,,,,,,,,,,0.622,,,,,,,,,,,d2e9ff8c-2820-4ec8-a100-5f397aa482b6,1184,,"[91.4, 61.6]",69272,21,,,,-1.7475052,,Right Foot,,,"[90.4, 56.0]",,Ground Pass,5.6885853,Incomplete,,Xavier Hernández Creus,,,,,,1,From Goal Kick,David Villa Sánchez,12737.0,Right Wing,34,Barcelona,217,"['549873e1-7f5f-4002-8b0d-fa4255f67281', 'e71e6c34-24fa-48f2-8984-12d1659d06c2']",4,,,,,,,,,,,,,,,Barcelona,217,00:21:04.586,Pass,,91.4,61.6,90.4,56.0,9,6,8,5,0.029533,0.024122,-0.005410999999999999,0.0,,,,,2024-09-07 18:28:34.126743,2011-05-11,2010/2011,Spain - La Liga,Levante UD vs Barcelona
,,,,,,,,,,,,,3.6842,,,,,,,,,,,94635f09-19a7-4f15-b29d-e75924630d8b,1188,,"[30.3, 21.2]",69272,21,,,,-3.0808566,,Right Foot,,,"[0.7, 19.4]",,Ground Pass,29.654678,,,Gustavo Adolfo Munúa Vera,,,,,,1,Regular Play,Vicente Iborra De La Fuente,3497.0,Right Center Midfield,35,Levante UD,221,['38a4c701-3143-44aa-ac94-e2b82fb723c3'],6,,,,,,,,,,,,,,,Levante UD,221,00:21:06.056,Pass,,30.3,21.2,0.7,19.4,2,2,0,1,0.010013,0.007501,-0.0025119999999999995,0.0,,,,,2024-09-07 18:28:34.126743,2011-05-11,2010/2011,Spain - La Liga,Levante UD vs Barcelona
,,,,,,,,,,,,,3.7969,,,,,,,,,,,3c4fd10e-a3cf-482c-b0f9-9ba60c96aae8,1191,,"[4.9, 19.5]",69272,21,,,,0.042310502,,Right Foot,,,"[73.4, 22.4]",,High Pass,68.561356,,,Felipe Salvador Caicedo Corozo,,,,,,1,Regular Play,Gustavo Adolfo Munúa Vera,26221.0,Goalkeeper,35,Levante UD,221,['6f669cae-1dae-4a47-8e28-001168784468'],13,,,,,,,,,,,,,,,Levante UD,221,00:21:13.054,Pass,,4.9,19.5,73.4,22.4,0,1,7,2,0.007501,0.019351,0.01185,0.01185,,,,,2024-09-07 18:28:34.126743,2011-05-11,2010/2011,Spain - La Liga,Levante UD vs Barcelona
,,,,,,,,,,,,,1.5754,,,,,,,,,,,62f9ab92-643f-49b0-9f9d-2c2ba84c3dcf,1194,,"[73.4, 22.4]",69272,21,,,True,2.1375256,,,,,"[67.8, 31.2]",,High Pass,10.430724,Incomplete,,Valmiro Lópes Rocha,,,,,,1,Regular Play,Felipe Salvador Caicedo Corozo,7781.0,Center Forward,35,Levante UD,221,"['45150057-a3ec-419f-a14b-8d1890b00cc6', '888d45fe-de37-411e-8ff4-aa3256f602f8', 'cbdd1ba7-dcc3-4069-94a3-b0270d3ad3e4']",16,,,,,,,,,,,,,,,Levante UD,221,00:21:16.851,Pass,True,73.4,22.4,67.8,31.2,7,2,6,3,0.019351,0.016895,-0.002456,0.0,,,,,2024-09-07 18:28:34.126743,2011-05-11,2010/2011,Spain - La Liga,Levante UD vs Barcelona
,,,,,,,,,,,,,3.108913,,,,,,,,,,,888d45fe-de37-411e-8ff4-aa3256f602f8,1196,,"[53.2, 49.8]",69272,21,,,,-3.0315573,,Left Foot,,,"[17.9, 45.9]",,High Pass,35.514786,,,Víctor Valdés Arribas,,,,,Recovery,1,Regular Play,Seydou Kéita,20169.0,Left Center Midfield,36,Barcelona,217,"['5502d8e7-d9d0-4f90-9023-9595d66e5490', '62f9ab92-643f-49b0-9f9d-2c2ba84c3dcf']",18,,,,,,,,,,,,,,,Barcelona,217,00:21:18.426,Pass,,53.2,49.8,17.9,45.9,5,4,1,4,0.014846,0.010827,-0.004019,0.0,,,,,2024-09-07 18:28:34.126743,2011-05-11,2010/2011,Spain - La Liga,Levante UD vs Barcelona
,,,,,,,,,,,,,1.886207,,,,,,,,,,,dc40e0e5-9476-4bb6-b7fe-08624de4cf04,1199,,"[16.1, 36.0]",69272,21,,,,-0.59115714,,Right Foot,,,"[30.7, 26.2]",,Ground Pass,17.584084,,,Gerard Piqué Bernabéu,,,,,,1,Regular Play,Víctor Valdés Arribas,20176.0,Goalkeeper,36,Barcelona,217,['3e88e44d-8d1b-48d7-b08d-beba3927991f'],23,,,,,,,,,,,,,,,Barcelona,217,00:21:23.377,Pass,,16.1,36.0,30.7,26.2,1,3,2,2,0.010827,0.010013,-0.0008140000000000005,0.0,,,,,2024-09-07 18:28:34.126743,2011-05-11,2010/2011,Spain - La Liga,Levante UD vs Barcelona
,,,,,,,,,,,,,1.157905,,,,,,,,,,,4cfda959-acf9-4133-9ae1-74d4610fc928,1202,,"[47.7, 24.7]",69272,21,,,,0.98048955,,Right Foot,,,"[54.4, 34.7]",,Ground Pass,12.037026,,,Sergio Busquets i Burgos,,,,,,1,Regular Play,Gerard Piqué Bernabéu,5213.0,Left Center Back,36,Barcelona,217,['83eb63bb-6b6f-409d-b280-ef699fda6bc2'],31,,,,,,,,,,,,,,,Barcelona,217,00:21:31.381,Pass,,47.7,24.7,54.4,34.7,4,2,5,3,0.012692,0.014846,0.0021539999999999997,0.0021539999999999997,,,,,2024-09-07 18:28:34.126743,2011-05-11,2010/2011,Spain - La Liga,Levante UD vs Barcelona
,,,,,,,,,,,,,1.17125,,,,,,,,,,,5d887bba-a193-4e08-aa3c-9f8d24a4fcc5,1205,,"[64.0, 37.4]",69272,21,,,,1.5060222,,Right Foot,,,"[65.2, 55.9]",,Ground Pass,18.538877,,,Xavier Hernández Creus,,,,,,1,Regular Play,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,36,Barcelona,217,['726e9164-491e-4f2c-8e17-ab01237eb488'],34,,,,,,,,,,,,,,,Barcelona,217,00:21:34.360,Pass,,64.0,37.4,65.2,55.9,6,3,6,5,0.016895,0.016856,-3.900000000000084e-05,0.0,,,,,2024-09-07 18:28:34.126743,2011-05-11,2010/2011,Spain - La Liga,Levante UD vs Barcelona
