bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_off_target,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_saved_off_target,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,team_id,timestamp,type,under_pressure,x,y,end_x,end_y,x1_bin,y1_bin,x2_bin,y2_bin,start_zone_value,end_zone_value,pass_xT,progressive_xT,expected_assists_xA,shot_statsbomb_xg_cum,xg_chain,xg_buildup,Extraction Date,match_date,season,competition,h2h
,,,,,,,,,,,,,,,,,3.817118,,,,,,,,,,,,,a2964d62-3c59-460b-bbb7-31286243071d,34,,"[39.2, 31.8]",69283,0,,,,,0.33994734,,Right Foot,,,,"[103.1, 54.4]",,High Pass,,67.77883,,Incomplete,,Emilio Nsue López,,,,,,,1,Regular Play,Rubén González Rocha,26068.0,Right Center Back,4,Mallorca,1043,"['ba552202-f669-4b94-b3e8-935d85b972fc', 'eaf9dafe-953a-4947-b67a-ed80811d73f7']",43,,,,,,,,,,,,,,,,,Mallorca,1043,00:00:43.364,Pass,,39.2,31.8,103.1,54.4,3,3,10,5,0.011324,0.054911,0.043587,0.043587,,,,,2024-09-07 18:28:25.189359,2011-02-26,2010/2011,Spain - La Liga,Mallorca vs Barcelona
,,,,,,,,,,,,,,,,,1.4422,,,,,,,,,,,,,7a33719c-eecb-4937-a0ae-e0cd1f52004f,42,,"[24.4, 0.1]",69283,1,,,,,0.44387618,,,,,,"[38.7, 6.9]",,High Pass,,15.834456,,,,Seydou Kéita,,,,,,Throw-in,1,From Throw In,Maxwell Scherrer Cabelino Andrade,26613.0,Left Back,6,Barcelona,217,['75b7ebf0-1ada-4a15-a2b6-0b4235df347a'],2,,,,,,,,,,,,,,,,,Barcelona,217,00:01:02.886,Pass,,24.4,0.1,38.7,6.9,2,0,3,0,0.008449,0.009777,0.0013279999999999993,0.0013279999999999993,,,,,2024-09-07 18:28:25.189359,2011-02-26,2010/2011,Spain - La Liga,Mallorca vs Barcelona
,,,,,,,,,,,,,,,,,2.6609,,,,,,,,,,,,,c3cb38af-4c55-4af0-9b73-960fa8c3c763,44,,"[38.7, 6.9]",69283,1,,,,,-0.70449406,,Head,,,,"[46.7, 0.1]",,High Pass,,10.499524,,Out,,,,,,,,,1,From Throw In,Seydou Kéita,20169.0,Right Center Midfield,6,Barcelona,217,,4,,,,,,,,,,,,,,,,,Barcelona,217,00:01:04.328,Pass,,38.7,6.9,46.7,0.1,3,0,4,0,0.009777,0.011263,0.0014860000000000012,0.0014860000000000012,,,,,2024-09-07 18:28:25.189359,2011-02-26,2010/2011,Spain - La Liga,Mallorca vs Barcelona
,,,,,,,,,,,,,,,,,1.470219,,,,,,,,,,,,,2d066915-765c-4157-89e5-5e4d15c7aa25,45,,"[73.8, 80.0]",69283,1,,,,,-1.620139,,,,,,"[73.0, 63.8]",,Low Pass,,16.219742,,,,João Victor de Albuquerque Bruno,,,,,,Throw-in,1,From Throw In,Pablo Cendrós López,26737.0,Right Back,7,Mallorca,1043,['dbcde27d-c408-4e34-bbfc-20b5cb9184fc'],14,,,,,,,,,,,,,,,,,Mallorca,1043,00:01:14.407,Pass,,73.8,80.0,73.0,63.8,7,7,7,6,0.017451,0.018703,0.0012519999999999996,0.0012519999999999996,,,0.055179346,0.055179346,2024-09-07 18:28:25.189359,2011-02-26,2010/2011,Spain - La Liga,Mallorca vs Barcelona
,,,,,,,,,,,,,,,,,0.717463,,,,,,,,,,,,,0e69e0e6-d91d-49e6-8a5f-d19be81a2ada,48,,"[73.0, 63.8]",69283,1,,,,,1.7265493,,Right Foot,,,,"[71.1, 75.9]",,Ground Pass,,12.248265,,,,Pablo Cendrós López,,,,,,,1,From Throw In,João Victor de Albuquerque Bruno,26675.0,Right Center Midfield,7,Mallorca,1043,['3d65844c-5382-4d9c-ac79-8f2470bfbf16'],15,,,,,,,,,,,,,,,,,Mallorca,1043,00:01:15.917,Pass,,73.0,63.8,71.1,75.9,7,6,7,7,0.018703,0.017451,-0.0012519999999999996,0.0,,,0.055179346,0.055179346,2024-09-07 18:28:25.189359,2011-02-26,2010/2011,Spain - La Liga,Mallorca vs Barcelona
,,,,,,,,,,,,,,,,,1.851455,,,,,,,,,,,,,7b850beb-ad8b-468c-9400-8cbbe3bff129,52,,"[72.3, 76.0]",69283,1,,,,,-0.75092906,,Right Foot,,,,"[90.3, 59.2]",,High Pass,,24.62194,,Incomplete,,,,,,,,,1,From Throw In,Pablo Cendrós López,26737.0,Right Back,7,Mallorca,1043,['b1f2985a-5759-48a2-b834-4e1ae5b943b9'],17,,,,,,,,,,,,,,,,,Mallorca,1043,00:01:17.430,Pass,,72.3,76.0,90.3,59.2,7,7,9,5,0.017451,0.028552,0.011101,0.011101,,,0.055179346,0.055179346,2024-09-07 18:28:25.189359,2011-02-26,2010/2011,Spain - La Liga,Mallorca vs Barcelona
,,,,,,,,,,,,,,,,,0.5824,,,,,,,,,,,,,b1f2985a-5759-48a2-b834-4e1ae5b943b9,53,,"[29.8, 20.9]",69283,1,,,,,-0.43600488,,Head,,,,"[38.6, 16.8]",,Low Pass,,9.708244,,Incomplete,,Sergio Busquets i Burgos,,,,,,Recovery,1,From Throw In,Eric-Sylvain Bilal Abidal,20177.0,Left Center Back,7,Mallorca,1043,"['03f4898d-8b0d-4a74-8b77-3ef1a1d8a53e', '783ecd1a-10a8-475c-8b81-79bd7777c0c0', '7b850beb-ad8b-468c-9400-8cbbe3bff129']",19,,,,,,,,,,,,,,,,,Barcelona,217,00:01:19.282,Pass,,29.8,20.9,38.6,16.8,2,2,3,1,0.010013,0.010595,0.0005820000000000009,0.0005820000000000009,,,0.055179346,0.055179346,2024-09-07 18:28:25.189359,2011-02-26,2010/2011,Spain - La Liga,Mallorca vs Barcelona
,,,,,,,,,,,,,,,,,0.809572,,,,,,,,,,,,,03f4898d-8b0d-4a74-8b77-3ef1a1d8a53e,55,,"[81.5, 63.3]",69283,1,,,,,-0.8669777,,Head,,,,"[88.8, 54.7]",,High Pass,,11.280514,,,,Jonathan de Guzmán,,,,,,Recovery,1,From Throw In,Jose Luis Martí Soler,25948.0,Left Center Midfield,7,Mallorca,1043,"['550a0a01-7a69-47e4-9126-72ae530ddb59', 'b1f2985a-5759-48a2-b834-4e1ae5b943b9']",19,,,,,,,,,,,,,,,,,Mallorca,1043,00:01:19.864,Pass,,81.5,63.3,88.8,54.7,8,6,8,5,0.024015,0.024122,0.00010699999999999946,0.00010699999999999946,,,0.055179346,0.055179346,2024-09-07 18:28:25.189359,2011-02-26,2010/2011,Spain - La Liga,Mallorca vs Barcelona
,,,,,,,,,,,,,,,,,1.02044,,,,,,,,,,,,,31d58e79-f637-499d-87d7-823b3ba6305c,59,,"[90.7, 50.7]",69283,1,,,,,-1.1174576,07ec2f95-3d3c-495a-a416-b1395b0b052e,Right Foot,,,,"[94.5, 42.9]",,Ground Pass,,8.676405,,,,Pierre Achille Webó Kouamo,True,,,,,,1,From Throw In,Jonathan de Guzmán,8675.0,Center Attacking Midfield,7,Mallorca,1043,"['31055675-3d28-4bd1-831e-d0439a7a4f33', '5d304a63-bead-4252-88c5-487c7fce8d3d']",21,,,,,,,,,,,,,,,,,Mallorca,1043,00:01:21.758,Pass,True,90.7,50.7,94.5,42.9,9,5,9,4,0.028552,0.035113,0.006560999999999997,0.006560999999999997,0.055179346,,0.055179346,,2024-09-07 18:28:25.189359,2011-02-26,2010/2011,Spain - La Liga,Mallorca vs Barcelona
,,,,,,,,,,,,,,,,,0.8759,,,,,,,,,,,,,07ec2f95-3d3c-495a-a416-b1395b0b052e,62,,"[95.2, 40.4]",69283,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Pierre Achille Webó Kouamo,25876.0,Center Forward,7,Mallorca,1043,['5948f329-12ed-4dff-9864-3e0b6870eb09'],24,,Left Foot,"[118.5, 39.5, 0.2]",,"[{'location': [119.0, 39.6], 'player': {'id': 26005, 'name': 'José Manuel Pinto Colorado'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [101.8, 32.3], 'player': {'id': 22102, 'name': 'Adriano Correia Claro'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [97.7, 38.5], 'player': {'id': 5213, 'name': 'Gerard Piqué Bernabéu'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [99.3, 46.5], 'player': {'id': 20177, 'name': 'Eric-Sylvain Bilal Abidal'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [99.5, 53.2], 'player': {'id': 26613, 'name': 'Maxwell Scherrer Cabelino Andrade'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [90.0, 59.3], 'player': {'id': 20169, 'name': 'Seydou Kéita'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [90.4, 48.5], 'player': {'id': 5203, 'name': 'Sergio Busquets i Burgos'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [92.0, 41.2], 'player': {'id': 5216, 'name': 'Andrés Iniesta Luján'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [101.2, 24.2], 'player': {'id': 6740, 'name': 'Gonzalo Castro Irizábal'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [89.0, 44.3], 'player': {'id': 8675, 'name': 'Jonathan de Guzmán'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [81.1, 58.5], 'player': {'id': 25948, 'name': 'Jose Luis Martí Soler'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [96.6, 57.7], 'player': {'id': 13581, 'name': 'Emilio Nsue López'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}]",31d58e79-f637-499d-87d7-823b3ba6305c,,,Saved,,0.055179346,Normal,Open Play,,,,Mallorca,1043,00:01:24.582,Shot,,95.2,40.4,,,9,4,0,0,0.035113,0.006383,-0.02873,0.0,,0.055179346,0.055179346,,2024-09-07 18:28:25.189359,2011-02-26,2010/2011,Spain - La Liga,Mallorca vs Barcelona
,,,,,,,,,,,,,,,,,2.023002,,,,,,,,,,,,,9147a938-e8c6-42a9-947b-d7f197249651,64,,"[6.2, 36.4]",69283,1,,,,,-1.549371,,Keeper Arm,,,,"[6.5, 22.4]",,Ground Pass,,14.003214,,,,Eric-Sylvain Bilal Abidal,,,,,,,1,From Keeper,José Manuel Pinto Colorado,26005.0,Goalkeeper,9,Barcelona,217,['03154c8e-92ba-4325-aa51-0c358009c633'],30,,,,,,,,,,,,,,,,,Barcelona,217,00:01:30.025,Pass,,6.2,36.4,6.5,22.4,0,3,0,2,0.009411,0.00888,-0.0005309999999999985,0.0,,,,,2024-09-07 18:28:25.189359,2011-02-26,2010/2011,Spain - La Liga,Mallorca vs Barcelona
,,,,,,,,,,,,,,,,,2.0611,,,,,,,,,,,,,42b155f2-9231-469b-b7d2-5e9eb52a0520,67,,"[8.0, 19.2]",69283,1,,,,,0.6826516,,Left Foot,,,,"[41.7, 46.6]",,High Pass,,43.43328,,,,Andrés Iniesta Luján,,,,,,,1,Regular Play,Eric-Sylvain Bilal Abidal,20177.0,Left Center Back,10,Barcelona,217,['c7526ccc-f51e-4540-9f73-b1f918bc1658'],33,,,,,,,,,,,,,,,,,Barcelona,217,00:01:33.738,Pass,,8.0,19.2,41.7,46.6,0,1,4,4,0.007501,0.012626,0.005125,0.005125,,,,,2024-09-07 18:28:25.189359,2011-02-26,2010/2011,Spain - La Liga,Mallorca vs Barcelona
