ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,team_id,timestamp,type,under_pressure,x,y,end_x,end_y,x1_bin,y1_bin,x2_bin,y2_bin,start_zone_value,end_zone_value,pass_xT,progressive_xT,expected_assists_xA,shot_statsbomb_xg_cum,xg_chain,xg_buildup,Extraction Date,match_date,season,competition,h2h
,,,,,,,,,,,,,,,,,1.2442,,,,,,,,,,,,,c4416480-06f4-4631-ae1b-ba8421454454,2392,,"[67.2, 63.9]",69300,56,,,,True,-0.15311316,,,,,,"[83.4, 61.4]",High Pass,,16.391766,,Incomplete,,Ikechukwu Uche,,,,,,2,From Free Kick,Ander Herrera Agüera,3606.0,Center Attacking Midfield,102,Real Zaragoza,395,"['276a9d17-04ac-4503-a741-d429c62a8cdf', '75ef0c64-cfbc-4277-9497-44f6c27a0928', 'fdd50c62-0a2a-4463-9aa5-e3f5abea2b09']",1,,,,,,,,,,,,,,,Real Zaragoza,395,00:11:01.667,Pass,True,67.2,63.9,83.4,61.4,6,6,8,6,0.016118,0.024015,0.007897000000000001,0.007897000000000001,,,,,2024-09-07 18:28:42.000596,2011-03-05,2010/2011,Spain - La Liga,Barcelona vs Real Zaragoza
,,,,,,,,,,,,,,,,,1.6431,,,,,,,,,,,,,276a9d17-04ac-4503-a741-d429c62a8cdf,2396,,"[36.7, 18.7]",69300,56,,,,True,-0.2234766,,,,,,"[38.9, 18.2]",High Pass,,2.2561028,,,,Javier Alejandro Mascherano,,,,,Recovery,2,Regular Play,Maxwell Scherrer Cabelino Andrade,26613.0,Left Back,103,Barcelona,217,"['6821de34-2716-4670-bc8a-f380931cf309', 'c4416480-06f4-4631-ae1b-ba8421454454', 'cd8cabb2-1d62-42ca-9bdb-e1ab40db723f']",2,,,,,,,,,,,,,,,Barcelona,217,00:11:02.912,Pass,True,36.7,18.7,38.9,18.2,3,1,3,1,0.010595,0.010595,0.0,0.0,,,,,2024-09-07 18:28:42.000596,2011-03-05,2010/2011,Spain - La Liga,Barcelona vs Real Zaragoza
,,,,,,,,,,,,,,,,,3.0844,,,,,,,,,,,,,93670106-5ecb-42d9-8bf3-3fcf3ebd74b4,2399,,"[40.0, 18.1]",69300,56,,,,,-0.32978252,,Right Foot,,,,"[54.9, 13.0]",High Pass,,15.748651,,Incomplete,,,,,,,,2,Regular Play,Javier Alejandro Mascherano,5506.0,Center Defensive Midfield,103,Barcelona,217,['5bd2777b-fd21-447b-b426-41af7dac9170'],4,,,,,,,,,,,,,,,Barcelona,217,00:11:04.572,Pass,,40.0,18.1,54.9,13.0,3,1,5,1,0.010595,0.013845,0.0032499999999999994,0.0032499999999999994,,,,,2024-09-07 18:28:42.000596,2011-03-05,2010/2011,Spain - La Liga,Barcelona vs Real Zaragoza
,,,,,,,,,,,,,,,,,1.2357,,,,,,,,,,,,,5bd2777b-fd21-447b-b426-41af7dac9170,2400,,"[65.2, 67.1]",69300,56,,,,True,-0.16799228,,,,,,"[82.3, 64.2]",High Pass,,17.344164,,Incomplete,,,,,,,Recovery,2,Regular Play,Carlos Andrés Diogo Enseñat,26022.0,Right Wing Back,103,Barcelona,217,"['58a3d013-141a-45d5-8664-397e2ef5aa10', '93670106-5ecb-42d9-8bf3-3fcf3ebd74b4', 'c0d7eaac-6fb4-42ad-8977-51138f3c8128']",7,,,,,,,,,,,,,,,Real Zaragoza,395,00:11:07.656,Pass,True,65.2,67.1,82.3,64.2,6,6,8,6,0.016118,0.024015,0.007897000000000001,0.007897000000000001,,,,,2024-09-07 18:28:42.000596,2011-03-05,2010/2011,Spain - La Liga,Barcelona vs Real Zaragoza
,,,,,,,,,,,,,,,,,0.9601,,,,,,,,,,,,,c0d7eaac-6fb4-42ad-8977-51138f3c8128,2402,,"[37.8, 15.9]",69300,56,,,,,0.73459446,,Right Foot,,,,"[47.1, 24.3]",Low Pass,,12.53196,,,,Xavier Hernández Creus,,,,,Recovery,2,Regular Play,Maxwell Scherrer Cabelino Andrade,26613.0,Left Back,103,Barcelona,217,"['5bd2777b-fd21-447b-b426-41af7dac9170', 'd08e0a1b-1461-4b8d-a297-4766c88eaead']",8,,,,,,,,,,,,,,,Barcelona,217,00:11:08.892,Pass,,37.8,15.9,47.1,24.3,3,1,4,2,0.010595,0.012692,0.002097,0.002097,,,,,2024-09-07 18:28:42.000596,2011-03-05,2010/2011,Spain - La Liga,Barcelona vs Real Zaragoza
,,,,,,,,,,,,,,,,,0.8039,,,,,,,,,,,,,fbf431f5-ce0b-48c9-9f35-3821c7a31b72,2406,,"[48.4, 21.9]",69300,56,,,,,-1.1401038,,Right Foot,,,,"[53.5, 10.8]",Ground Pass,,12.215564,,,,Seydou Kéita,,,,,,2,Regular Play,Xavier Hernández Creus,20131.0,Left Center Midfield,103,Barcelona,217,"['056bf414-e562-415f-8a76-61f53639dbf9', 'a23648cf-6967-4b99-b567-d9991feaa862']",10,,,,,,,,,,,,,,,Barcelona,217,00:11:10.570,Pass,True,48.4,21.9,53.5,10.8,4,2,5,1,0.012692,0.013845,0.0011529999999999995,0.0011529999999999995,,,,,2024-09-07 18:28:42.000596,2011-03-05,2010/2011,Spain - La Liga,Barcelona vs Real Zaragoza
,,,,,,,,,,,,,,,,,0.6658,,,,,,,,,,,,,2b669035-739f-44e8-88f7-d3ba0bd89361,2409,,"[54.9, 14.2]",69300,56,,,,,0.9490588,,Left Foot,,,,"[64.0, 26.9]",High Pass,,15.6237,,,,Lionel Andrés Messi Cuccittini,,,,,,2,Regular Play,Seydou Kéita,20169.0,Right Center Midfield,103,Barcelona,217,['749dda0a-7586-45d2-bf9c-eaf86cb79c92'],12,,,,,,,,,,,,,,,Barcelona,217,00:11:12.347,Pass,,54.9,14.2,64.0,26.9,5,1,6,2,0.013845,0.016856,0.003011,0.003011,,,,,2024-09-07 18:28:42.000596,2011-03-05,2010/2011,Spain - La Liga,Barcelona vs Real Zaragoza
,,,,,,,,,,,,,,,,,0.6216,,,,,,,,,,,,,5bb61ee8-7455-440d-85ad-ee465087e347,2412,,"[63.6, 26.4]",69300,56,,,,,-0.67283255,,Right Foot,,,,"[70.0, 21.3]",High Pass,,8.18352,,Incomplete,,,,,,,,2,Regular Play,Lionel Andrés Messi Cuccittini,5503.0,Right Wing,103,Barcelona,217,['71061093-0481-45fb-b9d3-c815e9705ce2'],13,,,,,,,,,,,,,,,Barcelona,217,00:11:13.105,Pass,,63.6,26.4,70.0,21.3,6,2,6,2,0.016856,0.016856,0.0,0.0,,,,,2024-09-07 18:28:42.000596,2011-03-05,2010/2011,Spain - La Liga,Barcelona vs Real Zaragoza
,,,,,,,,,,,,,,,,,2.959682,,,,,,,,,,,,,71061093-0481-45fb-b9d3-c815e9705ce2,2413,,"[50.1, 58.8]",69300,56,,,,,-1.3456068,,Right Foot,,,,"[55.3, 36.1]",Low Pass,,23.28798,,,,Paulo César Da Silva Barrios,,,,,Recovery,2,Regular Play,José Edmílson Gomes de Moraes,25910.0,Right Center Midfield,104,Real Zaragoza,395,"['5bb61ee8-7455-440d-85ad-ee465087e347', '5efaea74-64b4-4e15-a5c9-525e753c16f1']",13,,,,,,,,,,,,,,,Real Zaragoza,395,00:11:13.727,Pass,,50.1,58.8,55.3,36.1,4,5,5,3,0.012692,0.014846,0.0021539999999999997,0.0021539999999999997,,,,,2024-09-07 18:28:42.000596,2011-03-05,2010/2011,Spain - La Liga,Barcelona vs Real Zaragoza
,,,,,,,,,,,,,,,,,1.6188,,,,,,,,,,,,,62d6a1ae-6a86-4c52-ad66-003ac0a2376f,2416,,"[56.2, 33.9]",69300,56,,,,,-2.1746936,,Right Foot,,,,"[45.3, 18.1]",Ground Pass,,19.195051,,,,Ivan Obradović,,,,,,2,Regular Play,Paulo César Da Silva Barrios,26761.0,Left Center Back,104,Real Zaragoza,395,['a7f9d272-ddec-4ebb-a873-0070697951d7'],16,,,,,,,,,,,,,,,Real Zaragoza,395,00:11:16.734,Pass,,56.2,33.9,45.3,18.1,5,3,4,1,0.014846,0.012147,-0.002699,0.0,,,,,2024-09-07 18:28:42.000596,2011-03-05,2010/2011,Spain - La Liga,Barcelona vs Real Zaragoza
