50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,team_id,timestamp,type,under_pressure,x,y,end_x,end_y,x1_bin,y1_bin,x2_bin,y2_bin,start_zone_value,end_zone_value,pass_xT,progressive_xT,expected_assists_xA,shot_statsbomb_xg_cum,xg_chain,xg_buildup,Extraction Date,match_date,season,competition,h2h
,,,,,,,,,,,,,,,,1.058954,,,,,,,,,,,,,15a631a2-5cd5-46b7-a60b-3c6cf2ddac83,356,,,"[88.4, 77.5]",69287,7,,,,,-2.4725497,,Left Foot,,,,"[79.8, 70.7]",,Ground Pass,,10.963576,,,Adriano Correia Claro,,,,,,1,From Free Kick,Lionel Andrés Messi Cuccittini,5503.0,Right Wing,14,Barcelona,217,['68e57c3f-8159-4f19-827c-64bf30e0ab73'],12,,,,,,,,,,,,,,,Barcelona,217,00:07:12.433,Pass,,88.4,77.5,79.8,70.7,8,7,7,7,0.021221,0.017451,-0.003769999999999999,0.0,,,0.017279062,0.017279062,2024-09-07 18:28:16.058602,2010-09-11,2010/2011,Spain - La Liga,Barcelona vs Hércules
,,,,,,,,,,,,,,,,0.935755,,,,,,,,,,,,,429ebad1-38f4-428b-83a0-9eadc6e9a378,359,,,"[79.8, 70.7]",69287,7,,,,,-1.7856117,,Right Foot,,,,"[77.4, 59.7]",,Ground Pass,,11.258775,,,Javier Alejandro Mascherano,,,,,,1,From Free Kick,Adriano Correia Claro,22102.0,Right Back,14,Barcelona,217,['5b5cf072-76f3-43b5-9b6a-9a3b9cb4c155'],13,,,,,,,,,,,,,,,Barcelona,217,00:07:13.793,Pass,,79.8,70.7,77.4,59.7,7,7,7,6,0.017451,0.018703,0.0012519999999999996,0.0012519999999999996,,,0.017279062,0.017279062,2024-09-07 18:28:16.058602,2010-09-11,2010/2011,Spain - La Liga,Barcelona vs Hércules
,,,,,,,,,,,,,,,,0.727664,,,,,,,,,,,,,9fa531ca-5ff1-4119-90fb-1e5a3238df63,362,,,"[76.6, 61.6]",69287,7,,,,,1.8033533,,Right Foot,,,,"[74.8, 69.2]",,Ground Pass,,7.81025,,,Adriano Correia Claro,,,,,,1,From Free Kick,Javier Alejandro Mascherano,5506.0,Center Defensive Midfield,14,Barcelona,217,['4ffccd0b-31df-4790-b5d5-10795346fafb'],15,,,,,,,,,,,,,,,Barcelona,217,00:07:15.794,Pass,,76.6,61.6,74.8,69.2,7,6,7,6,0.018703,0.018703,0.0,0.0,,,0.017279062,0.017279062,2024-09-07 18:28:16.058602,2010-09-11,2010/2011,Spain - La Liga,Barcelona vs Hércules
,,,,,,,,,,,,,,,,2.96557,,,,,,,,,,,,,aa6f5995-3353-4f31-bab7-124a14d534f2,365,,,"[74.8, 69.2]",69287,7,,,,,-2.8680944,,Right Foot,,,,"[44.5, 60.7]",,Ground Pass,,31.469667,,,Gerard Piqué Bernabéu,,,,,,1,From Free Kick,Adriano Correia Claro,22102.0,Right Back,14,Barcelona,217,['7f22a59f-8914-4da8-9ab4-54ce75579d76'],17,,,,,,,,,,,,,,,Barcelona,217,00:07:17.380,Pass,,74.8,69.2,44.5,60.7,7,6,4,6,0.018703,0.012147,-0.006556000000000001,0.0,,,0.017279062,0.017279062,2024-09-07 18:28:16.058602,2010-09-11,2010/2011,Spain - La Liga,Barcelona vs Hércules
,,,,,,,,,,,,,,,,1.397122,,,,,,,,,,,,,daf3dd11-5e0f-4619-9784-c9e128038086,368,,,"[43.3, 49.8]",69287,7,,,,,-1.7234457,,Right Foot,,,,"[40.1, 29.0]",,Ground Pass,,21.044714,,,Eric-Sylvain Bilal Abidal,,,,,,1,From Free Kick,Gerard Piqué Bernabéu,5213.0,Right Center Back,14,Barcelona,217,['a9562f16-3cef-4cf4-888c-5e5a45bcc513'],22,,,,,,,,,,,,,,,Barcelona,217,00:07:22.781,Pass,,43.3,49.8,40.1,29.0,4,4,3,2,0.012626,0.011105,-0.0015209999999999998,0.0,,,0.017279062,0.017279062,2024-09-07 18:28:16.058602,2010-09-11,2010/2011,Spain - La Liga,Barcelona vs Hércules
,,,,,,,,,,,,,,,,3.12604,,,,,,,,,,,,,1e195f68-8327-44c0-ad4c-a5d8de805a25,371,,,"[37.4, 29.4]",69287,7,,,,,2.8461518,,Left Foot,,,,"[14.4, 36.4]",,Ground Pass,,24.04163,,,Víctor Valdés Arribas,,,,,,1,From Free Kick,Eric-Sylvain Bilal Abidal,20177.0,Left Center Back,14,Barcelona,217,['5b32dedd-cdd1-45d7-8cac-d595e5146b33'],25,,,,,,,,,,,,,,,Barcelona,217,00:07:25.492,Pass,,37.4,29.4,14.4,36.4,3,2,0,3,0.011105,0.009411,-0.001694000000000001,0.0,,,0.017279062,0.017279062,2024-09-07 18:28:16.058602,2010-09-11,2010/2011,Spain - La Liga,Barcelona vs Hércules
,,,,,,,,,,,,,,,,1.3611,,,,,,,,,,,,,e0ec0bdf-70de-413e-b5da-47ec0fc298da,374,,,"[14.4, 36.4]",69287,7,,,,,0.054846898,,Right Foot,,,,"[39.9, 37.8]",,Ground Pass,,25.538403,,,Javier Alejandro Mascherano,,,,,,1,From Free Kick,Víctor Valdés Arribas,20176.0,Goalkeeper,14,Barcelona,217,['6bbdb491-bbc3-4f9f-818d-9c029742d66e'],29,,,,,,,,,,,,,,,Barcelona,217,00:07:29.777,Pass,,14.4,36.4,39.9,37.8,1,3,3,3,0.010827,0.011324,0.0004970000000000009,0.0004970000000000009,,,0.017279062,0.017279062,2024-09-07 18:28:16.058602,2010-09-11,2010/2011,Spain - La Liga,Barcelona vs Hércules
,,,,,,,,,,,,,,,,2.6434,,,,,,,,,,,,,ea0d7849-d45d-4dfa-9a94-49cb2f7277a3,377,,,"[25.6, 37.4]",69287,7,,,,,1.0009508,,Right Foot,,,,"[49.5, 74.7]",,Low Pass,,44.300114,,,Adriano Correia Claro,,,,,,1,From Free Kick,Javier Alejandro Mascherano,5506.0,Center Defensive Midfield,14,Barcelona,217,['561e64af-e16d-49de-9a85-6947fb0adcd7'],34,,,,,,,,,,,,,,,Barcelona,217,00:07:34.338,Pass,,25.6,37.4,49.5,74.7,2,3,4,7,0.010165,0.011263,0.001098,0.001098,,,0.017279062,0.017279062,2024-09-07 18:28:16.058602,2010-09-11,2010/2011,Spain - La Liga,Barcelona vs Hércules
,,,,,,,,,,,,,,,,1.092796,,,,,,,,,,,,,c4203ff1-5c50-4eb3-95ea-446cc27b968f,380,,,"[84.0, 57.5]",69287,7,,,,,1.4139043,04454e2c-02aa-443e-aea5-c47706c68aa6,Left Foot,,,,"[86.8, 75.2]",,Ground Pass,,17.920101,,,Lionel Andrés Messi Cuccittini,True,,,,,1,From Free Kick,Adriano Correia Claro,22102.0,Right Back,14,Barcelona,217,['afa180bf-f8ba-4ef2-abdf-1e69c98709ad'],40,,,,,,,,,,,,,,,Barcelona,217,00:07:40.924,Pass,,84.0,57.5,86.8,75.2,8,5,8,7,0.024122,0.021221,-0.002901000000000001,0.0,0.017279062,,0.017279062,,2024-09-07 18:28:16.058602,2010-09-11,2010/2011,Spain - La Liga,Barcelona vs Hércules
,,,,,,,,,,,,,,,,1.253765,,,,,,,,,,,,,04454e2c-02aa-443e-aea5-c47706c68aa6,387,,,"[97.9, 53.5]",69287,7,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Lionel Andrés Messi Cuccittini,5503.0,Right Wing,14,Barcelona,217,['d5dedd2a-c7a9-49fa-9655-e0f0ed886986'],45,,Left Foot,"[118.5, 43.4, 0.3]",,"[{'location': [104.4, 64.2], 'player': {'id': 22102, 'name': 'Adriano Correia Claro'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}, {'location': [90.8, 42.4], 'player': {'id': 5216, 'name': 'Andrés Iniesta Luján'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [91.9, 24.8], 'player': {'id': 20169, 'name': 'Seydou Kéita'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [103.4, 18.7], 'player': {'id': 26613, 'name': 'Maxwell Scherrer Cabelino Andrade'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}, {'location': [103.6, 44.6], 'player': {'id': 12737, 'name': 'David Villa Sánchez'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [96.5, 60.1], 'player': {'id': 21568, 'name': 'Royston Ricky Drenthe'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [102.0, 57.0], 'player': {'id': 25900, 'name': 'Francisco Peña Romero'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [99.9, 52.6], 'player': {'id': 26751, 'name': 'Matías Lionel Fritzler'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [104.3, 33.2], 'player': {'id': 25994, 'name': 'David Cortés Caballero'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [105.7, 43.1], 'player': {'id': 26749, 'name': 'Abraham Paz Cruz'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [103.9, 48.4], 'player': {'id': 26747, 'name': 'Noé Elias Pamarot'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [118.6, 42.3], 'player': {'id': 25870, 'name': 'Juan Jesús Calatayud Sánchez'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [97.3, 46.5], 'player': {'id': 6192, 'name': 'Abel Enrique Aguilar Tapia'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [87.7, 43.1], 'player': {'id': 26748, 'name': 'Nelson Antonio Haedo Valdez'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': False}]",c4203ff1-5c50-4eb3-95ea-446cc27b968f,,Saved,0.017279062,Normal,Open Play,,,,Barcelona,217,00:07:45.935,Shot,,97.9,53.5,,,9,5,0,0,0.028552,0.006383,-0.022169,0.0,,0.017279062,0.017279062,,2024-09-07 18:28:16.058602,2010-09-11,2010/2011,Spain - La Liga,Barcelona vs Hércules
