50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,team_id,timestamp,type,under_pressure,x,y,end_x,end_y,x1_bin,y1_bin,x2_bin,y2_bin,start_zone_value,end_zone_value,pass_xT,progressive_xT,expected_assists_xA,shot_statsbomb_xg_cum,xg_chain,xg_buildup,Extraction Date,match_date,season,competition,h2h
,,,,,,,,,,,,,,,,,,,,2.407668,,,,,,,,,,,,824740ec-9aa0-426a-993a-e5b4a5924d7d,2235,,"[81.2, 39.9]",69291,48,,,,,-0.11743469,,Right Foot,,,,"[99.0, 37.8]",,Ground Pass,,17.923449,,,,Álvaro Negredo Sánchez,,,,,,2,Regular Play,Frédéric Oumar Kanouté,25960.0,Right Defensive Midfield,101,Sevilla,213,['70b502fb-edcf-4f28-9ba2-477ab76729c9'],7,,,,,,,,,,,,,,,,Sevilla,213,00:03:07.424,Pass,,81.2,39.9,99.0,37.8,8,3,9,3,0.023851,0.035113,0.011261999999999998,0.011261999999999998,,,0.42333648,0.42333648,2024-09-07 18:28:27.474535,2011-03-13,2010/2011,Spain - La Liga,Sevilla vs Barcelona
,,,,,,,,,,,,,,,,,,,,1.1054,,,,,,,,,,,,708a9494-bef2-41bf-8fb6-91977e56ff92,2243,,"[118.0, 56.5]",69291,48,,,,,-1.8438051,542664d1-c8ec-4dd0-884e-2752442ef285,Right Foot,True,,,"[113.1, 39.0]",True,High Pass,,18.173058,,,,Jesús Navas González,,,,,,2,Regular Play,Álvaro Negredo Sánchez,20542.0,Center Forward,101,Sevilla,213,['f8be1d4a-fbdc-487a-8da3-f1fde2159de4'],12,,,,,,,,,,,,,,,,Sevilla,213,00:03:12.791,Pass,,118.0,56.5,113.1,39.0,11,5,11,3,0.064426,0.257454,0.19302800000000003,0.19302800000000003,,,0.42333648,0.42333648,2024-09-07 18:28:27.474535,2011-03-13,2010/2011,Spain - La Liga,Sevilla vs Barcelona
,,,,,,,,,,,,,,,,,,,,0.9521,,,,,,,,,,,,542664d1-c8ec-4dd0-884e-2752442ef285,2245,,"[113.1, 39.9]",69291,48,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Jesús Navas González,6821.0,Left Wing,101,Sevilla,213,['c1826d86-37c9-4c87-b134-cbaeca43c259'],13,,Head,"[120.0, 42.6, 1.3]",,"[{'location': [117.3, 48.4], 'player': {'id': 4324, 'name': 'Daniel Alves da Silva'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [119.3, 49.4], 'player': {'id': 20176, 'name': 'Víctor Valdés Arribas'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [114.4, 38.9], 'player': {'id': 5213, 'name': 'Gerard Piqué Bernabéu'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [98.9, 28.7], 'player': {'id': 12737, 'name': 'David Villa Sánchez'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': False}, {'location': [118.6, 55.2], 'player': {'id': 20542, 'name': 'Álvaro Negredo Sánchez'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [119.4, 41.5], 'player': {'id': 20177, 'name': 'Eric-Sylvain Bilal Abidal'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [109.1, 48.9], 'player': {'id': 5470, 'name': 'Ivan Rakitić'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}]",708a9494-bef2-41bf-8fb6-91977e56ff92,,,Goal,0.42333648,Normal,Open Play,,,,Sevilla,213,00:03:13.954,Shot,,113.1,39.9,,,11,3,0,0,0.257454,0.006383,-0.25107100000000004,0.0,,0.42333648,0.42333648,,2024-09-07 18:28:27.474535,2011-03-13,2010/2011,Spain - La Liga,Sevilla vs Barcelona
,,,,,,,,,,,,,,,,,,,,0.4428,,,,,,,,,,,,2e9bb9ba-e481-46fd-b729-972008f6cdab,2247,,"[60.0, 40.0]",69291,49,,True,,,-1.6902252,,Right Foot,,,,"[59.4, 35.0]",,Ground Pass,,5.0358715,,,,Lionel Andrés Messi Cuccittini,,,,,Kick Off,2,From Kick Off,Bojan Krkíc Pérez,4913.0,Right Center Forward,102,Barcelona,217,['57271aa1-fddb-4a1b-830d-4a6e01ed1887'],22,,,,,,,,,,,,,,,,Barcelona,217,00:04:22.205,Pass,,60.0,40.0,59.4,35.0,5,3,5,3,0.014846,0.014846,0.0,0.0,,,,,2024-09-07 18:28:27.474535,2011-03-13,2010/2011,Spain - La Liga,Sevilla vs Barcelona
,,,,,,,,,,,,,,,,,,,,1.5393,,,,,,,,,,,,6562484e-fe8b-4330-a7f4-e8bfd326fe7c,2249,,"[58.3, 35.0]",69291,49,,True,,,2.8701973,,Left Foot,,,,"[46.8, 38.2]",,Ground Pass,,11.936917,,,,Andrés Iniesta Luján,,,,,,2,From Kick Off,Lionel Andrés Messi Cuccittini,5503.0,Center Attacking Midfield,102,Barcelona,217,['4a035da3-88e1-4888-ae8b-686caa6f44bb'],22,,,,,,,,,,,,,,,,Barcelona,217,00:04:22.780,Pass,,58.3,35.0,46.8,38.2,5,3,4,3,0.014846,0.012626,-0.0022199999999999998,0.0,,,,,2024-09-07 18:28:27.474535,2011-03-13,2010/2011,Spain - La Liga,Sevilla vs Barcelona
,,,,,,,,,,,,,,,,,,,,0.961,,,,,,,,,,,,4871c20f-1f7e-44a8-a4e3-7a0469fd4603,2251,,"[45.7, 38.4]",69291,49,,True,,,-0.7998899,,Left Foot,,,,"[62.7, 20.9]",,Ground Pass,,24.397745,,,,Bojan Krkíc Pérez,,,,,,2,From Kick Off,Andrés Iniesta Luján,5216.0,Left Center Midfield,102,Barcelona,217,['d8a5b914-a86f-43c1-a86a-0ccdedeee8ec'],24,,,,,,,,,,,,,,,,Barcelona,217,00:04:24.960,Pass,,45.7,38.4,62.7,20.9,4,3,6,2,0.012626,0.016856,0.004229999999999999,0.004229999999999999,,,,,2024-09-07 18:28:27.474535,2011-03-13,2010/2011,Spain - La Liga,Sevilla vs Barcelona
,,,,,,,,,,,,,,,,,,,,1.0677,,,,,,,,,,,,c6df92de-3861-4422-abe9-239097cab90d,2254,,"[69.0, 21.4]",69291,49,,,,,2.8111467,,Right Foot,,,,"[51.8, 27.3]",,Ground Pass,,18.183784,,,,Sergio Busquets i Burgos,,,,,,2,From Kick Off,Bojan Krkíc Pérez,4913.0,Right Center Forward,102,Barcelona,217,"['48d8d7e1-29e6-4459-9f8b-0b4463b1f867', '5ad146de-1787-4d86-940d-0f4b4811b772']",26,,,,,,,,,,,,,,,,Barcelona,217,00:04:26.798,Pass,True,69.0,21.4,51.8,27.3,6,2,4,2,0.016856,0.012692,-0.004163999999999999,0.0,,,,,2024-09-07 18:28:27.474535,2011-03-13,2010/2011,Spain - La Liga,Sevilla vs Barcelona
,,,,,,,,,,,,,,,,,,,,1.3647,,,,,,,,,,,,42bd6993-f661-481b-b8b5-9abad5aaff34,2257,,"[52.2, 27.7]",69291,49,,,,,0.9085344,,Right Foot,,,,"[69.9, 50.4]",,Ground Pass,,28.785065,,,,Lionel Andrés Messi Cuccittini,,,,,,2,From Kick Off,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,102,Barcelona,217,['e984a411-f692-4245-8dab-9bb6b8c7fb6a'],28,,,,,,,,,,,,,,,,Barcelona,217,00:04:28.952,Pass,,52.2,27.7,69.9,50.4,5,2,6,5,0.014291,0.016856,0.0025649999999999996,0.0025649999999999996,,,,,2024-09-07 18:28:27.474535,2011-03-13,2010/2011,Spain - La Liga,Sevilla vs Barcelona
,,,,,,,,,,,,,,,,,,,,1.9013,,,,,,,,,,,,1a913049-c954-43c3-a6eb-bd33f2b030a9,2260,,"[69.9, 51.4]",69291,49,,,,,1.3539939,,Left Foot,,,,"[74.9, 74.1]",,Ground Pass,,23.244139,,,,Daniel Alves da Silva,,,,,,2,From Kick Off,Lionel Andrés Messi Cuccittini,5503.0,Center Attacking Midfield,102,Barcelona,217,['5fdb4aa9-aca5-4595-b52e-9de8f8f44adc'],31,,,,,,,,,,,,,,,,Barcelona,217,00:04:31.195,Pass,,69.9,51.4,74.9,74.1,6,5,7,7,0.016856,0.017451,0.0005950000000000018,0.0005950000000000018,,,,,2024-09-07 18:28:27.474535,2011-03-13,2010/2011,Spain - La Liga,Sevilla vs Barcelona
,,,,,,,,,,,,,,,,,,,,1.2673,,,,,,,,,,,,026d3cb3-5eed-4899-8861-512e36328181,2264,,"[82.5, 77.1]",69291,49,,,,,-1.1583859,,Right Foot,,,,"[93.0, 53.1]",,Ground Pass,,26.196373,,Incomplete,,David Villa Sánchez,,,,,,2,From Kick Off,Daniel Alves da Silva,4324.0,Right Back,102,Barcelona,217,"['2e93c51f-1b06-4536-b031-4b8476b12bc8', '6fb4754d-888a-4096-b16e-25badf1f9c45', 'd50b5581-a103-4485-82ae-a3ce1e59a2d5']",34,,,,,,,,,,,,,,,,Barcelona,217,00:04:34.292,Pass,True,82.5,77.1,93.0,53.1,8,7,9,5,0.021221,0.028552,0.007331000000000001,0.007331000000000001,,,,,2024-09-07 18:28:27.474535,2011-03-13,2010/2011,Spain - La Liga,Sevilla vs Barcelona
,,,,,,,,,,,,,,,,,,,,1.3093,,,,,,,,,,,,318fe555-a88c-4638-9f26-bf390d05e0d4,2268,,"[31.2, 28.5]",69291,49,,,,,0.0,,Right Foot,,,,"[57.8, 28.5]",,Ground Pass,,26.6,,,,Álvaro Negredo Sánchez,,,,,,2,Regular Play,Alexis Ruano Delgado,6614.0,Left Center Back,103,Sevilla,213,['527ccdaf-ceb5-4354-b64e-d146db6f40b6'],36,,,,,,,,,,,,,,,,Sevilla,213,00:04:36.766,Pass,,31.2,28.5,57.8,28.5,2,2,5,2,0.010013,0.014291,0.0042780000000000006,0.0042780000000000006,,,,,2024-09-07 18:28:27.474535,2011-03-13,2010/2011,Spain - La Liga,Sevilla vs Barcelona
,,,,,,,,,,,,,,,,,,,,1.8212,,,,,,,,,,,,cbbedb2c-cf2a-42c6-ac9c-216d9886cc7d,2272,,"[62.9, 58.8]",69291,49,,,,,-0.36254424,,Right Foot,,,,"[89.0, 48.9]",,High Pass,,27.914513,,Incomplete,,David Villa Sánchez,,,,,Recovery,2,Regular Play,Gerard Piqué Bernabéu,5213.0,Right Center Back,103,Sevilla,213,"['58d2112e-b17e-41b3-a704-07f5e2f627cb', 'c5808600-7c3e-4261-a9d8-d8e1e654f76e']",38,,,,,,,,,,,,,,,,Barcelona,217,00:04:38.925,Pass,,62.9,58.8,89.0,48.9,6,5,8,4,0.016856,0.023851,0.006995000000000001,0.006995000000000001,,,,,2024-09-07 18:28:27.474535,2011-03-13,2010/2011,Spain - La Liga,Sevilla vs Barcelona
,,,,,,,,,,,,,,,,,,,,1.4579,,,,,,,,,,,,7bb0c023-e4ed-42f6-9ac0-9983d117614a,2276,,"[41.5, 14.9]",69291,49,,,,True,0.08216752,,,,,,"[58.5, 16.3]",,High Pass,,17.05755,,Incomplete,,Álvaro Negredo Sánchez,,,,,Recovery,2,Regular Play,Jesús Navas González,6821.0,Left Wing,103,Sevilla,213,"['4de64b78-9e1b-4d31-8408-f6f0ffaa40da', '69f0eb65-0b69-470b-92d1-c86d3e63e9d0', 'f04bbfad-f28b-403a-b1fe-5c6fcf8ac3c9']",42,,,,,,,,,,,,,,,,Sevilla,213,00:04:42.603,Pass,True,41.5,14.9,58.5,16.3,3,1,5,1,0.010595,0.013845,0.0032499999999999994,0.0032499999999999994,,,,,2024-09-07 18:28:27.474535,2011-03-13,2010/2011,Spain - La Liga,Sevilla vs Barcelona
,,,,,,,,,,,,,,,,,,,,1.4275,,,,,,,,,,,,69f0eb65-0b69-470b-92d1-c86d3e63e9d0,2278,,"[62.5, 64.7]",69291,49,,,,,-0.5427505,,Head,,,,"[81.4, 53.3]",,High Pass,,22.071928,,Incomplete,,,,,,,Recovery,2,Regular Play,Gerard Piqué Bernabéu,5213.0,Right Center Back,103,Sevilla,213,"['7810e5e9-efeb-4f97-99da-fa0d04ead7ff', '7bb0c023-e4ed-42f6-9ac0-9983d117614a']",44,,,,,,,,,,,,,,,,Barcelona,217,00:04:44.061,Pass,,62.5,64.7,81.4,53.3,6,6,7,5,0.016118,0.019351,0.0032329999999999998,0.0032329999999999998,,,,,2024-09-07 18:28:27.474535,2011-03-13,2010/2011,Spain - La Liga,Sevilla vs Barcelona
,,,,,,,,,,,,,,,,,,,,1.513964,,,,,,,,,,,,19113b0d-733d-4859-a104-7bf339ff1bb6,2281,,"[42.1, 8.6]",69291,49,,,,,-2.505904,,Right Foot,,,,"[31.8, 1.0]",,Ground Pass,,12.80039,,Out,,Fernando Navarro i Corbacho,,,,,,2,Regular Play,Gary Alexis Medel Soto,16453.0,Left Defensive Midfield,103,Sevilla,213,['58eb8932-588e-4518-80af-6f0b8025f36c'],46,,,,,,,,,,,,,,,,Sevilla,213,00:04:46.952,Pass,,42.1,8.6,31.8,1.0,4,0,2,0,0.011263,0.008449,-0.0028140000000000005,0.0,,,,,2024-09-07 18:28:27.474535,2011-03-13,2010/2011,Spain - La Liga,Sevilla vs Barcelona
,,,,,,,,,,,,,,,,,,,,1.561,,,,,,,,,,,,7c461d22-749c-4c8d-8271-f79b6a5080c6,2284,,"[95.9, 80.0]",69291,49,,,,,-2.8420606,,,,,,"[82.3, 75.8]",,Low Pass,,14.233763,,,,Xavier Hernández Creus,,,,,Throw-in,2,From Throw In,Daniel Alves da Silva,4324.0,Right Back,104,Barcelona,217,['e8d3272e-267b-4bce-8880-e77d16d28939'],56,,,,,,,,,,,,,,,,Barcelona,217,00:04:56.414,Pass,,95.9,80.0,82.3,75.8,9,7,8,7,0.027563,0.021221,-0.006342,0.0,,,,,2024-09-07 18:28:27.474535,2011-03-13,2010/2011,Spain - La Liga,Sevilla vs Barcelona
,,,,,,,,,,,,,,,,,,,,1.879,,,,,,,,,,,,64dda12d-e952-4018-9e5c-2af41e060eb6,2287,,"[81.6, 72.6]",69291,49,,,,,-2.010183,,Right Foot,,,,"[66.7, 40.9]",,Ground Pass,,35.027134,,,,Eric-Sylvain Bilal Abidal,,,,,,2,From Throw In,Xavier Hernández Creus,20131.0,Right Center Midfield,104,Barcelona,217,['ee61b69b-d92f-404e-b17d-e9e206891e21'],59,,,,,,,,,,,,,,,,Barcelona,217,00:04:59.796,Pass,,81.6,72.6,66.7,40.9,8,7,6,4,0.021221,0.016895,-0.004326,0.0,,,,,2024-09-07 18:28:27.474535,2011-03-13,2010/2011,Spain - La Liga,Sevilla vs Barcelona
