ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_to_post,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_saved_to_post,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,team_id,timestamp,type,under_pressure,x,y,end_x,end_y,x1_bin,y1_bin,x2_bin,y2_bin,start_zone_value,end_zone_value,pass_xT,progressive_xT,expected_assists_xA,shot_statsbomb_xg_cum,xg_chain,xg_buildup,Extraction Date,match_date,season,competition,h2h
,,,,,,,,,,,,,,4.4146,,,,,,,,,,,,,de550e02-e016-471c-bf7b-610bc3eb8334,3698,,"[87.1, 19.0]",69306,84,,,,,1.6183795,,Left Foot,,,,"[84.4, 75.7]",,High Pass,,56.764248,,,,Daniel Alves da Silva,,,True,,,,2,From Free Kick,Lionel Andrés Messi Cuccittini,5503.0,Right Wing,151,Barcelona,217,['80448766-4c1f-42e8-8eef-969b11f95031'],15,,,,,,,,,,,,,,,,Barcelona,217,00:39:15.092,Pass,,87.1,19.0,84.4,75.7,8,1,8,7,0.024015,0.021221,-0.0027940000000000013,0.0,,,,,2024-09-07 18:28:46.645262,2010-11-20,2010/2011,Spain - La Liga,Almería vs Barcelona
,,,,,,,,,,,,,,1.5617,,,,,,,,,,,,,e0379eb2-23e9-4262-8556-a97135acd11e,3701,,"[85.7, 74.6]",69306,84,,,,,-0.833378,,Right Foot,True,,,"[108.5, 49.5]",,Low Pass,,33.90944,,Incomplete,,David Villa Sánchez,,,,,,,2,From Free Kick,Daniel Alves da Silva,4324.0,Right Back,151,Barcelona,217,"['74d41592-d67d-4c46-a840-ed198bac077e', 'fc5248cc-f1d0-4ba1-b27d-ab41c6bf0b63']",24,,,,,,,,,,,,,,,,Barcelona,217,00:39:24.172,Pass,,85.7,74.6,108.5,49.5,8,7,10,4,0.021221,0.108051,0.08682999999999999,0.08682999999999999,,,,,2024-09-07 18:28:46.645262,2010-11-20,2010/2011,Spain - La Liga,Almería vs Barcelona
,,,,,,,,,True,,,,,1.2276,,,,,,,,,,,,,531ff62e-6b17-46dd-b6dd-79b75cd195e6,3708,,"[23.4, 23.2]",69306,84,,,,,0.20421363,,Right Foot,,,,"[40.3, 26.7]",,Ground Pass,,17.258621,,,,Miguel Ángel García Pérez Roldán,,,,,,Interception,2,Regular Play,Fabián Andrés Vargas Rivera,26766.0,Left Center Midfield,152,Almería,403,['699458b1-1987-43db-ba38-04a794d92f67'],28,,,,,,,,,,,,,,,,Almería,403,00:39:28.837,Pass,,23.4,23.2,40.3,26.7,1,2,3,2,0.009777,0.011105,0.001328000000000001,0.001328000000000001,,,,,2024-09-07 18:28:46.645262,2010-11-20,2010/2011,Spain - La Liga,Almería vs Barcelona
,,,,,,,,,,,,,,3.645135,,,,,,,,,,,,,04a6a616-eafc-4156-ba67-86cce2d5dc70,3711,,"[48.0, 36.4]",69306,84,,,,,-0.7678561,,Right Foot,,,,"[77.0, 8.4]",,Low Pass,,40.311287,,,,Pablo Daniel Piatti,,,,,,,2,Regular Play,Miguel Ángel García Pérez Roldán,26432.0,Center Attacking Midfield,152,Almería,403,['9d9e0228-0b89-4f0d-9ea4-e62d6ab3b5ff'],32,,,,,,,,,,,,,,,,Almería,403,00:39:32.626,Pass,,48.0,36.4,77.0,8.4,4,3,7,0,0.012626,0.017451,0.004825000000000001,0.004825000000000001,,,,,2024-09-07 18:28:46.645262,2010-11-20,2010/2011,Spain - La Liga,Almería vs Barcelona
,,,,,,,,,,,,,,1.2265,,,,,,,,,,,,,9e4b29fb-c1ab-4816-8561-37a23ded449e,3720,,"[8.1, 80.0]",69306,85,,,,,-0.9293236,,,,,,"[14.0, 72.1]",,High Pass,,9.860021,,,,Thiago Alcântara do Nascimento,,,,,,Throw-in,2,From Throw In,Daniel Alves da Silva,4324.0,Right Back,153,Barcelona,217,['049355a9-b4e1-40fc-86ba-55bb06d8e63e'],3,,,,,,,,,,,,,,,,Barcelona,217,00:40:03.156,Pass,,8.1,80.0,14.0,72.1,0,7,1,7,0.006383,0.007796,0.0014130000000000002,0.0014130000000000002,,,,,2024-09-07 18:28:46.645262,2010-11-20,2010/2011,Spain - La Liga,Almería vs Barcelona
,,,,,,,,,,,,,,0.931359,,,,,,,,,,,,,270045ff-9d4c-45ba-9ed6-f67d218f19f6,3722,,"[14.0, 72.1]",69306,85,,,,,2.6992185,,Right Foot,,,,"[4.5, 76.6]",,Low Pass,,10.511898,,,,Daniel Alves da Silva,,,,,,,2,From Throw In,Thiago Alcântara do Nascimento,5208.0,Right Center Midfield,153,Barcelona,217,['d5b9c1a5-d88a-49ab-9cae-3dbb47392ee6'],4,,,,,,,,,,,,,,,,Barcelona,217,00:40:04.382,Pass,,14.0,72.1,4.5,76.6,0,7,0,7,0.006383,0.006383,0.0,0.0,,,,,2024-09-07 18:28:46.645262,2010-11-20,2010/2011,Spain - La Liga,Almería vs Barcelona
,,,,,,,,,,,,,,2.261989,,,,,,,,,,,,,d8f4b555-07b5-4e8c-8ba1-8e8d4991e58b,3726,,"[8.0, 74.9]",69306,85,,,,,-0.3330446,,Right Foot,,,,"[42.4, 63.0]",,Low Pass,,36.40014,,,,Bojan Krkíc Pérez,,,,,,,2,From Throw In,Daniel Alves da Silva,4324.0,Right Back,153,Barcelona,217,"['359eddd1-914b-46ea-97b9-1554ba4204e8', 'd99d06a3-bef6-4623-8628-e46961e04299']",6,,,,,,,,,,,,,,,,Barcelona,217,00:40:06.505,Pass,True,8.0,74.9,42.4,63.0,0,7,4,6,0.006383,0.012147,0.005764,0.005764,,,,,2024-09-07 18:28:46.645262,2010-11-20,2010/2011,Spain - La Liga,Almería vs Barcelona
,,,,,,,,,,,,,,2.886582,,,,,,,,,,,,,e19e2162-9d31-4fd5-8d51-6dbce74f74d2,3730,,"[36.0, 33.8]",69306,85,,,,,-1.8466022,,Left Foot,,,,"[30.0, 12.6]",,Ground Pass,,22.032703,,,,Maxwell Scherrer Cabelino Andrade,,,,,,,2,From Throw In,Bojan Krkíc Pérez,4913.0,Left Wing,153,Barcelona,217,['2405db86-7c21-49e9-9d6e-54a87faf3d02'],12,,,,,,,,,,,,,,,,Barcelona,217,00:40:12.102,Pass,,36.0,33.8,30.0,12.6,3,3,2,1,0.011324,0.009424,-0.0019000000000000006,0.0,,,,,2024-09-07 18:28:46.645262,2010-11-20,2010/2011,Spain - La Liga,Almería vs Barcelona
,,,,,,,,,,,,,,1.755504,,,,,,,,,,,,,ee32a630-6f14-4723-a9fa-050bad35b76f,3733,,"[33.4, 13.3]",69306,85,,,,,-0.38777018,,Left Foot,,,,"[54.7, 4.6]",,Ground Pass,,23.008259,,,,Seydou Kéita,,,,,,,2,From Throw In,Maxwell Scherrer Cabelino Andrade,26613.0,Left Back,153,Barcelona,217,['45ee3529-eec3-482e-8cab-6c61b0e8be4d'],15,,,,,,,,,,,,,,,,Barcelona,217,00:40:15.029,Pass,,33.4,13.3,54.7,4.6,3,1,5,0,0.010595,0.012483,0.001887999999999999,0.001887999999999999,,,,,2024-09-07 18:28:46.645262,2010-11-20,2010/2011,Spain - La Liga,Almería vs Barcelona
,,,,,,,,,,,,,,1.626003,,,,,,,,,,,,,86432d42-6769-4903-ab46-206242400f28,3736,,"[64.7, 3.1]",69306,85,,,,,2.3561945,,Left Foot,,,,"[56.4, 11.4]",,Ground Pass,,11.737972,,,,Bojan Krkíc Pérez,,,,,,,2,From Throw In,Seydou Kéita,20169.0,Left Center Midfield,153,Barcelona,217,['c8b10c8d-492f-4e12-b9f1-ff7a49a7e697'],19,,,,,,,,,,,,,,,,Barcelona,217,00:40:19.665,Pass,,64.7,3.1,56.4,11.4,6,0,5,1,0.014736,0.013845,-0.0008910000000000012,0.0,,,,,2024-09-07 18:28:46.645262,2010-11-20,2010/2011,Spain - La Liga,Almería vs Barcelona
