ball_receipt_outcome,ball_recovery_recovery_failure,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,team_id,timestamp,type,under_pressure,x,y,end_x,end_y,x1_bin,y1_bin,x2_bin,y2_bin,start_zone_value,end_zone_value,pass_xT,progressive_xT,expected_assists_xA,shot_statsbomb_xg_cum,xg_chain,xg_buildup,Extraction Date,match_date,season,competition,h2h
,,,,,,,,,,,,,,,1.864359,,,,,,,,,,,,cdbd911f-39db-489a-8a0c-4fa97c3af1ee,153,,"[69.2, 77.7]",69302,2,,,,-2.7146258,,Left Foot,,,,"[47.0, 67.6]",,Ground Pass,,24.389547,,,,Carles Puyol i Saforcada,,,,,,,1,From Throw In,Daniel Alves da Silva,4324.0,Right Back,12,Barcelona,217,['eaae7841-e6d1-43b8-9f10-8691aafc8e81'],57,,,,,,,,,,,,,,,Barcelona,217,00:02:57.745,Pass,,69.2,77.7,47.0,67.6,6,7,4,6,0.014736,0.012147,-0.002589000000000001,0.0,,,,,2024-09-07 18:28:20.140532,2010-12-12,2010/2011,Spain - La Liga,Barcelona vs Real Sociedad
,,,,,,,,,,,,,,,0.9736,,,,,,,,,,,,74c83ce8-91ed-4736-8141-9536bbfe19b7,156,,"[47.8, 67.6]",69302,3,,,,-1.4349476,,Right Foot,,,,"[49.7, 53.7]",,Ground Pass,,14.029255,,,,Javier Alejandro Mascherano,,,,,,,1,From Throw In,Carles Puyol i Saforcada,20125.0,Right Center Back,12,Barcelona,217,['5f7528f9-ce19-4692-bb43-a05450fb71e4'],0,,,,,,,,,,,,,,,Barcelona,217,00:03:00.582,Pass,,47.8,67.6,49.7,53.7,4,6,4,5,0.012147,0.012692,0.0005450000000000003,0.0005450000000000003,,,,,2024-09-07 18:28:20.140532,2010-12-12,2010/2011,Spain - La Liga,Barcelona vs Real Sociedad
,,,,,,,,,,,,,,,1.655514,,,,,,,,,,,,2a4b6e45-6294-4c27-9b75-326c2fdb5630,159,,"[49.7, 53.7]",69302,3,,,,-1.4889483,,Right Foot,,,,"[51.8, 28.1]",,Ground Pass,,25.685987,,,,Eric-Sylvain Bilal Abidal,,,,,,,1,From Throw In,Javier Alejandro Mascherano,5506.0,Center Defensive Midfield,12,Barcelona,217,['820405d7-864d-490b-9986-99fcda1d60e0'],2,,,,,,,,,,,,,,,Barcelona,217,00:03:02.867,Pass,,49.7,53.7,51.8,28.1,4,5,4,2,0.012692,0.012692,0.0,0.0,,,,,2024-09-07 18:28:20.140532,2010-12-12,2010/2011,Spain - La Liga,Barcelona vs Real Sociedad
,,,,,,,,,,,,,,,1.425611,,,,,,,,,,,,851219c0-870f-479e-8236-d51e3be8af52,162,,"[63.8, 27.9]",69302,3,,,,-1.2439697,,Right Foot,,,,"[71.8, 4.3]",,Ground Pass,,24.91907,,,,Maxwell Scherrer Cabelino Andrade,,,,,,,1,From Throw In,Eric-Sylvain Bilal Abidal,20177.0,Left Center Back,12,Barcelona,217,['f45a03db-0240-4590-8e2e-92351c52f13d'],7,,,,,,,,,,,,,,,Barcelona,217,00:03:07.214,Pass,,63.8,27.9,71.8,4.3,6,2,6,0,0.016856,0.014736,-0.0021199999999999986,0.0,,,,,2024-09-07 18:28:20.140532,2010-12-12,2010/2011,Spain - La Liga,Barcelona vs Real Sociedad
,,,,,,,,,,,,,,,1.7712,,,,,,,,,,,,0c16a8bc-be3a-4d20-b23e-c40fb0034955,165,,"[76.4, 5.0]",69302,3,,,,1.9264323,,Left Foot,,,,"[68.6, 26.0]",,Ground Pass,,22.401785,,,,Andrés Iniesta Luján,,,,,,,1,From Throw In,Maxwell Scherrer Cabelino Andrade,26613.0,Left Back,12,Barcelona,217,['c5277b96-9171-4264-b4f2-00e4f59a3b9f'],9,,,,,,,,,,,,,,,Barcelona,217,00:03:09.746,Pass,,76.4,5.0,68.6,26.0,7,0,6,2,0.017451,0.016856,-0.0005950000000000018,0.0,,,,,2024-09-07 18:28:20.140532,2010-12-12,2010/2011,Spain - La Liga,Barcelona vs Real Sociedad
,,,,,,,,,,,,,,,1.392703,,,,,,,,,,,,f0b39554-1861-4549-a894-6c59d93164af,168,,"[68.6, 26.0]",69302,3,,,,1.6997072,,Right Foot,,,,"[66.5, 42.2]",,Ground Pass,,16.335545,,,,Xavier Hernández Creus,,,,,,,1,From Throw In,Andrés Iniesta Luján,5216.0,Right Center Midfield,12,Barcelona,217,['39d1d9c3-f51e-44a3-bb8d-efd0774003d3'],12,,,,,,,,,,,,,,,Barcelona,217,00:03:12.224,Pass,,68.6,26.0,66.5,42.2,6,2,6,4,0.016856,0.016895,3.900000000000084e-05,3.900000000000084e-05,,,,,2024-09-07 18:28:20.140532,2010-12-12,2010/2011,Spain - La Liga,Barcelona vs Real Sociedad
,,,,,,,,,,,,,,,1.400047,,,,,,,,,,,,af9219cc-7a44-470a-9c9a-abf579523c2a,171,,"[66.5, 42.2]",69302,3,,,,1.6614562,,Right Foot,,,,"[64.8, 60.9]",,Ground Pass,,18.777113,,,,Daniel Alves da Silva,,,,,,,1,From Throw In,Xavier Hernández Creus,20131.0,Left Center Midfield,12,Barcelona,217,['f4d580b5-278e-47e6-a1b8-858533e46d58'],14,,,,,,,,,,,,,,,Barcelona,217,00:03:14.177,Pass,,66.5,42.2,64.8,60.9,6,4,6,6,0.016895,0.016118,-0.0007769999999999999,0.0,,,,,2024-09-07 18:28:20.140532,2010-12-12,2010/2011,Spain - La Liga,Barcelona vs Real Sociedad
,,,,,,,,,,,,,,,1.184608,,,,,,,,,,,,2e0507c0-bf5d-40e4-91a5-c42d5e77ac19,175,,"[64.0, 57.7]",69302,3,,,,-2.5699017,,Right Foot,,,,"[49.7, 48.5]",,Ground Pass,,17.003822,,,,Carles Puyol i Saforcada,,,,,,,1,From Throw In,Daniel Alves da Silva,4324.0,Right Back,12,Barcelona,217,"['4e85d5b4-3b9d-4866-be4d-65bada5849d2', 'f9dc5339-6319-4e31-b23b-0d052e66f077']",18,,,,,,,,,,,,,,,Barcelona,217,00:03:18.907,Pass,True,64.0,57.7,49.7,48.5,6,5,4,4,0.016856,0.012626,-0.004229999999999999,0.0,,,,,2024-09-07 18:28:20.140532,2010-12-12,2010/2011,Spain - La Liga,Barcelona vs Real Sociedad
,,,,,,,,,,,,,,,1.601652,,,,,,,,,,,,c141268c-a6fb-4c3f-86e8-5efddfb28e3a,178,,"[50.8, 46.6]",69302,3,,,,-1.3049873,,Left Foot,,,,"[56.0, 27.5]",,Ground Pass,,19.795202,,,,Javier Alejandro Mascherano,,,,,,,1,From Throw In,Carles Puyol i Saforcada,20125.0,Right Center Back,12,Barcelona,217,['eddc6263-a326-420e-b111-88391cd14c34'],20,,,,,,,,,,,,,,,Barcelona,217,00:03:20.888,Pass,,50.8,46.6,56.0,27.5,4,4,5,2,0.012626,0.014291,0.0016649999999999998,0.0016649999999999998,,,,,2024-09-07 18:28:20.140532,2010-12-12,2010/2011,Spain - La Liga,Barcelona vs Real Sociedad
,,,,,,,,,,,,,,,0.593361,,,,,,,,,,,,62e39106-bfa8-49df-bdf0-c25d72647e94,181,,"[69.2, 26.6]",69302,3,,,,-1.552726,,Right Foot,,,,"[69.5, 10.0]",,Ground Pass,,16.60271,,,,Andrés Iniesta Luján,,,,,,,1,From Throw In,Javier Alejandro Mascherano,5506.0,Center Defensive Midfield,12,Barcelona,217,['24fe9530-ddf3-45bc-acc4-7dc5f03958b8'],26,,,,,,,,,,,,,,,Barcelona,217,00:03:26.831,Pass,,69.2,26.6,69.5,10.0,6,2,6,0,0.016856,0.014736,-0.0021199999999999986,0.0,,,,,2024-09-07 18:28:20.140532,2010-12-12,2010/2011,Spain - La Liga,Barcelona vs Real Sociedad
,,,,,,,,,,,,,,,1.801593,,,,,,,,,,,,c56de666-b505-4d0b-ab6d-a71145caa444,184,,"[68.8, 17.2]",69302,3,,,,2.1282666,,Right Foot,,,,"[53.9, 41.1]",,Ground Pass,,28.164162,,,,Carles Puyol i Saforcada,,,,,,,1,From Throw In,Andrés Iniesta Luján,5216.0,Right Center Midfield,12,Barcelona,217,['f2712ee9-1673-4e5c-83d3-b4ef6b5a18b3'],30,,,,,,,,,,,,,,,Barcelona,217,00:03:30.657,Pass,,68.8,17.2,53.9,41.1,6,1,5,4,0.016118,0.014846,-0.0012720000000000006,0.0,,,,,2024-09-07 18:28:20.140532,2010-12-12,2010/2011,Spain - La Liga,Barcelona vs Real Sociedad
,,,,,,,,,,,,,,,1.30887,,,,,,,,,,,,909d373a-0e0e-4a3d-bbf2-5323f878c66d,187,,"[56.2, 41.1]",69302,3,,,,1.4842551,,Right Foot,,,,"[58.1, 63.0]",,Ground Pass,,21.982265,,,,Daniel Alves da Silva,,,,,,,1,From Throw In,Carles Puyol i Saforcada,20125.0,Right Center Back,12,Barcelona,217,['ec2ba2b6-fb9f-4822-b0bb-29506acc31d3'],33,,,,,,,,,,,,,,,Barcelona,217,00:03:33.496,Pass,,56.2,41.1,58.1,63.0,5,4,5,6,0.014846,0.013845,-0.0010010000000000002,0.0,,,,,2024-09-07 18:28:20.140532,2010-12-12,2010/2011,Spain - La Liga,Barcelona vs Real Sociedad
,,,,,,,,,,,,,,,2.4478,,,,,,,,,,,,afcc6dca-61d9-43bf-84e1-e100a7f1ce51,191,,"[64.0, 60.0]",69302,3,,,,1.0358412,,Right Foot,,,,"[72.0, 73.5]",,Ground Pass,,15.692355,,,,Pedro Eliezer Rodríguez Ledesma,,,,,,,1,From Throw In,Daniel Alves da Silva,4324.0,Right Back,12,Barcelona,217,['531aca44-b484-4c47-80d2-799e5c272650'],37,,,,,,,,,,,,,,,Barcelona,217,00:03:37.635,Pass,,64.0,60.0,72.0,73.5,6,5,7,7,0.016856,0.017451,0.0005950000000000018,0.0005950000000000018,,,,,2024-09-07 18:28:20.140532,2010-12-12,2010/2011,Spain - La Liga,Barcelona vs Real Sociedad
,,,,,,,,,,,,,,,1.0889,,,,,,,,,,,,56eebaa6-f2f7-425f-99e4-a8c8896181d7,195,,"[69.7, 75.2]",69302,3,,,,-2.4289823,,Left Foot,,,,"[59.4, 66.3]",,Ground Pass,,13.612494,,,,Daniel Alves da Silva,,,,,,,1,From Throw In,Pedro Eliezer Rodríguez Ledesma,3958.0,Right Wing,12,Barcelona,217,['123f3d04-9e8b-4d91-9c1c-80e37501494b'],40,,,,,,,,,,,,,,,Barcelona,217,00:03:40.123,Pass,,69.7,75.2,59.4,66.3,6,7,5,6,0.014736,0.013845,-0.0008910000000000012,0.0,,,,,2024-09-07 18:28:20.140532,2010-12-12,2010/2011,Spain - La Liga,Barcelona vs Real Sociedad
,,,,,,,,,,,,,,,0.794495,,,,,,,,,,,,2f5c091e-1113-4d72-8851-5156444d55d5,198,,"[64.4, 63.0]",69302,3,,,,-1.0630133,,Right Foot,,,,"[71.3, 50.6]",,Ground Pass,,14.19049,,,,Xavier Hernández Creus,,,,,,,1,From Throw In,Daniel Alves da Silva,4324.0,Right Back,12,Barcelona,217,['f18fd50a-c372-4389-a55c-b4db11e587d3'],43,,,,,,,,,,,,,,,Barcelona,217,00:03:43.353,Pass,,64.4,63.0,71.3,50.6,6,6,6,5,0.016118,0.016856,0.0007379999999999991,0.0007379999999999991,,,,,2024-09-07 18:28:20.140532,2010-12-12,2010/2011,Spain - La Liga,Barcelona vs Real Sociedad
,,,,,,,,,,,,,,,1.7478,,,,,,,,,,,,d155a80b-4d9f-4f4a-9f56-597d2e6478cf,201,,"[70.7, 50.8]",69302,3,,,,0.08178438,,Right Foot,,,,"[82.9, 51.8]",,Ground Pass,,12.240915,,Incomplete,,Pedro Eliezer Rodríguez Ledesma,,,,,,,1,From Throw In,Xavier Hernández Creus,20131.0,Left Center Midfield,12,Barcelona,217,"['01b4045c-cc27-4f7a-b331-a9ef9f70a9e9', '02f0406f-df81-4890-8506-2b7d3c575247', '982b5c8a-c1da-4278-b6a1-72967835d6be']",44,,,,,,,,,,,,,,,Barcelona,217,00:03:44.147,Pass,True,70.7,50.8,82.9,51.8,6,5,8,5,0.016856,0.024122,0.007266000000000002,0.007266000000000002,,,,,2024-09-07 18:28:20.140532,2010-12-12,2010/2011,Spain - La Liga,Barcelona vs Real Sociedad
,,,,,,,,,,,,,,,0.776207,,,,,,,,,,,,2661ea4a-654a-422a-8864-c874093f55ae,205,,"[37.9, 27.9]",69302,3,,,,-0.06548002,,Right Foot,,,,"[44.0, 27.5]",,Ground Pass,,6.1131005,,,,Mikel Aranburu Eizagirre,,,,,,,1,Regular Play,Diego Rivas Gutiérrez,26060.0,Center Defensive Midfield,13,Real Sociedad,210,['4714f84b-83c0-4385-add0-d4d8dc98a329'],46,,,,,,,,,,,,,,,Real Sociedad,210,00:03:46.854,Pass,,37.9,27.9,44.0,27.5,3,2,4,2,0.011105,0.012692,0.0015869999999999999,0.0015869999999999999,,,,,2024-09-07 18:28:20.140532,2010-12-12,2010/2011,Spain - La Liga,Barcelona vs Real Sociedad
,,,,,,,,,,,,,,,2.976727,,,,,,,,,,,,d3760b9c-c00e-421f-a72f-092669fc3b1f,210,,"[46.1, 31.9]",69302,3,,,,1.4762919,,Right Foot,,,,"[50.1, 74.1]",,Ground Pass,,42.38915,,,,Carlos Martínez Díez,,,True,,,,1,Regular Play,Mikel Aranburu Eizagirre,26449.0,Left Center Midfield,13,Real Sociedad,210,['fe7c6507-e5a2-4c29-bbe3-f72444869efe'],49,,,,,,,,,,,,,,,Real Sociedad,210,00:03:49.040,Pass,,46.1,31.9,50.1,74.1,4,3,4,7,0.012626,0.011263,-0.0013629999999999996,0.0,,,,,2024-09-07 18:28:20.140532,2010-12-12,2010/2011,Spain - La Liga,Barcelona vs Real Sociedad
,,,,,,,,,,,,,,,1.8122,,,,,,,,,,,,cb2c63ae-7775-44e7-9316-529762361a87,213,,"[79.5, 75.2]",69302,3,,,,-1.049763,,Right Foot,,,,"[102.4, 35.3]",,High Pass,,46.004566,,Incomplete,,Joseba Llorente Etxarri,,,,,,,1,Regular Play,Carlos Martínez Díez,8724.0,Right Back,13,Real Sociedad,210,"['2f0f3c7c-f22d-4ce5-8114-9c8d6bd27037', '4d138d3c-9eec-44e0-94dd-cf12ab903163']",56,,,,,,,,,,,,,,,Real Sociedad,210,00:03:56.994,Pass,,79.5,75.2,102.4,35.3,7,7,10,3,0.017451,0.108051,0.09059999999999999,0.09059999999999999,,,,,2024-09-07 18:28:20.140532,2010-12-12,2010/2011,Spain - La Liga,Barcelona vs Real Sociedad
,,,,,,,,,,,,,,,1.231659,,,,,,,,,,,,1dd536e7-8d91-464c-8677-104cda5e692d,216,,"[92.5, 57.1]",69302,4,,,,-1.4111496,,Head,,,,"[94.4, 45.3]",,High Pass,,11.951987,,,,Joseba Llorente Etxarri,,,,,,Recovery,1,Regular Play,Xabier Prieto Argarate,6690.0,Right Midfield,13,Real Sociedad,210,['8b8beffa-eebc-4103-9953-6ce29f8de438'],0,,,,,,,,,,,,,,,Real Sociedad,210,00:04:00.498,Pass,,92.5,57.1,94.4,45.3,9,5,9,4,0.028552,0.035113,0.006560999999999997,0.006560999999999997,,,,,2024-09-07 18:28:20.140532,2010-12-12,2010/2011,Spain - La Liga,Barcelona vs Real Sociedad
,,,,,,,,,,,,,,,1.6246,,,,,,,,,,,,213e80ec-00e4-4a5a-932c-ab22ca0c2f2a,218,,"[94.4, 45.3]",69302,4,,,,0.6958182,,Head,,,,"[103.5, 52.9]",,High Pass,,11.856222,,Incomplete,,Xabier Prieto Argarate,,,,,,,1,Regular Play,Joseba Llorente Etxarri,26191.0,Center Forward,13,Real Sociedad,210,"['757e8792-d4aa-4845-baf8-59ce292e53f1', 'f957103d-191a-4181-a5ca-8dc24d15afbb']",1,,,,,,,,,,,,,,,Real Sociedad,210,00:04:01.869,Pass,,94.4,45.3,103.5,52.9,9,4,10,5,0.035113,0.054911,0.019798000000000003,0.019798000000000003,,,,,2024-09-07 18:28:20.140532,2010-12-12,2010/2011,Spain - La Liga,Barcelona vs Real Sociedad
,,,,,,,,,,,,,,,1.247588,,,,,,,,,,,,757e8792-d4aa-4845-baf8-59ce292e53f1,220,,"[17.5, 28.1]",69302,4,,,,0.30854604,,Head,,,,"[42.6, 36.1]",,High Pass,,26.34407,,,,Xavier Hernández Creus,,,,,,Recovery,1,Regular Play,Maxwell Scherrer Cabelino Andrade,26613.0,Left Back,13,Real Sociedad,210,"['213e80ec-00e4-4a5a-932c-ab22ca0c2f2a', '9b4f347d-4d46-4668-a913-4a7cb636848d']",3,,,,,,,,,,,,,,,Barcelona,217,00:04:03.493,Pass,,17.5,28.1,42.6,36.1,1,2,4,3,0.009777,0.012626,0.002849000000000001,0.002849000000000001,,,,,2024-09-07 18:28:20.140532,2010-12-12,2010/2011,Spain - La Liga,Barcelona vs Real Sociedad
