50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,team_id,timestamp,type,under_pressure,x,y,end_x,end_y,x1_bin,y1_bin,x2_bin,y2_bin,start_zone_value,end_zone_value,pass_xT,progressive_xT,expected_assists_xA,shot_statsbomb_xg_cum,xg_chain,xg_buildup,Extraction Date,match_date,season,competition,h2h
,,,,,,,,,,,,,,,,,1.4021,,,,,,,,,,,,,,f3bc96d9-111d-4c14-b4c1-ab5eea0e3b17,1774,,"[70.2, 30.1]",69270,37,,,,,3.0529368,,Right Foot,,,"[61.2, 30.9]",,Ground Pass,,9.035485,,,,Xavier Hernández Creus,,,,,,1,Regular Play,David Villa Sánchez,12737.0,Left Wing,76,Barcelona,217,"['9b9c2657-c1a6-49b0-adb1-c2d132bdc714', 'bda8217c-fd62-4d31-b0cc-1bcc8a354d9f']",35,,,,,,,,,,,,,,,,Barcelona,217,00:37:35.411,Pass,True,70.2,30.1,61.2,30.9,6,2,5,3,0.016856,0.014846,-0.0020099999999999996,0.0,,,0.012579381,0.012579381,2024-09-07 18:28:13.841049,2010-11-07,2010/2011,Spain - La Liga,Getafe vs Barcelona
,,,,,,,,,,,,,,,,,2.6045,,,,,,,,,,,,,,c0687143-0dfb-4066-a54b-1798f38b5cc7,1778,,"[57.3, 34.0]",69270,37,,,,,1.0293491,,Right Foot,,,"[83.1, 76.9]",,High Pass,,50.060463,,,,Daniel Alves da Silva,,True,,,,1,Regular Play,Xavier Hernández Creus,20131.0,Right Center Midfield,76,Barcelona,217,['04760f49-fe1f-43ab-8b9c-12515ed26aa1'],39,,,,,,,,,,,,,,,,Barcelona,217,00:37:39.792,Pass,,57.3,34.0,83.1,76.9,5,3,8,7,0.014846,0.021221,0.0063750000000000005,0.0063750000000000005,,,0.012579381,0.012579381,2024-09-07 18:28:13.841049,2010-11-07,2010/2011,Spain - La Liga,Getafe vs Barcelona
,,,,,,,,,,,,,,,,,1.7795,,,,,,,,,,,,,,bfa2821c-5211-438a-b044-47a9e6174caf,1781,,"[84.3, 71.6]",69270,37,,,,,-0.72718894,,Right Foot,,,"[107.0, 51.4]",,Ground Pass,,30.386345,,Incomplete,,David Villa Sánchez,,,Through Ball,True,,1,Regular Play,Daniel Alves da Silva,4324.0,Right Back,76,Barcelona,217,"['09b9683e-4809-4688-97a2-244e10f0430a', '181bf44a-407f-4782-a513-d9850cbefcb0']",43,,,,,,,,,,,,,,,,Barcelona,217,00:37:43.726,Pass,,84.3,71.6,107.0,51.4,8,7,10,5,0.021221,0.054911,0.03369,0.03369,,,0.012579381,0.012579381,2024-09-07 18:28:13.841049,2010-11-07,2010/2011,Spain - La Liga,Getafe vs Barcelona
,,,,,,,,,,,,,,,,,3.415031,,,,,,,,,,,,,,0a585c95-4e79-4874-8483-b7f37e481dc1,1785,,"[101.0, 59.2]",69270,37,,,True,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Pedro Eliezer Rodríguez Ledesma,3958.0,Right Wing,76,Barcelona,217,['a6b899ee-9730-4906-b907-2fdd5967a26f'],46,,Right Foot,"[120.0, 8.4]",True,"[{'location': [101.3, 38.1], 'player': {'id': 6758, 'name': 'Víctor Sánchez Mata'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [115.4, 43.9], 'player': {'id': 26686, 'name': 'Jordi Codina Rodríguez'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [114.1, 51.5], 'player': {'id': 26496, 'name': 'Daniel Alberto Díaz'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [111.6, 51.5], 'player': {'id': 12737, 'name': 'David Villa Sánchez'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [103.1, 54.9], 'player': {'id': 24614, 'name': 'Rafael López Gómez'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [99.6, 68.5], 'player': {'id': 26436, 'name': 'José Manuel Jiménez Ortiz'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [103.2, 45.9], 'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [106.0, 44.1], 'player': {'id': 26722, 'name': 'Pablo César Pintos Cabral'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}]",,,,Wayward,0.012579381,Normal,Open Play,,,,Barcelona,217,00:37:46.930,Shot,,101.0,59.2,,,10,5,0,0,0.054911,0.006383,-0.048528,0.0,,0.012579381,0.012579381,,2024-09-07 18:28:13.841049,2010-11-07,2010/2011,Spain - La Liga,Getafe vs Barcelona
,,,,,,,,,,,,,,,,,1.775439,,,,,,,,,,,,,,c7d44228-d2ca-41a5-a2d9-1dbd70262658,1787,,"[7.0, 37.0]",69270,37,,True,,,0.8646837,,Right Foot,,,"[23.8, 56.7]",,Ground Pass,,25.890732,,,,Daniel Alberto Díaz,,,,,Goal Kick,1,From Goal Kick,Jordi Codina Rodríguez,26686.0,Goalkeeper,77,Getafe,216,['e2866a0a-ee68-4158-a646-ceb1aeed1747'],57,,,,,,,,,,,,,,,,Getafe,216,00:37:57.841,Pass,,7.0,37.0,23.8,56.7,0,3,2,5,0.009411,0.010013,0.0006020000000000001,0.0006020000000000001,,,,,2024-09-07 18:28:13.841049,2010-11-07,2010/2011,Spain - La Liga,Getafe vs Barcelona
,,,,,,,,,,,,,,,,,1.008756,,,,,,,,,,,,,,35f3f498-b979-4497-9aee-20e3ac0c5c93,1789,,"[25.8, 57.1]",69270,38,,,,,-0.039281093,,Right Foot,,,"[48.7, 56.2]",,Ground Pass,,22.917679,,,,Víctor Sánchez Mata,,,,,,1,From Goal Kick,Daniel Alberto Díaz,26496.0,Right Center Back,77,Getafe,216,['265facb6-3185-4355-82b7-846ead09f423'],0,,,,,,,,,,,,,,,,Getafe,216,00:38:00.932,Pass,,25.8,57.1,48.7,56.2,2,5,4,5,0.010013,0.012692,0.002679000000000001,0.002679000000000001,,,,,2024-09-07 18:28:13.841049,2010-11-07,2010/2011,Spain - La Liga,Getafe vs Barcelona
,,,,,,,,,,,,,,,,,0.7152,,,,,,,,,,,,,,fa2c8b57-ad4a-45cb-ab5c-7c3864f235ae,1792,,"[49.4, 57.1]",69270,38,,,,,-2.432072,,Right Foot,,,"[40.2, 49.2]",,Ground Pass,,12.126417,,Incomplete,,Derek Owusu Boateng,,,,,,1,From Goal Kick,Víctor Sánchez Mata,6758.0,Right Center Midfield,77,Getafe,216,"['20bb1cfc-d572-4355-8900-7bcef8285b17', '7cbd3bb3-236b-48d8-b6d4-4c103cf20be8']",2,,,,,,,,,,,,,,,,Getafe,216,00:38:02.332,Pass,,49.4,57.1,40.2,49.2,4,5,3,4,0.012692,0.011324,-0.0013679999999999994,0.0,,,,,2024-09-07 18:28:13.841049,2010-11-07,2010/2011,Spain - La Liga,Getafe vs Barcelona
,,,,,,,,,,,,,,,,,3.2406,,,,,,,,,,,,,,07f744b0-6877-4319-81ab-8c5acfaa97e5,1795,,"[9.6, 74.8]",69270,38,,,,,-0.31381905,,Left Foot,,,"[58.9, 58.8]",,High Pass,,51.83136,,,,Nicolás Ladislao Fedor Flores,,,,,Recovery,1,From Goal Kick,Daniel Alberto Díaz,26496.0,Right Center Back,77,Getafe,216,['07e6ff2a-b8ca-4136-ba64-cf41e08235ce'],9,,,,,,,,,,,,,,,,Getafe,216,00:38:09.843,Pass,,9.6,74.8,58.9,58.8,0,7,5,5,0.006383,0.014291,0.007908,0.007908,,,,,2024-09-07 18:28:13.841049,2010-11-07,2010/2011,Spain - La Liga,Getafe vs Barcelona
,,,,,,,,,,,,,,,,,1.7574,,,,,,,,,,,,,,bdd1fced-6d17-4fd7-a596-3062681df898,1798,,"[57.2, 54.0]",69270,38,,,,,-0.8053955,,Right Foot,,,"[67.0, 43.8]",,Low Pass,,14.144964,,Incomplete,,Manuel del Moral Fernández,,,,,,1,From Goal Kick,Nicolás Ladislao Fedor Flores,26685.0,Center Forward,77,Getafe,216,"['a03ae679-51d3-4b65-ada3-299374a722e7', 'd94929d4-e8b8-4b56-ab3c-b22c7d2b4ef0']",13,,,,,,,,,,,,,,,,Getafe,216,00:38:13.214,Pass,,57.2,54.0,67.0,43.8,5,5,6,4,0.014291,0.016895,0.0026040000000000004,0.0026040000000000004,,,,,2024-09-07 18:28:13.841049,2010-11-07,2010/2011,Spain - La Liga,Getafe vs Barcelona
,,,,,,,,,,,,,,,,,0.7287,,,,,,,,,,,,,,b453d2e3-4671-4a90-b394-23578792bd97,1802,,"[54.0, 37.6]",69270,38,,,,,-0.61466295,,Left Foot,,,"[59.1, 34.0]",,Ground Pass,,6.2425957,,,,Javier Alejandro Mascherano,,,,,,1,Regular Play,Daniel Alves da Silva,4324.0,Right Back,78,Barcelona,217,['28ec0871-28f8-4b1d-8d93-32aa14e07fec'],15,,,,,,,,,,,,,,,,Barcelona,217,00:38:15.395,Pass,,54.0,37.6,59.1,34.0,5,3,5,3,0.014846,0.014846,0.0,0.0,,,,,2024-09-07 18:28:13.841049,2010-11-07,2010/2011,Spain - La Liga,Getafe vs Barcelona
