50_50,ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,team_id,timestamp,type,under_pressure,x,y,end_x,end_y,x1_bin,y1_bin,x2_bin,y2_bin,start_zone_value,end_zone_value,pass_xT,progressive_xT,expected_assists_xA,shot_statsbomb_xg_cum,xg_chain,xg_buildup,Extraction Date,match_date,season,competition,h2h
,,,,,,,,,,,,,1.113264,,,,,,,,,,,,,,,ea5b1e60-000e-43d5-8f71-bd64553bb88d,3025,,"[51.0, 28.2]",69246,73,,,,,0.9726521,,Left Foot,,"[58.7, 39.5]",,Ground Pass,,13.674063,,,Xavier Hernández Creus,,,,,,,2,From Throw In,Seydou Kéita,20169.0,Center Defensive Midfield,124,Barcelona,217,['19d3bdd9-ace6-4b66-870c-391cdb871dc5'],10,,,,,,,,,,,,,,Barcelona,217,00:28:10.231,Pass,,51.0,28.2,58.7,39.5,4,2,5,3,0.012692,0.014846,0.0021539999999999997,0.0021539999999999997,,,,,2024-09-07 18:28:19.312191,2011-04-30,2010/2011,Spain - La Liga,Real Sociedad vs Barcelona
,,,,,,,,,,,,,1.2756,,,,,,,,,,,,,,,1d3a3000-393f-48b9-a829-9a60c8f4e53c,3029,,"[59.9, 39.5]",69246,73,,,,,-2.3255918,,Right Foot,,"[50.4, 29.4]",,Ground Pass,,13.865786,,,Seydou Kéita,,,,,,,2,From Throw In,Xavier Hernández Creus,20131.0,Right Center Midfield,124,Barcelona,217,"['bfa6d69b-5bdb-4c2f-b101-3342f82d4cc1', 'e50f5fdf-ea81-48d6-8508-48fb09936f07']",11,,,,,,,,,,,,,,Barcelona,217,00:28:11.876,Pass,True,59.9,39.5,50.4,29.4,5,3,4,2,0.014846,0.012692,-0.0021539999999999997,0.0,,,,,2024-09-07 18:28:19.312191,2011-04-30,2010/2011,Spain - La Liga,Real Sociedad vs Barcelona
,,,,,,,,,,,,,1.0586,,,,,,,,,,,,,,,9ca2ffd9-1328-42dc-abc5-6b41f317f755,3032,,"[54.6, 21.9]",69246,73,,,,,-0.93624353,,Left Foot,,"[65.2, 7.5]",,Ground Pass,,17.880716,,,Andreu Fontàs Prat,,,,,,,2,From Throw In,Seydou Kéita,20169.0,Center Defensive Midfield,124,Barcelona,217,['1af799c5-7e9e-4c35-8f9e-9c1f78c54e94'],16,,,,,,,,,,,,,,Barcelona,217,00:28:16.804,Pass,,54.6,21.9,65.2,7.5,5,2,6,0,0.014291,0.014736,0.00044500000000000095,0.00044500000000000095,,,,,2024-09-07 18:28:19.312191,2011-04-30,2010/2011,Spain - La Liga,Real Sociedad vs Barcelona
,,,,,,,,,,,,,4.127319,,,,,,,,,,,,,,,dc6c8277-9049-4c09-b481-7ad9cd50abb3,3035,,"[65.2, 7.5]",69246,73,,,,,0.29234725,,Left Foot,,"[116.7, 23.0]",,Low Pass,,53.781967,Incomplete,,,,,,,,,2,From Throw In,Andreu Fontàs Prat,6890.0,Left Back,124,Barcelona,217,['190b5e1c-6752-4b3d-9a21-96d5efc1058b'],18,,,,,,,,,,,,,,Barcelona,217,00:28:18.820,Pass,,65.2,7.5,116.7,23.0,6,0,11,2,0.014736,0.064426,0.04969,0.04969,,,,,2024-09-07 18:28:19.312191,2011-04-30,2010/2011,Spain - La Liga,Real Sociedad vs Barcelona
,,,,,,,,,,,,,3.3462,,,,,,,,,,,,,,,faa3479e-ef86-4836-8a7d-4e5fbf99e08a,3038,,"[27.1, 58.8]",69246,73,,,,,-0.05956883,,Right Foot,,"[99.2, 54.5]",,High Pass,,72.22811,Unknown,,Diego Ifrán Sala,,,,,,,2,From Throw In,Claudio Andrés Bravo Muñoz,4691.0,Goalkeeper,124,Barcelona,217,['2febe0c3-d954-4e78-8311-d6c340f3d9d9'],37,,,,,,,,,,,,,,Real Sociedad,210,00:28:37.657,Pass,,27.1,58.8,99.2,54.5,2,5,9,5,0.010013,0.028552,0.018539,0.018539,,,,,2024-09-07 18:28:19.312191,2011-04-30,2010/2011,Spain - La Liga,Real Sociedad vs Barcelona
,,,,,,,,,,,,,1.812802,,,,,,,,,,,,,,,0ffa21b3-0270-4858-a362-45b796d6666b,3041,,"[22.9, 27.3]",69246,73,,,,,1.6075691,,Left Foot,,"[21.8, 57.2]",,Ground Pass,,29.920227,,,Javier Alejandro Mascherano,,,,,,Free Kick,2,From Free Kick,Gabriel Alejandro Milito,25919.0,Left Center Back,125,Barcelona,217,['014aeca8-23e1-40dc-9736-ccef282771ba'],52,,,,,,,,,,,,,,Barcelona,217,00:28:52.274,Pass,,22.9,27.3,21.8,57.2,2,2,1,5,0.010013,0.009777,-0.0002360000000000001,0.0,,,,,2024-09-07 18:28:19.312191,2011-04-30,2010/2011,Spain - La Liga,Real Sociedad vs Barcelona
,,,,,,,,,,,,,1.4675,,,,,,,,,,,,,,,4d6cc63c-d0ea-414b-97f9-1fb1945ef86d,3044,,"[22.0, 57.2]",69246,73,,,,,-0.3277385,,Right Foot,,"[37.0, 52.1]",,Ground Pass,,15.843295,,,Xavier Hernández Creus,,,,,,,2,From Free Kick,Javier Alejandro Mascherano,5506.0,Right Center Back,125,Barcelona,217,['ea63e215-6a11-4774-8100-8fd23bb01a98'],54,,,,,,,,,,,,,,Barcelona,217,00:28:54.186,Pass,,22.0,57.2,37.0,52.1,1,5,3,5,0.009777,0.011105,0.001328000000000001,0.001328000000000001,,,,,2024-09-07 18:28:19.312191,2011-04-30,2010/2011,Spain - La Liga,Real Sociedad vs Barcelona
,,,,,,,,,,,,,0.638146,,,,,,,,,,,,,,,fe8e2e92-5511-4052-9833-1b0d0dc5754d,3047,,"[43.1, 55.5]",69246,74,,,,,-1.6274731,,Right Foot,,"[41.5, 27.3]",,Ground Pass,,28.245354,,,Seydou Kéita,,,,,,,2,From Free Kick,Xavier Hernández Creus,20131.0,Right Center Midfield,125,Barcelona,217,['5adbd610-5b9a-4c88-802a-c08e998a8d5f'],1,,,,,,,,,,,,,,Barcelona,217,00:29:01.118,Pass,,43.1,55.5,41.5,27.3,4,5,3,2,0.012692,0.011105,-0.0015869999999999999,0.0,,,,,2024-09-07 18:28:19.312191,2011-04-30,2010/2011,Spain - La Liga,Real Sociedad vs Barcelona
,,,,,,,,,,,,,1.119552,,,,,,,,,,,,,,,dcc04123-44b8-4050-8ea8-a5e38dde97ab,3050,,"[49.0, 24.6]",69246,74,,,,,-1.4249467,,Right Foot,,"[51.6, 6.9]",,Ground Pass,,17.889942,,,Andreu Fontàs Prat,,,,,,,2,From Free Kick,Seydou Kéita,20169.0,Center Defensive Midfield,125,Barcelona,217,['a9d67c15-bd37-4d3a-9d89-c10a9fdc6df2'],4,,,,,,,,,,,,,,Barcelona,217,00:29:04.494,Pass,,49.0,24.6,51.6,6.9,4,2,4,0,0.012692,0.011263,-0.0014289999999999997,0.0,,,,,2024-09-07 18:28:19.312191,2011-04-30,2010/2011,Spain - La Liga,Real Sociedad vs Barcelona
,,,,,,,,,,,,,2.272138,,,,,,,,,,,,,,,6a2584f6-9510-4afa-8f7a-60733f0c51ee,3053,,"[51.6, 6.9]",69246,74,,,,,2.2705152,,Left Foot,,"[36.7, 24.6]",,Ground Pass,,23.13655,,,Gabriel Alejandro Milito,,,,,,,2,From Free Kick,Andreu Fontàs Prat,6890.0,Left Back,125,Barcelona,217,['c26b43f3-efad-41d3-b610-69dfaf3479ee'],5,,,,,,,,,,,,,,Barcelona,217,00:29:05.646,Pass,,51.6,6.9,36.7,24.6,5,0,3,2,0.012483,0.011105,-0.001377999999999999,0.0,,,,,2024-09-07 18:28:19.312191,2011-04-30,2010/2011,Spain - La Liga,Real Sociedad vs Barcelona
,,,,,,,,,,,,,1.737907,,,,,,,,,,,,,,,6462cc2c-5ccf-4575-addb-f81e4dbbaa0e,3056,,"[36.7, 24.6]",69246,74,,,,,1.5589204,,Left Foot,,"[37.2, 66.7]",,Ground Pass,,42.10297,,,Javier Alejandro Mascherano,,,True,,,,2,From Free Kick,Gabriel Alejandro Milito,25919.0,Left Center Back,125,Barcelona,217,['e15bc032-e2e7-4d8d-8713-abcbf0dffe61'],9,,,,,,,,,,,,,,Barcelona,217,00:29:09.064,Pass,,36.7,24.6,37.2,66.7,3,2,3,6,0.011105,0.010595,-0.00051,0.0,,,,,2024-09-07 18:28:19.312191,2011-04-30,2010/2011,Spain - La Liga,Real Sociedad vs Barcelona
,,,,,,,,,,,,,1.3885,,,,,,,,,,,,,,,df384722-897b-48a0-9cce-7b97cd26091f,3059,,"[38.9, 72.1]",69246,74,,,,,0.35378006,,Right Foot,,"[56.5, 78.6]",,Ground Pass,,18.76193,,,Daniel Alves da Silva,,,,,,,2,From Free Kick,Javier Alejandro Mascherano,5506.0,Right Center Back,125,Barcelona,217,['e345195f-b6f4-4f7e-b05f-5b2c188a326d'],12,,,,,,,,,,,,,,Barcelona,217,00:29:12.709,Pass,,38.9,72.1,56.5,78.6,3,7,5,7,0.009777,0.012483,0.002706,0.002706,,,,,2024-09-07 18:28:19.312191,2011-04-30,2010/2011,Spain - La Liga,Real Sociedad vs Barcelona
,,,,,,,,,,,,,1.388868,,,,,,,,,,,,,,,8d4d7348-1bed-49d0-b811-08de70deb594,3063,,"[56.5, 79.4]",69246,74,,,,,-0.046840712,,Right Foot,,"[69.3, 78.8]",,Ground Pass,,12.8140545,,,Jeffren Isaac Suárez Bermúdez,,,,,,,2,From Free Kick,Daniel Alves da Silva,4324.0,Right Back,125,Barcelona,217,"['19a2875b-0274-4bd3-980b-37497ae11425', '558b2d40-a53e-4023-8478-faba6d95ce87']",15,,,,,,,,,,,,,,Barcelona,217,00:29:15.035,Pass,True,56.5,79.4,69.3,78.8,5,7,6,7,0.012483,0.014736,0.0022530000000000015,0.0022530000000000015,,,,,2024-09-07 18:28:19.312191,2011-04-30,2010/2011,Spain - La Liga,Real Sociedad vs Barcelona
,,,,,,,,,,,,,1.464547,,,,,,,,,,,,,,,1f5693ea-17c5-41a4-9df3-43130f897d05,3066,,"[58.4, 79.4]",69246,74,,,,,-2.7847688,,Left Foot,,"[41.5, 73.1]",,Ground Pass,,18.036076,,,Javier Alejandro Mascherano,,,,,,,2,From Free Kick,Jeffren Isaac Suárez Bermúdez,26624.0,Right Wing,125,Barcelona,217,['db4b3c2b-3b6e-4604-b77f-22c158879fa6'],17,,,,,,,,,,,,,,Barcelona,217,00:29:17.297,Pass,,58.4,79.4,41.5,73.1,5,7,3,7,0.012483,0.009777,-0.002706,0.0,,,,,2024-09-07 18:28:19.312191,2011-04-30,2010/2011,Spain - La Liga,Real Sociedad vs Barcelona
