bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,team_id,timestamp,type,under_pressure,x,y,end_x,end_y,x1_bin,y1_bin,x2_bin,y2_bin,start_zone_value,end_zone_value,pass_xT,progressive_xT,expected_assists_xA,shot_statsbomb_xg_cum,xg_chain,xg_buildup,Extraction Date,match_date,season,competition,h2h
,,,,,,,,,,,,,,,,0.7995,,,,,,,,,,,edc74c54-53f8-4fc8-8450-53dde92d0db7,3028,,"[118.1, 17.1]",69260,76,,,,,2.3918936,6cd02027-255f-4a36-8527-372d4fb5f0eb,Left Foot,True,True,,"[103.6, 30.6]",,Ground Pass,,19.811613,,,,David Villa Sánchez,True,,,,,,2,Regular Play,Maxwell Scherrer Cabelino Andrade,26613.0,Left Back,189,Barcelona,217,['9b6f04ec-d0b9-4154-8054-f06f906c7efb'],45,,,,,,,,,,,,,,,,Barcelona,217,00:31:45.119,Pass,,118.1,17.1,103.6,30.6,11,1,10,2,0.046477,0.054911,0.008434000000000004,0.008434000000000004,0.057365276,,0.057365276,,2024-09-07 18:28:17.634864,2010-10-16,2010/2011,Spain - La Liga,Barcelona vs Valencia
,,,,,,,,,,,,,,,,0.991352,,,,,,,,,,,6cd02027-255f-4a36-8527-372d4fb5f0eb,3030,,"[105.3, 28.7]",69260,76,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,David Villa Sánchez,12737.0,Center Forward,189,Barcelona,217,['dd27446c-6d53-42d0-bd00-2eb64a9d9a0c'],45,,Left Foot,,"[108.1, 29.3]",True,"[{'location': [103.8, 38.0], 'player': {'id': 20128, 'name': 'David Albelda Aliqués'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [105.0, 41.2], 'player': {'id': 6350, 'name': 'Manuel Henrique Tavares Fernandes'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [111.4, 45.2], 'player': {'id': 5211, 'name': 'Jordi Alba Ramos'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [116.5, 36.6], 'player': {'id': 25917, 'name': 'César Sánchez Domínguez'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [113.1, 35.8], 'player': {'id': 26012, 'name': 'David Navarro Pedrós'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [113.5, 42.1], 'player': {'id': 19454, 'name': 'Ricardo Miguel Moreira da Costa'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [113.3, 39.0], 'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [107.2, 51.5], 'player': {'id': 4324, 'name': 'Daniel Alves da Silva'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}, {'location': [94.6, 37.2], 'player': {'id': 5216, 'name': 'Andrés Iniesta Luján'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [108.4, 29.5], 'player': {'id': 3095, 'name': 'Bruno Saltor Grau'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [116.3, 17.9], 'player': {'id': 26613, 'name': 'Maxwell Scherrer Cabelino Andrade'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}, {'location': [118.0, 19.3], 'player': {'id': 4711, 'name': 'Pablo Hernández Domínguez'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}]",edc74c54-53f8-4fc8-8450-53dde92d0db7,,Wayward,0.057365276,Normal,Open Play,,,,Barcelona,217,00:31:45.999,Shot,,105.3,28.7,,,10,2,0,0,0.054911,0.006383,-0.048528,0.0,,0.057365276,0.057365276,,2024-09-07 18:28:17.634864,2010-10-16,2010/2011,Spain - La Liga,Barcelona vs Valencia
,,,,,,,,,,,,,,,,1.391498,,,,,,,,,,,34c1e13c-0b1b-469e-b9c8-e93d2dcaea79,3041,,"[67.5, 3.3]",69260,76,,,,,2.150095,,Left Foot,,,,"[51.8, 27.3]",,Ground Pass,,28.679087,,,,Carles Puyol i Saforcada,,,,,,,2,Regular Play,Seydou Kéita,20169.0,Left Center Midfield,189,Barcelona,217,['e9363d3d-921e-49b8-ab6d-b8c1443032f4'],56,,,,,,,,,,,,,,,,Barcelona,217,00:31:56.997,Pass,,67.5,3.3,51.8,27.3,6,0,4,2,0.014736,0.012692,-0.0020440000000000007,0.0,,,,,2024-09-07 18:28:17.634864,2010-10-16,2010/2011,Spain - La Liga,Barcelona vs Valencia
,,,,,,,,,,,,,,,,1.138138,,,,,,,,,,,60adc62a-a8c3-4097-aec9-3c5b17180cd3,3044,,"[53.3, 28.5]",69260,76,,,,,0.5969111,,Right Foot,,,,"[63.6, 35.5]",,Ground Pass,,12.453513,,,,Xavier Hernández Creus,,,,,,,2,Regular Play,Carles Puyol i Saforcada,20125.0,Left Center Back,189,Barcelona,217,['72d1621f-fa7b-4b2d-9fe2-a625f621ffa9'],59,,,,,,,,,,,,,,,,Barcelona,217,00:31:59.508,Pass,,53.3,28.5,63.6,35.5,5,2,6,3,0.014291,0.016895,0.0026040000000000004,0.0026040000000000004,,,,,2024-09-07 18:28:17.634864,2010-10-16,2010/2011,Spain - La Liga,Barcelona vs Valencia
,,,,,,,,,,,,,,,,1.229138,,,,,,,,,,,94f863a7-f4a4-4f9d-82bd-6826c885b1a3,3047,,"[64.6, 28.4]",69260,77,,,,,-1.9864582,,Right Foot,,,,"[58.2, 13.9]",,Ground Pass,,15.849606,,,,Sergio Busquets i Burgos,,,,,,,2,Regular Play,Xavier Hernández Creus,20131.0,Right Center Midfield,189,Barcelona,217,['a1c74447-7ebe-4a57-ac3e-cec726bf19e8'],3,,,,,,,,,,,,,,,,Barcelona,217,00:32:03.356,Pass,,64.6,28.4,58.2,13.9,6,2,5,1,0.016856,0.013845,-0.003011,0.0,,,,,2024-09-07 18:28:17.634864,2010-10-16,2010/2011,Spain - La Liga,Barcelona vs Valencia
,,,,,,,,,,,,,,,,1.164966,,,,,,,,,,,f8ca26aa-bf3d-4505-b8a5-9f8d7a76653e,3054,,"[55.6, 14.5]",69260,77,,,,,2.5140536,,Right Foot,,,,"[41.4, 24.8]",,Ground Pass,,17.542234,,,,Carles Puyol i Saforcada,,,,,,,2,Regular Play,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,189,Barcelona,217,['44ccba17-a811-400a-a10a-06e73730d7ef'],6,,,,,,,,,,,,,,,,Barcelona,217,00:32:06.336,Pass,,55.6,14.5,41.4,24.8,5,1,3,2,0.013845,0.011105,-0.0027399999999999994,0.0,,,,,2024-09-07 18:28:17.634864,2010-10-16,2010/2011,Spain - La Liga,Barcelona vs Valencia
,,,,,,,,,,,,,,,,1.144427,,,,,,,,,,,62da331c-e9ff-463f-b11b-dda063572f35,3057,,"[41.1, 24.8]",69260,77,,,,,1.439969,,Right Foot,,,,"[45.1, 55.2]",,Ground Pass,,30.66203,,,,Gerard Piqué Bernabéu,,,,,,,2,Regular Play,Carles Puyol i Saforcada,20125.0,Left Center Back,189,Barcelona,217,['0c6d29db-61e0-4555-8e5d-76e8e8cb087c'],8,,,,,,,,,,,,,,,,Barcelona,217,00:32:08.399,Pass,,41.1,24.8,45.1,55.2,3,2,4,5,0.011105,0.012692,0.0015869999999999999,0.0015869999999999999,,,,,2024-09-07 18:28:17.634864,2010-10-16,2010/2011,Spain - La Liga,Barcelona vs Valencia
,,,,,,,,,,,,,,,,1.538046,,,,,,,,,,,a76e801d-b8a5-4bdd-b796-6b42c8d7bdf4,3060,,"[45.6, 58.8]",69260,77,,,,,0.7684506,,Right Foot,,,,"[63.6, 76.2]",,Ground Pass,,25.035175,,,,Daniel Alves da Silva,,,,,,,2,Regular Play,Gerard Piqué Bernabéu,5213.0,Right Center Back,189,Barcelona,217,['9a1b9daa-7e7f-485a-9497-d2ee48454dbe'],11,,,,,,,,,,,,,,,,Barcelona,217,00:32:11.211,Pass,,45.6,58.8,63.6,76.2,4,5,6,7,0.012692,0.014736,0.0020440000000000007,0.0020440000000000007,,,,,2024-09-07 18:28:17.634864,2010-10-16,2010/2011,Spain - La Liga,Barcelona vs Valencia
,,,,,,,,,,,,,,,,1.78048,,,,,,,,,,,eb70779b-fbb7-4bd4-b9bf-4947a8ee2bc4,3068,,"[34.8, 7.4]",69260,77,,,,,-0.080730304,,Left Foot,,,,"[65.7, 4.9]",,Ground Pass,,31.000967,,,,Jérémy Mathieu,,,,,,,2,Regular Play,Jordi Alba Ramos,5211.0,Left Back,190,Valencia,207,['682321b9-0e52-4cfd-a897-38c79300adda'],20,,,,,,,,,,,,,,,,Valencia,207,00:32:20.564,Pass,,34.8,7.4,65.7,4.9,3,0,6,0,0.009777,0.014736,0.004959000000000002,0.004959000000000002,,,,,2024-09-07 18:28:17.634864,2010-10-16,2010/2011,Spain - La Liga,Barcelona vs Valencia
,,,,,,,,,,,,,,,,0.1152,,,,,,,,,,,04316bd0-eb92-4ab7-b794-0ae3f4c0fc3c,3071,,"[73.1, 4.8]",69260,77,,,,,0.2914568,,Left Foot,,,,"[77.1, 6.0]",,Ground Pass,,4.1761227,,Incomplete,,Aritz Aduriz Zubeldia,,,,,,,2,Regular Play,Jérémy Mathieu,10609.0,Left Wing,190,Valencia,207,"['b262d368-c781-49b7-88b8-7d5e40c87cf0', 'dc300301-bd95-4c04-8173-db40604dd2e3']",23,,,,,,,,,,,,,,,,Valencia,207,00:32:23.351,Pass,,73.1,4.8,77.1,6.0,7,0,7,0,0.017451,0.017451,0.0,0.0,,,,,2024-09-07 18:28:17.634864,2010-10-16,2010/2011,Spain - La Liga,Barcelona vs Valencia
