50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,team_id,timestamp,type,under_pressure,x,y,end_x,end_y,x1_bin,y1_bin,x2_bin,y2_bin,start_zone_value,end_zone_value,pass_xT,progressive_xT,expected_assists_xA,shot_statsbomb_xg_cum,xg_chain,xg_buildup,Extraction Date,match_date,season,competition,h2h
,,,,,,,,,,,,,,,,,1.6885,,,,,,,,,,,,,0647acb0-a2fb-4a06-80d6-d45e412444cb,2172,,"[50.8, 48.3]",69280,45,,,,,1.5570985,,Right Foot,,,,"[51.2, 77.5]",,Ground Pass,,29.20274,,,Adriano Correia Claro,,,,,,,2,From Kick Off,Andrés Iniesta Luján,5216.0,Right Center Midfield,82,Barcelona,217,['3203c3fe-4a7f-4071-83e0-0ce4cac5dd46'],4,,,,,,,,,,,,,Barcelona,217,00:00:04.131,Pass,,50.8,48.3,51.2,77.5,4,4,4,7,0.012626,0.011263,-0.0013629999999999996,0.0,,,,,2024-09-07 18:28:25.959180,2011-01-08,2010/2011,Spain - La Liga,RC Deportivo La Coruña vs Barcelona
,,,,,,,,,,,,,,,,,1.580984,,,,,,,,,,,,,6eeea709-286e-4ba1-a9c2-e7bbc6d399dd,2175,,"[55.4, 76.1]",69280,45,,,,,-2.4375596,,Right Foot,,,,"[42.8, 65.4]",,Ground Pass,,16.530275,,,Gerard Piqué Bernabéu,,,,,,,2,From Kick Off,Adriano Correia Claro,22102.0,Right Back,82,Barcelona,217,['e2bc1b8e-15d1-4320-b8ce-f3d228c50f17'],7,,,,,,,,,,,,,Barcelona,217,00:00:07.159,Pass,,55.4,76.1,42.8,65.4,5,7,4,6,0.012483,0.012147,-0.0003359999999999995,0.0,,,,,2024-09-07 18:28:25.959180,2011-01-08,2010/2011,Spain - La Liga,RC Deportivo La Coruña vs Barcelona
,,,,,,,,,,,,,,,,,1.946599,,,,,,,,,,,,,6764b231-8cb5-4cf1-ae70-0f5c054f371b,2178,,"[43.0, 65.2]",69280,45,,,,,0.8703947,,Left Foot,,,,"[53.2, 77.3]",,Ground Pass,,15.825612,,,Adriano Correia Claro,,,,,,,2,From Kick Off,Gerard Piqué Bernabéu,5213.0,Right Center Back,82,Barcelona,217,['8f3f9d11-9d36-4fec-b608-8786ecce9b47'],10,,,,,,,,,,,,,Barcelona,217,00:00:10.094,Pass,,43.0,65.2,53.2,77.3,4,6,5,7,0.012147,0.012483,0.0003359999999999995,0.0003359999999999995,,,,,2024-09-07 18:28:25.959180,2011-01-08,2010/2011,Spain - La Liga,RC Deportivo La Coruña vs Barcelona
,,,,,,,,,,,,,,,,,2.632732,,,,,,,,,,,,,f2d9278a-fd9d-4e9b-9a77-b2b5f62944f7,2181,,"[55.8, 76.5]",69280,45,,,,,-2.6806333,,Right Foot,,,,"[40.9, 69.1]",,Ground Pass,,16.636406,,,Gerard Piqué Bernabéu,,,,,,,2,From Kick Off,Adriano Correia Claro,22102.0,Right Back,82,Barcelona,217,['a4bfdde3-a6b8-4060-b906-9b0c4c2c7c36'],12,,,,,,,,,,,,,Barcelona,217,00:00:12.709,Pass,,55.8,76.5,40.9,69.1,5,7,3,6,0.012483,0.010595,-0.001887999999999999,0.0,,,,,2024-09-07 18:28:25.959180,2011-01-08,2010/2011,Spain - La Liga,RC Deportivo La Coruña vs Barcelona
,,,,,,,,,,,,,,,,,1.437673,,,,,,,,,,,,,209b57cf-2b31-4ab6-8e12-1cde0fa478c8,2184,,"[49.7, 68.3]",69280,45,,,,,0.52051693,,Right Foot,,,,"[65.4, 77.3]",,Ground Pass,,18.096685,,,Adriano Correia Claro,,,,,,,2,From Kick Off,Gerard Piqué Bernabéu,5213.0,Right Center Back,82,Barcelona,217,['58a3521c-599b-4666-ae2b-7c047394fd64'],20,,,,,,,,,,,,,Barcelona,217,00:00:20.041,Pass,,49.7,68.3,65.4,77.3,4,6,6,7,0.012147,0.014736,0.002589000000000001,0.002589000000000001,,,,,2024-09-07 18:28:25.959180,2011-01-08,2010/2011,Spain - La Liga,RC Deportivo La Coruña vs Barcelona
,,,,,,,,,,,,,,,,,1.094152,,,,,,,,,,,,,88758856-7160-4fbc-aad1-4aacf4975497,2188,,"[65.4, 77.9]",69280,45,,,,,-1.7488892,,Right Foot,,,,"[63.6, 67.9]",,Ground Pass,,10.160708,,,Lionel Andrés Messi Cuccittini,,,,,,,2,From Kick Off,Adriano Correia Claro,22102.0,Right Back,82,Barcelona,217,"['d0c97c21-dfe0-41ba-8917-75c80432d70e', 'efbce605-b4c1-4751-a798-9eff7dc6e9b8']",21,,,,,,,,,,,,,Barcelona,217,00:00:21.968,Pass,True,65.4,77.9,63.6,67.9,6,7,6,6,0.014736,0.016118,0.0013819999999999995,0.0013819999999999995,,,,,2024-09-07 18:28:25.959180,2011-01-08,2010/2011,Spain - La Liga,RC Deportivo La Coruña vs Barcelona
,,,,,,,,,,,,,,,,,1.363609,,,,,,,,,,,,,be445a54-379c-4306-a8e4-faf6488edf11,2192,,"[64.4, 69.5]",69280,45,,,,,-3.0554752,,Left Foot,,,,"[50.5, 68.3]",,Ground Pass,,13.951702,,,Gerard Piqué Bernabéu,,,,,,,2,From Kick Off,Lionel Andrés Messi Cuccittini,5503.0,Center Forward,82,Barcelona,217,['c002fa07-759b-4314-8c18-b433d12e6c85'],23,,,,,,,,,,,,,Barcelona,217,00:00:23.540,Pass,,64.4,69.5,50.5,68.3,6,6,4,6,0.016118,0.012147,-0.003971000000000001,0.0,,,,,2024-09-07 18:28:25.959180,2011-01-08,2010/2011,Spain - La Liga,RC Deportivo La Coruña vs Barcelona
,,,,,,,,,,,,,,,,,0.99068,,,,,,,,,,,,,e1bff168-e57c-4e33-a7f6-c6f6529d5ee5,2195,,"[50.5, 68.3]",69280,45,,,,,-1.8288035,,Right Foot,,,,"[44.8, 46.7]",,Ground Pass,,22.339428,,,Javier Alejandro Mascherano,,,,,,,2,From Kick Off,Gerard Piqué Bernabéu,5213.0,Right Center Back,82,Barcelona,217,['abe76bc8-fd85-42e6-9583-3c7e96bb8711'],25,,,,,,,,,,,,,Barcelona,217,00:00:25.902,Pass,,50.5,68.3,44.8,46.7,4,6,4,4,0.012147,0.012626,0.00047900000000000026,0.00047900000000000026,,,,,2024-09-07 18:28:25.959180,2011-01-08,2010/2011,Spain - La Liga,RC Deportivo La Coruña vs Barcelona
,,,,,,,,,,,,,,,,,2.072444,,,,,,,,,,,,,46872294-f7cc-473b-9fc9-db6d2ad3c8e2,2198,,"[53.2, 49.9]",69280,45,,,,,-1.2147455,,Right Foot,,,,"[66.7, 13.6]",,Ground Pass,,38.729057,,,Eric-Sylvain Bilal Abidal,,,,,,,2,From Kick Off,Javier Alejandro Mascherano,5506.0,Center Defensive Midfield,82,Barcelona,217,['abc557a6-1fcf-4ef4-ad49-8361b103de47'],29,,,,,,,,,,,,,Barcelona,217,00:00:29.742,Pass,,53.2,49.9,66.7,13.6,5,4,6,1,0.014846,0.016118,0.0012720000000000006,0.0012720000000000006,,,,,2024-09-07 18:28:25.959180,2011-01-08,2010/2011,Spain - La Liga,RC Deportivo La Coruña vs Barcelona
,,,,,,,,,,,,,,,,,1.318855,,,,,,,,,,,,,d7865aa0-16da-45b5-b2ea-470da004de93,2201,,"[70.8, 14.4]",69280,45,,,,,0.18534794,,Left Foot,,,,"[85.2, 17.1]",,Ground Pass,,14.650939,,,Seydou Kéita,,,,,,,2,From Kick Off,Eric-Sylvain Bilal Abidal,20177.0,Left Back,82,Barcelona,217,['89b2fa59-eb0b-478b-8634-0a1bf110c6fb'],34,,,,,,,,,,,,,Barcelona,217,00:00:34.458,Pass,,70.8,14.4,85.2,17.1,6,1,8,1,0.016118,0.024015,0.007897000000000001,0.007897000000000001,,,,,2024-09-07 18:28:25.959180,2011-01-08,2010/2011,Spain - La Liga,RC Deportivo La Coruña vs Barcelona
