bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_penalty,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_off_target,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_recipient,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_saved_off_target,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,team_id,timestamp,type,under_pressure,x,y,end_x,end_y,x1_bin,y1_bin,x2_bin,y2_bin,start_zone_value,end_zone_value,pass_xT,progressive_xT,expected_assists_xA,shot_statsbomb_xg_cum,xg_chain,xg_buildup,Extraction Date,match_date,season,competition,h2h
,,,,,,,,,,,,,,,,0.933182,,,,,,,,,,,,,be4d1627-353e-4866-b7ac-813b5668cc7d,3377,,"[62.5, 5.2]",69295,69,,,,,0.962107,,Left Foot,,"[71.7, 18.4]",,Ground Pass,,16.089748,,,David Villa Sánchez,,,,,,2,Regular Play,Maxwell Scherrer Cabelino Andrade,26613.0,Left Back,133,Barcelona,217,['2a84b0a7-5ffc-48cb-8fd9-1cf237a331be'],18,,,,,,,,,,,,,,,,,Barcelona,217,00:24:18.399,Pass,,62.5,5.2,71.7,18.4,6,0,7,1,0.014736,0.018703,0.003967,0.003967,,,,,2024-09-07 18:28:13.096886,2011-01-22,2010/2011,Spain - La Liga,Barcelona vs Racing Santander
,,,,,,,,,,,,,,,,1.2894,,,,,,,,,,,,,ffc4ca2b-3aac-44eb-b9b0-8a44f76747ac,3383,,"[39.0, 38.2]",69295,69,,,,,0.337735,,Right Foot,,"[55.8, 44.1]",,Ground Pass,,17.805899,,,Markus Rosenberg,,,,,,2,Regular Play,Marc Torrejón Moya,26163.0,Right Center Back,133,Barcelona,217,['a5f99cfe-cf88-4423-9c32-dc8689246e61'],23,,,,,,,,,,,,,,,,,Racing Santander,1217,00:24:23.852,Pass,,39.0,38.2,55.8,44.1,3,3,5,4,0.011324,0.014846,0.003521999999999999,0.003521999999999999,,,,,2024-09-07 18:28:13.096886,2011-01-22,2010/2011,Spain - La Liga,Barcelona vs Racing Santander
,,,,,,,,,,,,,,,,0.831463,,,,,,,,,,,,,bfbf6e3d-62ed-4651-b672-c9e43a17e7bb,3390,,"[65.0, 42.6]",69295,69,,,,,-0.5676664,,Left Foot,,"[71.9, 38.2]",,Ground Pass,,8.18352,,,Lionel Andrés Messi Cuccittini,,,,,,2,Regular Play,Seydou Kéita,20169.0,Left Center Midfield,133,Barcelona,217,['b0fecf48-9e9a-4b23-8948-6a829f539b44'],27,,,,,,,,,,,,,,,,,Barcelona,217,00:24:27.258,Pass,,65.0,42.6,71.9,38.2,6,4,7,3,0.016895,0.019971,0.003075999999999999,0.003075999999999999,,,,,2024-09-07 18:28:13.096886,2011-01-22,2010/2011,Spain - La Liga,Barcelona vs Racing Santander
,,,,,,,,,,,,,,,,3.5012,,,,,,,,,,,,,280ea99f-dadb-492b-8285-95168fd3cbff,3394,,"[70.0, 42.6]",69295,69,,True,,,-2.5148497,,Left Foot,,"[64.2, 38.4]",,Ground Pass,,7.1610055,,,Sergio Busquets i Burgos,,,,,,2,Regular Play,Lionel Andrés Messi Cuccittini,5503.0,Center Forward,133,Barcelona,217,['ae674ea3-61b2-4316-9bbb-4ba6d2ed5573'],32,,,,,,,,,,,,,,,,,Barcelona,217,00:24:32.767,Pass,,70.0,42.6,64.2,38.4,6,4,6,3,0.016895,0.016895,0.0,0.0,,,,,2024-09-07 18:28:13.096886,2011-01-22,2010/2011,Spain - La Liga,Barcelona vs Racing Santander
,,,,,,,,,,,,,,,,1.087487,,,,,,,,,,,,,472ef7b7-bc81-4fed-8fe7-c4e9fd22f76b,3396,,"[64.2, 38.4]",69295,69,,,,,-0.28728145,,Right Foot,,"[68.6, 37.1]",,Ground Pass,,4.588028,,,Lionel Andrés Messi Cuccittini,,,,,,2,Regular Play,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,133,Barcelona,217,['75ade704-583b-4a11-a866-a76ad25b2479'],38,,,,,,,,,,,,,,,,,Barcelona,217,00:24:38.244,Pass,,64.2,38.4,68.6,37.1,6,3,6,3,0.016895,0.016895,0.0,0.0,,,,,2024-09-07 18:28:13.096886,2011-01-22,2010/2011,Spain - La Liga,Barcelona vs Racing Santander
,,,,,,,,,,,,,,,,3.3147,,,,,,,,,,,,,bf0851d3-38f1-4a43-9417-5bcce6903a72,3398,,"[68.6, 34.0]",69295,69,,True,,,-1.9667509,,Left Foot,,"[63.5, 21.8]",,Ground Pass,,13.223085,,,Maxwell Scherrer Cabelino Andrade,,,,,,2,Regular Play,Lionel Andrés Messi Cuccittini,5503.0,Center Forward,133,Barcelona,217,['1c54ab4f-0de8-4e71-b35b-0d0f5dd8f42b'],41,,,,,,,,,,,,,,,,,Barcelona,217,00:24:41.618,Pass,,68.6,34.0,63.5,21.8,6,3,6,2,0.016895,0.016856,-3.900000000000084e-05,0.0,,,,,2024-09-07 18:28:13.096886,2011-01-22,2010/2011,Spain - La Liga,Barcelona vs Racing Santander
,,,,,,,,,,,,,,,,2.075033,,,,,,,,,,,,,703929b5-580f-437c-bb19-9e26b53f9db5,3400,,"[60.0, 30.6]",69295,69,,True,,,2.8548472,,Left Foot,,"[52.2, 32.9]",,Ground Pass,,8.132035,,,Eric-Sylvain Bilal Abidal,,,,,,2,Regular Play,Maxwell Scherrer Cabelino Andrade,26613.0,Left Back,133,Barcelona,217,['243b415a-a53b-461f-99c6-f18db74ce9aa'],46,,,,,,,,,,,,,,,,,Barcelona,217,00:24:46.812,Pass,,60.0,30.6,52.2,32.9,5,3,5,3,0.014846,0.014846,0.0,0.0,,,,,2024-09-07 18:28:13.096886,2011-01-22,2010/2011,Spain - La Liga,Barcelona vs Racing Santander
,,,,,,,,,,,,,,,,2.00024,,,,,,,,,,,,,924bef69-e99a-4176-a16a-fa1ea31d8dbb,3402,,"[50.7, 33.8]",69295,69,,,,,1.419951,,Left Foot,,"[54.5, 58.8]",,Ground Pass,,25.287151,,,Gerard Piqué Bernabéu,,,,,,2,Regular Play,Eric-Sylvain Bilal Abidal,20177.0,Left Center Back,133,Barcelona,217,['9d2c83d0-dc6a-49ed-b644-ed92e5aa4258'],48,,,,,,,,,,,,,,,,,Barcelona,217,00:24:48.967,Pass,,50.7,33.8,54.5,58.8,4,3,5,5,0.012626,0.014291,0.0016649999999999998,0.0016649999999999998,,,,,2024-09-07 18:28:13.096886,2011-01-22,2010/2011,Spain - La Liga,Barcelona vs Racing Santander
,,,,,,,,,,,,,,,,4.002231,,,,,,,,,,,,,a6904e46-15f5-4056-8e05-77655afdaee2,3405,,"[66.9, 53.7]",69295,69,,,,,-1.3269124,,Right Foot,,"[77.6, 10.7]",,Ground Pass,,44.311287,,,Maxwell Scherrer Cabelino Andrade,,True,,,,2,Regular Play,Gerard Piqué Bernabéu,5213.0,Right Center Back,133,Barcelona,217,['d81e8328-b615-4716-a74a-29cc3e2c7c1e'],55,,,,,,,,,,,,,,,,,Barcelona,217,00:24:55.206,Pass,,66.9,53.7,77.6,10.7,6,5,7,1,0.016856,0.018703,0.0018470000000000014,0.0018470000000000014,,,,,2024-09-07 18:28:13.096886,2011-01-22,2010/2011,Spain - La Liga,Barcelona vs Racing Santander
,,,,,,,,,,,,,,,,0.975308,,,,,,,,,,,,,5064092b-04f7-4611-ab3d-c10ccf631657,3408,,"[77.6, 10.7]",69295,69,,,,,2.5161076,,Left Foot,,"[68.6, 17.2]",,Ground Pass,,11.101802,,,Seydou Kéita,,,,,,2,Regular Play,Maxwell Scherrer Cabelino Andrade,26613.0,Left Back,133,Barcelona,217,['8d357fd4-c7bf-4754-9adb-5b61f18e8581'],59,,,,,,,,,,,,,,,,,Barcelona,217,00:24:59.409,Pass,,77.6,10.7,68.6,17.2,7,1,6,1,0.018703,0.016118,-0.0025850000000000005,0.0,,,,,2024-09-07 18:28:13.096886,2011-01-22,2010/2011,Spain - La Liga,Barcelona vs Racing Santander
,,,,,,,,,,,,,,,,0.878905,,,,,,,,,,,,,c871d1fd-bb67-4522-a767-e6d9b8696cde,3411,,"[68.6, 17.2]",69295,70,,,,,1.4793093,,Left Foot,,"[69.6, 28.1]",,Ground Pass,,10.945775,,,Sergio Busquets i Burgos,,,,,,2,Regular Play,Seydou Kéita,20169.0,Left Center Midfield,133,Barcelona,217,['2694c512-0a29-4405-8229-4df4e76438a1'],1,,,,,,,,,,,,,,,,,Barcelona,217,00:25:01.414,Pass,,68.6,17.2,69.6,28.1,6,1,6,2,0.016118,0.016856,0.0007379999999999991,0.0007379999999999991,,,,,2024-09-07 18:28:13.096886,2011-01-22,2010/2011,Spain - La Liga,Barcelona vs Racing Santander
