50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_redirect,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,team_id,timestamp,type,under_pressure,x,y,end_x,end_y,x1_bin,y1_bin,x2_bin,y2_bin,start_zone_value,end_zone_value,pass_xT,progressive_xT,expected_assists_xA,shot_statsbomb_xg_cum,xg_chain,xg_buildup,Extraction Date,match_date,season,competition,h2h
,,,,,,,,,,,,,,,,,,1.219516,,,,,,,,,,,,,,bdf6b85e-173f-49a1-b1c6-44df931cdf88,3613,,,"[94.4, 13.0]",69275,90,,,,2.339247,,Left Foot,,,,"[82.8, 25.0]",,Ground Pass,,16.690117,,,Javier Márquez Moreno,,,,,,,2,From Free Kick,David García De La Cruz,26138.0,Left Back,209,Espanyol,214,['2080ffa5-02c9-4a55-aae0-8c512dcb5708'],26,,,,,,,,,,,,,,,,Espanyol,214,00:45:26.606,Pass,,94.4,13.0,82.8,25.0,9,1,8,2,0.029533,0.024122,-0.005410999999999999,0.0,,,,,2024-09-07 18:28:12.282664,2010-12-18,2010/2011,Spain - La Liga,Espanyol vs Barcelona
,,,,,,,,,,,,,,,,,,1.8497,,,,,,,,,,,,,,c0676174-d946-4472-abe9-0113f9c80a99,3625,,,"[82.3, 32.3]",69275,90,,,,-0.80331737,cdbd1622-f9f0-4a59-8b7e-4fa7a3b24b4c,Right Foot,,,,"[96.0, 18.1]",,Ground Pass,,19.731447,,,Bojan Krkíc Pérez,True,,,,,,2,From Counter,David Villa Sánchez,12737.0,Left Wing,210,Barcelona,217,['a10e8ac7-7395-4770-a711-bbd7e2566a27'],36,,,,,,,,,,,,,,,,Barcelona,217,00:45:36.664,Pass,,82.3,32.3,96.0,18.1,8,3,9,1,0.023851,0.029533,0.0056819999999999996,0.0056819999999999996,0.1089403,,0.1089403,,2024-09-07 18:28:12.282664,2010-12-18,2010/2011,Spain - La Liga,Espanyol vs Barcelona
,,,,,,,,,,,,,,,,,,1.2903,,,,,,,,,,,,,,cdbd1622-f9f0-4a59-8b7e-4fa7a3b24b4c,3628,,,"[105.5, 29.7]",69275,90,,,,,,,,,,,,,,,,,,,,,,,,2,From Counter,Bojan Krkíc Pérez,4913.0,Right Wing,210,Barcelona,217,['6de46a84-2202-450a-b7e3-e9633f666dbb'],41,,Right Foot,"[115.9, 38.1, 0.2]",,"[{'location': [101.8, 31.3], 'player': {'id': 26729, 'name': 'Jesús Alberto Dátolo'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [107.8, 29.8], 'player': {'id': 6652, 'name': 'Jordi Amat Maas'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [106.6, 34.4], 'player': {'id': 24744, 'name': 'Juan Daniel Forlín'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [107.5, 37.7], 'player': {'id': 6752, 'name': 'Víctor Ruíz Torre'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [104.0, 45.2], 'player': {'id': 26138, 'name': 'David García De La Cruz'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [116.0, 37.6], 'player': {'id': 26103, 'name': 'Idriss Carlos Kameni'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [90.4, 38.3], 'player': {'id': 5213, 'name': 'Gerard Piqué Bernabéu'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': True}, {'location': [95.9, 37.8], 'player': {'id': 12737, 'name': 'David Villa Sánchez'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [107.2, 37.0], 'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}]",c0676174-d946-4472-abe9-0113f9c80a99,,Saved,,0.1089403,Normal,Open Play,,,,Barcelona,217,00:45:41.323,Shot,,105.5,29.7,,,10,2,0,0,0.054911,0.006383,-0.048528,0.0,,0.1089403,0.1089403,,2024-09-07 18:28:12.282664,2010-12-18,2010/2011,Spain - La Liga,Espanyol vs Barcelona
,,,,,,,,,,,,,,,,,,0.7204,,,,,,,,,,,,,,d6ab2b8d-85a9-43a3-85fd-e4e8e161f14e,3630,,,"[12.7, 40.1]",69275,90,,,,-0.978369,,Keeper Arm,,,,"[16.2, 34.9]",,Ground Pass,,6.2681737,,,David García De La Cruz,,,,,,,2,From Keeper,Idriss Carlos Kameni,26103.0,Goalkeeper,212,Espanyol,214,['fddd761b-4e01-4706-92b9-92139f94c4db'],44,,,,,,,,,,,,,,,,Espanyol,214,00:45:44.750,Pass,,12.7,40.1,16.2,34.9,1,4,1,3,0.010827,0.010827,0.0,0.0,,,,,2024-09-07 18:28:12.282664,2010-12-18,2010/2011,Spain - La Liga,Espanyol vs Barcelona
,,,,,,,,,,,,,,,,,,1.6505,,,,,,,,,,,,,,ff0d494e-8429-4646-a604-0571c30ffb0a,3633,,,"[34.9, 27.8]",69275,90,,,,-1.241172,,Left Foot,,,,"[42.7, 5.0]",,Ground Pass,,24.097303,,,José María Callejón Bueno,,,,,,,2,Regular Play,David García De La Cruz,26138.0,Left Back,213,Espanyol,214,['69950d26-9e38-4e68-b8f7-11df94e605c7'],48,,,,,,,,,,,,,,,,Espanyol,214,00:45:48.504,Pass,,34.9,27.8,42.7,5.0,3,2,4,0,0.011105,0.011263,0.00015800000000000015,0.00015800000000000015,,,,,2024-09-07 18:28:12.282664,2010-12-18,2010/2011,Spain - La Liga,Espanyol vs Barcelona
,,,,,,,,,,,,,,,,,,1.1044,,,,,,,,,,,,,,76ce8014-8e7a-45de-8c0d-2f36b560d12e,3637,,,"[42.7, 4.4]",69275,90,,,,-0.072599456,,Right Foot,,,,"[53.7, 3.6]",,Ground Pass,,11.029053,,,Joan Verdú Fernández,,,,,,,2,Regular Play,José María Callejón Bueno,7029.0,Right Wing,214,Espanyol,214,"['4e771022-bc90-4a43-950d-bc80b975f4bd', 'a72da969-1fd3-4636-8611-bb86f6c9873a']",50,,,,,,,,,,,,,,,,Espanyol,214,00:45:50.630,Pass,True,42.7,4.4,53.7,3.6,4,0,5,0,0.011263,0.012483,0.0012199999999999989,0.0012199999999999989,,,,,2024-09-07 18:28:12.282664,2010-12-18,2010/2011,Spain - La Liga,Espanyol vs Barcelona
,,,,,,,,,,,,,,,,,,0.7643,,,,,,,,,,,,,,70bf2146-1201-4c93-b4d1-2e3a4e165dd1,3641,,,"[50.5, 3.9]",69275,90,,,,2.324459,,Right Foot,,,,"[44.4, 10.4]",,Ground Pass,,8.914034,,,José María Callejón Bueno,,,,,,,2,Regular Play,Joan Verdú Fernández,26211.0,Left Wing,215,Espanyol,214,['1c8bb655-5b2a-415a-b390-47c119fc40b8'],53,,,,,,,,,,,,,,,,Espanyol,214,00:45:53.410,Pass,,50.5,3.9,44.4,10.4,4,0,4,1,0.011263,0.012147,0.0008839999999999994,0.0008839999999999994,,,,,2024-09-07 18:28:12.282664,2010-12-18,2010/2011,Spain - La Liga,Espanyol vs Barcelona
,,,,,,,,,,,,,,,,,,0.511567,,,,,,,,,,,,,,ce0e1ef4-228f-4a96-afe6-3be06529236d,3644,,,"[44.4, 10.4]",69275,90,,,,-0.3172663,,Left Foot,,,,"[51.1, 8.2]",,High Pass,,7.05195,Incomplete,,Joan Verdú Fernández,,,,,,,2,Regular Play,José María Callejón Bueno,7029.0,Right Wing,216,Espanyol,214,"['035b5a9d-db2a-4820-820e-adafaf229e37', '888fcb9e-0aeb-4e2c-8070-fd6caca5726c']",54,,,,,,,,,,,,,,,,Espanyol,214,00:45:54.759,Pass,,44.4,10.4,51.1,8.2,4,1,4,0,0.012147,0.011263,-0.0008839999999999994,0.0,,,,,2024-09-07 18:28:12.282664,2010-12-18,2010/2011,Spain - La Liga,Espanyol vs Barcelona
,,,,,,,,,,,,,,,,,,0.9926,,,,,,,,,,,,,,035b5a9d-db2a-4820-820e-adafaf229e37,3646,,,"[69.0, 71.9]",69275,90,,,,-0.27829966,,Head,,,,"[74.6, 70.3]",,Low Pass,,5.824088,Incomplete,,,,,,,,Recovery,2,Regular Play,Xavier Hernández Creus,20131.0,Left Center Midfield,216,Espanyol,214,"['20b1074d-a581-4508-9009-25493f5cb959', 'ce0e1ef4-228f-4a96-afe6-3be06529236d']",55,,,,,,,,,,,,,,,,Barcelona,217,00:45:55.271,Pass,,69.0,71.9,74.6,70.3,6,7,7,7,0.014736,0.017451,0.0027150000000000004,0.0027150000000000004,,,,,2024-09-07 18:28:12.282664,2010-12-18,2010/2011,Spain - La Liga,Espanyol vs Barcelona
,,,,,,,,,,,,,,,,,,1.345,,,,,,,,,,,,,,20b1074d-a581-4508-9009-25493f5cb959,3647,,,"[45.5, 9.8]",69275,90,,,,-0.253939,,Right Foot,,,,"[58.6, 6.4]",,High Pass,,13.534031,Incomplete,,Joan Verdú Fernández,,,,,,Recovery,2,Regular Play,José María Callejón Bueno,7029.0,Right Wing,216,Espanyol,214,"['035b5a9d-db2a-4820-820e-adafaf229e37', 'b77ecacd-b443-4c61-8a3f-558d93adc30f', 'ed7b35b1-957a-4853-98f9-07ab018996a9']",56,,,,,,,,,,,,,,,,Espanyol,214,00:45:56.264,Pass,,45.5,9.8,58.6,6.4,4,0,5,0,0.011263,0.012483,0.0012199999999999989,0.0012199999999999989,,,,,2024-09-07 18:28:12.282664,2010-12-18,2010/2011,Spain - La Liga,Espanyol vs Barcelona
