bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,team_id,timestamp,type,under_pressure,x,y,end_x,end_y,x1_bin,y1_bin,x2_bin,y2_bin,start_zone_value,end_zone_value,pass_xT,progressive_xT,expected_assists_xA,shot_statsbomb_xg_cum,xg_chain,xg_buildup,Extraction Date,match_date,season,competition,h2h
,,,,,,,,,,,,,,,,,,1.259781,,,,,,,,,,,,,19a637e6-a72d-41dc-9354-76e214f50d9c,2370,,"[64.3, 54.1]",69303,55,,,,,-1.3223089,,Right Foot,,,,"[67.7, 40.7]",,Ground Pass,,13.8246155,,,,Andrés Iniesta Luján,,,,,,2,From Counter,Javier Alejandro Mascherano,5506.0,Center Defensive Midfield,113,Barcelona,217,['93b37c6c-42c6-449e-8b6a-319a2a6289d1'],40,,,,,,,,,,,,,,,,Barcelona,217,00:10:40.533,Pass,,64.3,54.1,67.7,40.7,6,5,6,4,0.016856,0.016895,3.900000000000084e-05,3.900000000000084e-05,,,,,2024-09-07 18:28:14.652160,2011-03-19,2010/2011,Spain - La Liga,Barcelona vs Getafe
,,,,,,,,,,,,,,,,,,1.926657,,,,,,,,,,,,,356b5072-643f-4e2f-978f-bcfd7971abf4,2373,,"[77.0, 30.7]",69303,55,,,,,-0.20487672,,Right Foot,,,,"[100.1, 25.9]",,Ground Pass,,23.593431,,,,David Villa Sánchez,,,Through Ball,True,,2,From Counter,Andrés Iniesta Luján,5216.0,Right Center Midfield,113,Barcelona,217,['3dc51e10-ef30-4353-a458-ca4aae72f86a'],44,,,,,,,,,,,,,,,,Barcelona,217,00:10:44.179,Pass,,77.0,30.7,100.1,25.9,7,3,9,2,0.019971,0.028552,0.008581000000000002,0.008581000000000002,,,,,2024-09-07 18:28:14.652160,2011-03-19,2010/2011,Spain - La Liga,Barcelona vs Getafe
,,,,,,,,,,,,,,,,,,1.5575,,,,,,,,,,,,,ea6f245e-b685-40d4-90f9-d2399ca5bd45,2376,,"[108.2, 27.6]",69303,55,,,,,1.1097665,,Right Foot,,,,"[115.8, 42.9]",,Ground Pass,,17.083618,,Incomplete,,Lionel Andrés Messi Cuccittini,,,,,,2,From Counter,David Villa Sánchez,12737.0,Center Forward,113,Barcelona,217,"['3e6902c1-4e06-4744-90bf-8562bf71075b', 'b10d4cc4-5452-43ff-beb9-655a0455fd98']",46,,,,,,,,,,,,,,,,Barcelona,217,00:10:46.966,Pass,,108.2,27.6,115.8,42.9,10,2,11,4,0.054911,0.257454,0.20254300000000003,0.20254300000000003,,,,,2024-09-07 18:28:14.652160,2011-03-19,2010/2011,Spain - La Liga,Barcelona vs Getafe
,,,,,,,,,,,,,,,,,,2.237761,,,,,,,,,,,,,2ecc1ad0-c3bd-42b6-a6f4-4f09896aa703,2379,,"[11.4, 36.1]",69303,55,,True,,,-0.7313967,,Drop Kick,,,,"[38.7, 11.6]",,High Pass,,36.681602,,Incomplete,,,,,,,,2,From Keeper,Jordi Codina Rodríguez,26686.0,Goalkeeper,114,Getafe,216,['bfaee5fa-b711-45c7-be71-76734bce49db'],55,,,,,,,,,,,,,,,,Getafe,216,00:10:55.686,Pass,,11.4,36.1,38.7,11.6,0,3,3,1,0.009411,0.010595,0.001184000000000001,0.001184000000000001,,,,,2024-09-07 18:28:14.652160,2011-03-19,2010/2011,Spain - La Liga,Barcelona vs Getafe
,,,,,,,,,,,,,,,,,,1.857141,,,,,,,,,,,,,b6836661-93df-4e93-861a-06f787a870de,2381,,"[93.5, 61.8]",69303,56,,,,,0.49344012,,Right Foot,,,,"[105.4, 68.2]",,Ground Pass,,13.511847,,,,David Villa Sánchez,,,,,,2,Regular Play,Daniel Alves da Silva,4324.0,Right Back,115,Barcelona,217,['6d9a8cde-36ee-4e00-9413-d8f8c24f67a4'],0,,,,,,,,,,,,,,,,Barcelona,217,00:11:00.749,Pass,,93.5,61.8,105.4,68.2,9,6,10,6,0.029533,0.04067,0.011136999999999998,0.011136999999999998,,,,,2024-09-07 18:28:14.652160,2011-03-19,2010/2011,Spain - La Liga,Barcelona vs Getafe
,,,,,,,,,,,,,,,,,,1.095959,,,,,,,,,,,,,eababe77-6b40-41bd-acec-92bd695e6c78,2386,,"[110.1, 69.6]",69303,56,,,,,-2.1489146,,Right Foot,,,,"[100.9, 55.5]",,Ground Pass,,16.835974,,,,Daniel Alves da Silva,,,,,,2,Regular Play,David Villa Sánchez,12737.0,Center Forward,115,Barcelona,217,"['6a251fb3-6d1b-4c3e-a2a9-f83c4e779f00', 'ec751db1-c80a-4808-bf78-b1637974c33f']",3,,,,,,,,,,,,,,,,Barcelona,217,00:11:03.502,Pass,True,110.1,69.6,100.9,55.5,10,6,10,5,0.04067,0.054911,0.014241000000000004,0.014241000000000004,,,,,2024-09-07 18:28:14.652160,2011-03-19,2010/2011,Spain - La Liga,Barcelona vs Getafe
,,,,,,,,,,,,,,,,,,2.1038,,,,,,,,,,,,,0a4fbff4-7e23-49a8-abaa-c766d02973a6,2389,,"[102.9, 54.6]",69303,56,,,,,-0.9558589,,Right Foot,,,,"[113.0, 40.3]",,High Pass,,17.507141,,Incomplete,,,,,,,,2,Regular Play,Daniel Alves da Silva,4324.0,Right Back,115,Barcelona,217,['1eb1e1a6-b937-4ba3-8c80-66454c6a7269'],5,,,,,,,,,,,,,,,,Barcelona,217,00:11:05.749,Pass,,102.9,54.6,113.0,40.3,10,5,11,3,0.054911,0.257454,0.20254300000000003,0.20254300000000003,,,,,2024-09-07 18:28:14.652160,2011-03-19,2010/2011,Spain - La Liga,Barcelona vs Getafe
,,,,,,,,,,,,,,,,,,1.7152,,,,,,,,,,,,,934752fa-654c-412a-9e9e-b36074338807,2392,,"[10.8, 48.9]",69303,56,,,,,0.7406519,,Keeper Arm,,,,"[38.8, 74.5]",,High Pass,,37.9389,,,,Juan Ángel Albín Leites,,,,,,2,Regular Play,Jordi Codina Rodríguez,26686.0,Goalkeeper,116,Getafe,216,['343d4917-16fa-42c9-9d07-2770297672a9'],15,,,,,,,,,,,,,,,,Getafe,216,00:11:15.323,Pass,,10.8,48.9,38.8,74.5,0,4,3,7,0.009411,0.009777,0.000366,0.000366,,,,,2024-09-07 18:28:14.652160,2011-03-19,2010/2011,Spain - La Liga,Barcelona vs Getafe
,,,,,,,,,,,,,,,,,,1.713501,,,,,,,,,,,,,d5d6d986-faf2-4596-8cc2-cf01921b74cb,2396,,"[36.7, 74.7]",69303,56,,,,,-1.8728225,,Left Foot,,,,"[30.5, 54.8]",,Ground Pass,,20.843464,,,,Borja Fernández Fernández,,,,,,2,Regular Play,Juan Ángel Albín Leites,26425.0,Right Wing,116,Getafe,216,['6b160a8c-29b8-43d0-b772-98cf685423bf'],18,,,,,,,,,,,,,,,,Getafe,216,00:11:18.615,Pass,,36.7,74.7,30.5,54.8,3,7,2,5,0.009777,0.010013,0.0002360000000000001,0.0002360000000000001,,,,,2024-09-07 18:28:14.652160,2011-03-19,2010/2011,Spain - La Liga,Barcelona vs Getafe
,,,,,,,,,,,,,,,,,,0.9977,,,,,,,,,,,,,625dfe34-5914-48cd-ae79-32613684abb3,2400,,"[28.7, 53.0]",69303,56,,,,,2.8577986,,Right Foot,,,,"[19.1, 55.8]",,Ground Pass,,10.0,,,,Daniel Alberto Díaz,,,,,,2,Regular Play,Borja Fernández Fernández,11294.0,Right Defensive Midfield,116,Getafe,216,"['78b789f3-f1ce-4406-b0c7-9365cf3720f1', '9c43f1d4-e0ef-416d-b092-4ac1065ecca2']",20,,,,,,,,,,,,,,,,Getafe,216,00:11:20.369,Pass,True,28.7,53.0,19.1,55.8,2,5,1,5,0.010013,0.009777,-0.0002360000000000001,0.0,,,,,2024-09-07 18:28:14.652160,2011-03-19,2010/2011,Spain - La Liga,Barcelona vs Getafe
