bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,team_id,timestamp,type,under_pressure,x,y,end_x,end_y,x1_bin,y1_bin,x2_bin,y2_bin,start_zone_value,end_zone_value,pass_xT,progressive_xT,expected_assists_xA,shot_statsbomb_xg_cum,xg_chain,xg_buildup,Extraction Date,match_date,season,competition,h2h
,,,,,,,,,,,,,,,,,,,,1.894947,,,,,,,,,,,,,c7af8d9a-8da5-4013-8bb0-d2117d90ef23,142,,"[74.7, 2.9]",69289,2,,,,,2.4013252,,Right Foot,,,,"[66.6, 10.3]",,Ground Pass,,10.971326,,,,Eric-Sylvain Bilal Abidal,,,,,,1,Regular Play,Pedro Eliezer Rodríguez Ledesma,3958.0,Left Wing,7,Barcelona,217,['d790dd9c-3481-498a-9bef-a1847af3d179'],26,,,,,,,,,,,,,,Barcelona,217,00:02:26.883,Pass,,74.7,2.9,66.6,10.3,7,0,6,1,0.017451,0.016118,-0.0013330000000000009,0.0,,,,,2024-09-07 18:28:42.667837,2010-10-30,2010/2011,Spain - La Liga,Barcelona vs Sevilla
,,,,,,,,,,,,,,,,,,,,1.169464,,,,,,,,,,,,,15676ed5-4ac9-4566-bb04-a7a63ac04bf3,145,,"[65.9, 9.3]",69289,2,,,,,1.7292207,,Left Foot,,,,"[63.2, 26.2]",,Ground Pass,,17.11432,,,,Sergio Busquets i Burgos,,,,,,1,Regular Play,Eric-Sylvain Bilal Abidal,20177.0,Left Back,7,Barcelona,217,['9e79631e-6fdb-421d-bdbc-323961fcde7c'],28,,,,,,,,,,,,,,Barcelona,217,00:02:28.817,Pass,,65.9,9.3,63.2,26.2,6,0,6,2,0.014736,0.016856,0.0021199999999999986,0.0021199999999999986,,,,,2024-09-07 18:28:42.667837,2010-10-30,2010/2011,Spain - La Liga,Barcelona vs Sevilla
,,,,,,,,,,,,,,,,,,,,1.248108,,,,,,,,,,,,,74b9524b-0548-40ca-98c4-f4de95f194e4,148,,"[63.3, 28.5]",69289,2,,,,,1.0313778,,Right Foot,,,,"[72.1, 43.2]",,Ground Pass,,17.132717,,,,Xavier Hernández Creus,,,,,,1,Regular Play,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,7,Barcelona,217,['c8e66802-bd27-4a57-85f7-8d83c7d8ba05'],30,,,,,,,,,,,,,,Barcelona,217,00:02:30.542,Pass,,63.3,28.5,72.1,43.2,6,2,7,4,0.016856,0.019971,0.0031149999999999997,0.0031149999999999997,,,,,2024-09-07 18:28:42.667837,2010-10-30,2010/2011,Spain - La Liga,Barcelona vs Sevilla
,,,,,,,,,,,,,,,,,,,,1.476096,,,,,,,,,,,,,50ef9beb-1cf7-41bc-b6c5-629201cc8ef5,151,,"[74.3, 49.4]",69289,2,,,,,1.3368771,,Right Foot,,,,"[80.4, 75.0]",,Ground Pass,,26.316725,,,,Daniel Alves da Silva,,,,,,1,Regular Play,Xavier Hernández Creus,20131.0,Right Center Midfield,7,Barcelona,217,['e4ba213a-b48e-4d68-b596-0896da593b1d'],34,,,,,,,,,,,,,,Barcelona,217,00:02:34.191,Pass,,74.3,49.4,80.4,75.0,7,4,7,7,0.019971,0.017451,-0.002519999999999998,0.0,,,,,2024-09-07 18:28:42.667837,2010-10-30,2010/2011,Spain - La Liga,Barcelona vs Sevilla
,,,,,,,,,,,,,,,,,,,,1.151377,,,,,,,,,,,,,b80ad525-1b73-4cd9-97c7-159ba5415215,154,,"[80.0, 76.8]",69289,2,,,,,-1.9974238,,Right Foot,,,,"[69.0, 52.6]",,Ground Pass,,26.5827,,,,Xavier Hernández Creus,,,,,,1,Regular Play,Daniel Alves da Silva,4324.0,Right Back,7,Barcelona,217,['a6da10ce-f5b2-4d51-bd26-89bf53b411be'],36,,,,,,,,,,,,,,Barcelona,217,00:02:36.439,Pass,,80.0,76.8,69.0,52.6,7,7,6,5,0.017451,0.016856,-0.0005950000000000018,0.0,,,,,2024-09-07 18:28:42.667837,2010-10-30,2010/2011,Spain - La Liga,Barcelona vs Sevilla
,,,,,,,,,,,,,,,,,,,,1.860871,,,,,,,,,,,,,d3b0bce2-5d8d-48c5-8843-c817bedde200,158,,"[67.6, 51.4]",69289,2,,,,,-2.394935,,Right Foot,,,,"[54.2, 39.0]",,Ground Pass,,18.257053,,,,Carles Puyol i Saforcada,,,,,,1,Regular Play,Xavier Hernández Creus,20131.0,Right Center Midfield,7,Barcelona,217,['4b4c79d6-9725-4420-ad76-82ab3870133e'],38,,,,,,,,,,,,,,Barcelona,217,00:02:38.399,Pass,,67.6,51.4,54.2,39.0,6,5,5,3,0.016856,0.014846,-0.0020099999999999996,0.0,,,,,2024-09-07 18:28:42.667837,2010-10-30,2010/2011,Spain - La Liga,Barcelona vs Sevilla
,,,,,,,,,,,,,,,,,,,,0.918,,,,,,,,,,,,,296be12a-f2cb-45fe-92ed-3ae2f6bbaa0a,161,,"[62.4, 40.1]",69289,2,,,,,-0.118325785,,Right Foot,,,,"[76.7, 38.4]",,Ground Pass,,14.400695,,,,Lionel Andrés Messi Cuccittini,,,,,,1,Regular Play,Carles Puyol i Saforcada,20125.0,Left Center Back,7,Barcelona,217,['dba9af14-b188-4f0d-931e-d5a5e1a37729'],43,,,,,,,,,,,,,,Barcelona,217,00:02:43.193,Pass,,62.4,40.1,76.7,38.4,6,4,7,3,0.016895,0.019971,0.003075999999999999,0.003075999999999999,,,,,2024-09-07 18:28:42.667837,2010-10-30,2010/2011,Spain - La Liga,Barcelona vs Sevilla
,,,,,,,,,,,,,,,,,,,,1.4865,,,,,,,,,,,,,5bf9c152-021d-4c3f-858b-f76c29f3a609,164,,"[76.1, 38.3]",69289,2,,,,,3.0337327,,Left Foot,,,,"[60.4, 40.0]",,Ground Pass,,15.79177,,,,Carles Puyol i Saforcada,,,,,,1,Regular Play,Lionel Andrés Messi Cuccittini,5503.0,Right Wing,7,Barcelona,217,['1e38b074-c7f6-4a82-a746-82c6094e9401'],44,,,,,,,,,,,,,,Barcelona,217,00:02:44.151,Pass,,76.1,38.3,60.4,40.0,7,3,5,3,0.019971,0.014846,-0.005124999999999999,0.0,,,,,2024-09-07 18:28:42.667837,2010-10-30,2010/2011,Spain - La Liga,Barcelona vs Sevilla
,,,,,,,,,,,,,,,,,,,,1.48799,,,,,,,,,,,,,e8deee7d-d2b2-4e6a-91df-b586062ef33f,167,,"[60.4, 40.0]",69289,2,,,,,-1.4744568,,Right Foot,,,,"[62.7, 16.2]",,Ground Pass,,23.910875,,,,Sergio Busquets i Burgos,,,,,,1,Regular Play,Carles Puyol i Saforcada,20125.0,Left Center Back,7,Barcelona,217,['c2fc393d-7c38-4cf4-9fc4-62ff2fb84d53'],45,,,,,,,,,,,,,,Barcelona,217,00:02:45.678,Pass,,60.4,40.0,62.7,16.2,5,3,6,1,0.014846,0.016118,0.0012720000000000006,0.0012720000000000006,,,,,2024-09-07 18:28:42.667837,2010-10-30,2010/2011,Spain - La Liga,Barcelona vs Sevilla
,,,,,,,,,,,,,,,,,,,,1.43775,,,,,,,,,,,,,0c67d1b5-7508-46e7-ae79-6772614ace66,169,,"[62.7, 15.9]",69289,2,,,,,1.2333403,,Right Foot,,,,"[70.7, 38.7]",,Ground Pass,,24.16278,,,,Lionel Andrés Messi Cuccittini,,,,,,1,Regular Play,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,7,Barcelona,217,['12397b0e-0234-4b77-9f84-e415251648cc'],47,,,,,,,,,,,,,,Barcelona,217,00:02:47.166,Pass,,62.7,15.9,70.7,38.7,6,1,6,3,0.016118,0.016895,0.0007769999999999999,0.0007769999999999999,,,,,2024-09-07 18:28:42.667837,2010-10-30,2010/2011,Spain - La Liga,Barcelona vs Sevilla
