50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_to_post,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_saved_to_post,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,team_id,timestamp,type,under_pressure,x,y,end_x,end_y,x1_bin,y1_bin,x2_bin,y2_bin,start_zone_value,end_zone_value,pass_xT,progressive_xT,expected_assists_xA,shot_statsbomb_xg_cum,xg_chain,xg_buildup,Extraction Date,match_date,season,competition,h2h
,,,,,,,,,,,,,,,,,2.0161,,,,,,,,,,,,,,,,392f9c47-c098-440e-8e31-050dea1b31bc,2004,,"[77.5, 80.0]",69307,45,,,,,-0.18616007,,,,,"[99.8, 75.8]",,High Pass,,22.69207,,,Incomplete,,Fernando Soriano Marco,,,,,Throw-in,2,From Throw In,Nélson Augusto Tomar Marcos,26589.0,Right Back,104,Osasuna,422,"['2f962c8e-e4ae-4b4b-b6a5-3fae1ce39b57', 'b45138b9-5c50-4808-bcb2-87edf6d9bfdd']",52,,,,,,,,,,,,,,,Osasuna,422,00:00:52.423,Pass,,77.5,80.0,99.8,75.8,7,7,9,7,0.017451,0.027563,0.010112,0.010112,,,,,2024-09-07 18:28:09.101222,2010-12-04,2010/2011,Spain - La Liga,Osasuna vs Barcelona
,,,,,,,,,,,,,,,,,1.813127,,,,,,,,,,,,,,,,ca505fba-a45a-4c86-acb2-ec10cd467817,2007,,"[99.2, 80.0]",69307,46,,,,,-1.2545859,,,,,"[106.3, 58.3]",,High Pass,,22.831995,,,Incomplete,,Fernando Soriano Marco,,,,,Throw-in,2,From Throw In,Nélson Augusto Tomar Marcos,26589.0,Right Back,105,Osasuna,422,"['397f3488-5ed8-4a52-a09c-7928489df66c', 'e3f1b7d2-d73a-4c46-b273-1486ccbbeed7']",10,,,,,,,,,,,,,,,Osasuna,422,00:01:10.329,Pass,,99.2,80.0,106.3,58.3,9,7,10,5,0.027563,0.054911,0.027348,0.027348,,,,,2024-09-07 18:28:09.101222,2010-12-04,2010/2011,Spain - La Liga,Osasuna vs Barcelona
,,,,,,,,,,,,,,,,,2.9304,,,,,,,,,,,,,,,,b83d26d8-db50-4612-a784-1c6362c59fd1,2011,,"[15.0, 22.4]",69307,46,,,,,0.42185155,,Right Foot,,,"[48.2, 37.3]",,High Pass,,36.390247,,,Incomplete,,,,,,,,2,From Throw In,Carles Puyol i Saforcada,20125.0,Left Center Back,105,Osasuna,422,['e4abb856-fefc-4a36-abeb-30a8a8cef504'],12,,,,,,,,,,,,,,,Barcelona,217,00:01:12.928,Pass,,15.0,22.4,48.2,37.3,1,2,4,3,0.009777,0.012626,0.002849000000000001,0.002849000000000001,,,,,2024-09-07 18:28:09.101222,2010-12-04,2010/2011,Spain - La Liga,Osasuna vs Barcelona
,,,,,,,,,,,,,,,,,2.183,,,,,,,,,,,,,,,,e4abb856-fefc-4a36-abeb-30a8a8cef504,2012,,"[71.9, 42.8]",69307,46,,,,,-0.84342426,,Right Foot,,,"[94.6, 17.3]",,High Pass,,34.140007,,,,,Masoud Shojaei Soleimani,,,,,Recovery,2,From Throw In,Miguel Flaño Bezunartea,24313.0,Left Center Back,105,Osasuna,422,"['94345ad3-7c7a-46e1-8973-975fa65b89ec', 'b83d26d8-db50-4612-a784-1c6362c59fd1']",15,,,,,,,,,,,,,,,Osasuna,422,00:01:15.858,Pass,,71.9,42.8,94.6,17.3,7,4,9,1,0.019971,0.029533,0.009562000000000001,0.009562000000000001,,,,,2024-09-07 18:28:09.101222,2010-12-04,2010/2011,Spain - La Liga,Osasuna vs Barcelona
,,,,,,,,,,,,,,,,,1.6697,,,,,,,,,,,,,,,,f6ecf9e3-5765-4e39-a7cd-e9d48600be8c,2019,,"[95.2, 15.6]",69307,46,,,,,1.1005043,,Right Foot,True,,"[107.4, 39.6]",,High Pass,,26.922853,,,Incomplete,,Walter Gerardo Pandiani Urquiza,,,,,,2,From Throw In,Masoud Shojaei Soleimani,5238.0,Left Wing,105,Osasuna,422,"['ce1d3c38-158e-4bea-8eca-0361ff09b55f', 'da857dc2-eea1-4457-8218-3d373cf41251']",22,,,,,,,,,,,,,,,Osasuna,422,00:01:22.928,Pass,,95.2,15.6,107.4,39.6,9,1,10,3,0.029533,0.108051,0.07851799999999999,0.07851799999999999,,,,,2024-09-07 18:28:09.101222,2010-12-04,2010/2011,Spain - La Liga,Osasuna vs Barcelona
,,,,,,,,,,,,,,,,,0.92548,,,,,,,,,,,,,,,,591e9ff1-e4c2-44bd-8835-4f692c4c8567,2026,,"[14.2, 56.0]",69307,46,,,,,0.5346889,,Right Foot,,,"[24.5, 62.1]",,Ground Pass,,11.970798,,,,,Xavier Hernández Creus,,,,,,2,Regular Play,Gerard Piqué Bernabéu,5213.0,Right Center Back,106,Barcelona,217,['4b192ee7-8a7f-4394-94cc-4fbd8c48d21c'],27,,,,,,,,,,,,,,,Barcelona,217,00:01:27.808,Pass,,14.2,56.0,24.5,62.1,1,5,2,6,0.009777,0.009424,-0.00035299999999999915,0.0,,,,,2024-09-07 18:28:09.101222,2010-12-04,2010/2011,Spain - La Liga,Osasuna vs Barcelona
,,,,,,,,,,,,,,,,,0.840757,,,,,,,,,,,,,,,,a45f2e00-6c4a-406a-be88-7ef4f4804ff1,2028,,"[24.9, 62.6]",69307,46,,,,,2.5560231,,Right Foot,,,"[15.4, 68.9]",,Ground Pass,,11.399123,,,,,Daniel Alves da Silva,,,,,,2,Regular Play,Xavier Hernández Creus,20131.0,Right Center Midfield,106,Barcelona,217,['58bf57d1-c9ba-4638-a448-238bb90c644f'],28,,,,,,,,,,,,,,,Barcelona,217,00:01:28.733,Pass,,24.9,62.6,15.4,68.9,2,6,1,6,0.009424,0.008786,-0.0006379999999999997,0.0,,,,,2024-09-07 18:28:09.101222,2010-12-04,2010/2011,Spain - La Liga,Osasuna vs Barcelona
,,,,,,,,,,,,,,,,,1.337664,,,,,,,,,,,,,,,,d6ea9ed1-a477-4f19-8848-113a8becb34b,2032,,"[21.3, 68.9]",69307,46,,,,,-0.8800512,,Right Foot,,,"[35.6, 51.6]",,Low Pass,,22.445044,,,,,Lionel Andrés Messi Cuccittini,,,,,,2,Regular Play,Daniel Alves da Silva,4324.0,Right Back,106,Barcelona,217,['348477b1-e0ee-4cab-b54b-84f7c657c976'],30,,,,,,,,,,,,,,,Barcelona,217,00:01:30.780,Pass,,21.3,68.9,35.6,51.6,1,6,3,5,0.008786,0.011105,0.002319,0.002319,,,,,2024-09-07 18:28:09.101222,2010-12-04,2010/2011,Spain - La Liga,Osasuna vs Barcelona
,,,,,,,,,,,,,,,,,1.133152,,,,,,,,,,,,,,,,ea90e149-04f8-4694-8214-726d4c2c00b9,2038,,"[34.6, 50.4]",69307,46,,,,,0.5880026,,Right Foot,,,"[43.0, 56.0]",,Ground Pass,,10.095544,,,,,Xavier Hernández Creus,,,,,Free Kick,2,From Free Kick,Gerard Piqué Bernabéu,5213.0,Right Center Back,107,Barcelona,217,['ea4e5a03-5580-4d44-9dae-2897f0f1d09e'],57,,,,,,,,,,,,,,,Barcelona,217,00:01:57.993,Pass,,34.6,50.4,43.0,56.0,3,5,4,5,0.011105,0.012692,0.0015869999999999999,0.0015869999999999999,,,,,2024-09-07 18:28:09.101222,2010-12-04,2010/2011,Spain - La Liga,Osasuna vs Barcelona
,,,,,,,,,,,,,,,,,0.845923,,,,,,,,,,,,,,,,2ce9d0bc-269f-4e79-8591-45464fd4c9fb,2040,,"[43.6, 57.3]",69307,46,,True,,,3.1415927,,Right Foot,,,"[29.1, 57.3]",,Ground Pass,,14.5,,,,,Gerard Piqué Bernabéu,,,,,,2,From Free Kick,Xavier Hernández Creus,20131.0,Right Center Midfield,107,Barcelona,217,['1e0ade0a-9c42-44a0-ab6f-83f6b3363537'],59,,,,,,,,,,,,,,,Barcelona,217,00:01:59.848,Pass,,43.6,57.3,29.1,57.3,4,5,2,5,0.012692,0.010013,-0.002679000000000001,0.0,,,,,2024-09-07 18:28:09.101222,2010-12-04,2010/2011,Spain - La Liga,Osasuna vs Barcelona
,,,,,,,,,,,,,,,,,1.267167,,,,,,,,,,,,,,,,571a3b0b-c793-4d96-a613-ac7e1204bf08,2042,,"[30.6, 57.1]",69307,47,,,,,0.044613235,,Right Foot,,,"[64.2, 58.6]",,High Pass,,33.633465,,,,,David Villa Sánchez,,,,,,2,From Free Kick,Gerard Piqué Bernabéu,5213.0,Right Center Back,107,Barcelona,217,['4ade3c37-f476-46fb-ac0e-670c8465f138'],1,,,,,,,,,,,,,,,Barcelona,217,00:02:01.271,Pass,,30.6,57.1,64.2,58.6,2,5,6,5,0.010013,0.016856,0.006843,0.006843,,,,,2024-09-07 18:28:09.101222,2010-12-04,2010/2011,Spain - La Liga,Osasuna vs Barcelona
,,,,,,,,,,,,,,,,,1.040935,,,,,,,,,,,,,,,,9984efc6-90a9-4597-b5c0-7f2826a9f89a,2044,,"[64.4, 59.2]",69307,47,,,,,1.5586019,,Right Foot,,,"[64.6, 75.6]",,Low Pass,,16.40122,,,,,Daniel Alves da Silva,,,,,,2,From Free Kick,David Villa Sánchez,12737.0,Left Wing,107,Barcelona,217,['7dc07a0f-5ae8-4dbd-a13c-a9aecb19c59d'],2,,,,,,,,,,,,,,,Barcelona,217,00:02:02.538,Pass,,64.4,59.2,64.6,75.6,6,5,6,7,0.016856,0.014736,-0.0021199999999999986,0.0,,,,,2024-09-07 18:28:09.101222,2010-12-04,2010/2011,Spain - La Liga,Osasuna vs Barcelona
