bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,team_id,timestamp,type,under_pressure,x,y,end_x,end_y,x1_bin,y1_bin,x2_bin,y2_bin,start_zone_value,end_zone_value,pass_xT,progressive_xT,expected_assists_xA,shot_statsbomb_xg_cum,xg_chain,xg_buildup,Extraction Date,match_date,season,competition,h2h
,,,,,,,,,,,,,,,,,1.091146,,,,,,,,,,,,,a081f3cf-cda6-421c-b4e9-5022d7b8670d,818,,,"[50.5, 73.3]",69274,16,,,,,0.27324495,,Right Foot,,,,"[66.2, 77.7]",,Low Pass,,16.304907,,,Lionel Andrés Messi Cuccittini,,,,,,1,From Throw In,Gerard Piqué Bernabéu,5213.0,Right Center Back,44,Barcelona,217,"['57e69939-8b3d-42ea-a6ab-e52884719bc5', '8333e37f-168c-4b12-9659-7af2280c952b']",17,,,,,,,,,,,,,,,,Barcelona,217,00:16:17.175,Pass,True,50.5,73.3,66.2,77.7,4,7,6,7,0.011263,0.014736,0.0034730000000000004,0.0034730000000000004,,,,,2024-09-07 18:28:24.434497,2011-03-02,2010/2011,Spain - La Liga,Valencia vs Barcelona
,,,,,,,,,,,,,,,,,0.828391,,,,,,,,,,,,,c66fb03b-e18e-40c5-a73e-c84c2bebf012,829,,,"[72.7, 62.4]",69274,16,,,,,-0.82470375,,Left Foot,,,,"[89.8, 43.9]",,Ground Pass,,25.19246,,,Andrés Iniesta Luján,,,,,,1,From Throw In,Lionel Andrés Messi Cuccittini,5503.0,Center Attacking Midfield,44,Barcelona,217,['ca4a6fee-76a6-47b9-afaa-83ebef4a871c'],23,,,,,,,,,,,,,,,,Barcelona,217,00:16:23.084,Pass,,72.7,62.4,89.8,43.9,7,6,8,4,0.018703,0.023851,0.005148,0.005148,,,,,2024-09-07 18:28:24.434497,2011-03-02,2010/2011,Spain - La Liga,Valencia vs Barcelona
,,,,,,,,,,,,,,,,,0.772065,,,,,,,,,,,,,c5349180-b1ee-477b-b48b-08f5a6340166,841,,,"[35.7, 24.8]",69274,16,,True,,,-1.0800155,,Right Foot,,,,"[45.8, 5.9]",,Ground Pass,,21.429419,,,Jordi Alba Ramos,,,,,Free Kick,1,From Free Kick,Ángel Dealbert Ibáñez,26645.0,Left Center Back,46,Valencia,207,['262921a2-8cc7-4b89-8f24-d7d2d96ad8d2'],37,,,,,,,,,,,,,,,,Valencia,207,00:16:37.549,Pass,,35.7,24.8,45.8,5.9,3,2,4,0,0.011105,0.011263,0.00015800000000000015,0.00015800000000000015,,,,,2024-09-07 18:28:24.434497,2011-03-02,2010/2011,Spain - La Liga,Valencia vs Barcelona
,,,,,,,,,,,,,,,,,1.379525,,,,,,,,,,,,,c85a231e-32d8-4ca8-9297-b02aeafcbd8d,843,,,"[45.8, 5.9]",69274,16,,True,,,2.0768714,,Right Foot,,,,"[41.2, 14.2]",,Ground Pass,,9.489468,,,Ángel Dealbert Ibáñez,,,,,,1,From Free Kick,Jordi Alba Ramos,5211.0,Left Wing,46,Valencia,207,['fac73775-8003-4bbc-863e-a128439e8330'],40,,,,,,,,,,,,,,,,Valencia,207,00:16:40.003,Pass,,45.8,5.9,41.2,14.2,4,0,4,1,0.011263,0.012147,0.0008839999999999994,0.0008839999999999994,,,,,2024-09-07 18:28:24.434497,2011-03-02,2010/2011,Spain - La Liga,Valencia vs Barcelona
,,,,,,,,,,,,,,,,,1.2313,,,,,,,,,,,,,1e34cdd8-37f0-4367-9991-f46480b30279,845,,,"[41.2, 14.2]",69274,16,,,,,0.06290901,,Right Foot,,,,"[53.9, 15.0]",,Ground Pass,,12.725172,Incomplete,,,,,,,,1,From Free Kick,Ángel Dealbert Ibáñez,26645.0,Left Center Back,46,Valencia,207,['23a30e98-7cde-4f12-a55e-54a3a63741c2'],42,,,,,,,,,,,,,,,,Valencia,207,00:16:42.171,Pass,,41.2,14.2,53.9,15.0,3,1,5,1,0.010595,0.013845,0.0032499999999999994,0.0032499999999999994,,,,,2024-09-07 18:28:24.434497,2011-03-02,2010/2011,Spain - La Liga,Valencia vs Barcelona
,,,,,,,,,,,,,,,,,1.989125,,,,,,,,,,,,,23a30e98-7cde-4f12-a55e-54a3a63741c2,846,,,"[67.1, 66.0]",69274,16,,,,,-2.2869983,,Right Foot,,,,"[57.7, 55.2]",,Ground Pass,,14.3178215,Incomplete,,Javier Alejandro Mascherano,,,,,Interception,1,From Free Kick,Daniel Alves da Silva,4324.0,Right Wing Back,46,Valencia,207,"['0f599d70-3758-4b73-9d71-54fabc44820c', '1e34cdd8-37f0-4367-9991-f46480b30279', 'a0345e80-dac3-482e-8a86-13b389c6ef20']",43,,,,,,,,,,,,,,,,Barcelona,217,00:16:43.403,Pass,,67.1,66.0,57.7,55.2,6,6,5,5,0.016118,0.014291,-0.0018270000000000005,0.0,,,,,2024-09-07 18:28:24.434497,2011-03-02,2010/2011,Spain - La Liga,Valencia vs Barcelona
,,,,,,,,,,,,,,,,,1.791791,,,,,,,,,,,,,3dbc3c99-bbc9-4929-a5f4-6a50156696a4,853,,,"[57.1, 27.6]",69274,16,,,,,0.02024015,,Right Foot,,,,"[81.8, 28.1]",,Ground Pass,,24.705061,Incomplete,,,,,,,,1,From Free Kick,Joaquín Sánchez Rodríguez,6651.0,Right Wing,46,Valencia,207,['a60a0a8a-7a45-4481-9c5e-578e723afe75'],46,,,,,,,,,,,,,,,,Valencia,207,00:16:46.221,Pass,,57.1,27.6,81.8,28.1,5,2,8,2,0.014291,0.024122,0.009831000000000001,0.009831000000000001,,,,,2024-09-07 18:28:24.434497,2011-03-02,2010/2011,Spain - La Liga,Valencia vs Barcelona
,,,,,,,,,,,,,,,,,1.077711,,,,,,,,,,,,,a60a0a8a-7a45-4481-9c5e-578e723afe75,854,,,"[39.2, 52.9]",69274,16,,,,,0.49977645,,Right Foot,,,,"[55.5, 61.8]",,Ground Pass,,18.571484,,,Daniel Alves da Silva,,,,,Recovery,1,Regular Play,Sergio Busquets i Burgos,5203.0,Center Back,47,Barcelona,217,"['153ce0b9-80d3-4ee6-8724-08a86af0cec9', '3dbc3c99-bbc9-4929-a5f4-6a50156696a4']",48,,,,,,,,,,,,,,,,Barcelona,217,00:16:48.013,Pass,,39.2,52.9,55.5,61.8,3,5,5,6,0.011105,0.013845,0.0027399999999999994,0.0027399999999999994,,,,,2024-09-07 18:28:24.434497,2011-03-02,2010/2011,Spain - La Liga,Valencia vs Barcelona
,,,,,,,,,,,,,,,,,0.930494,,,,,,,,,,,,,ea9490fe-ad4f-4830-8738-bf456167416b,857,,,"[55.5, 61.8]",69274,16,,,,,-2.1910458,,Right Foot,,,,"[50.5, 54.8]",,Ground Pass,,8.602325,,,Javier Alejandro Mascherano,,,,,,1,Regular Play,Daniel Alves da Silva,4324.0,Right Wing Back,47,Barcelona,217,['e81ad4ed-fd45-49e0-9936-b2ffe07af817'],49,,,,,,,,,,,,,,,,Barcelona,217,00:16:49.109,Pass,,55.5,61.8,50.5,54.8,5,6,5,5,0.013845,0.014291,0.0004460000000000002,0.0004460000000000002,,,,,2024-09-07 18:28:24.434497,2011-03-02,2010/2011,Spain - La Liga,Valencia vs Barcelona
,,,,,,,,,,,,,,,,,0.657401,,,,,,,,,,,,,b13d794a-b03d-492f-a1b7-a44ae7e2e693,860,,,"[54.7, 55.1]",69274,16,,,,,-0.12203212,,Right Foot,,,,"[65.3, 53.8]",,Ground Pass,,10.6794195,,,Xavier Hernández Creus,,,,,,1,Regular Play,Javier Alejandro Mascherano,5506.0,Center Defensive Midfield,47,Barcelona,217,['aa478438-f393-466f-a6f4-e12cc29be377'],50,,,,,,,,,,,,,,,,Barcelona,217,00:16:50.428,Pass,,54.7,55.1,65.3,53.8,5,5,6,5,0.014291,0.016856,0.0025649999999999996,0.0025649999999999996,,,,,2024-09-07 18:28:24.434497,2011-03-02,2010/2011,Spain - La Liga,Valencia vs Barcelona
