bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_lost_out,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,team_id,timestamp,type,under_pressure,x,y,end_x,end_y,x1_bin,y1_bin,x2_bin,y2_bin,start_zone_value,end_zone_value,pass_xT,progressive_xT,expected_assists_xA,shot_statsbomb_xg_cum,xg_chain,xg_buildup,Extraction Date,match_date,season,competition,h2h
,,,,,,,,,,,,,,,,1.4839,,,,,,,,,,,,,,33381bb6-0a67-4f5f-97bf-3dbe488d65c9,588,,"[63.4, 16.4]",69304,11,,,,,1.6189518,,Right Foot,,,"[62.6, 33.0]",Ground Pass,,16.619267,,,,,Javier Alejandro Mascherano,,,,,,,1,From Goal Kick,Sergio Busquets i Burgos,5203.0,Right Center Back,19,Barcelona,217,['999d9b92-6a4c-478e-b31c-10d6a4d15528'],29,,,,,,,,,,,,,,,Barcelona,217,00:11:29.672,Pass,,63.4,16.4,62.6,33.0,6,1,6,3,0.016118,0.016895,0.0007769999999999999,0.0007769999999999999,,,,,2024-09-07 18:28:08.318991,2011-04-02,2010/2011,Spain - La Liga,Villarreal vs Barcelona
,,,,,,,,,,,,,,,,0.9729,,,,,,,,,,,,,,e44bf8eb-902d-4d8d-8748-f261021b3b73,591,,"[69.4, 31.9]",69304,11,,,,,-0.010637896,,Right Foot,,,"[78.8, 31.8]",Ground Pass,,9.400532,,,Incomplete,,Andrés Iniesta Luján,,,,,,,1,From Goal Kick,Javier Alejandro Mascherano,5506.0,Center Defensive Midfield,19,Barcelona,217,"['61a877df-b1a0-4781-9980-1cd674c9b525', '7be7cba4-2b91-4161-ba47-b4dea4e6fb8b']",32,,,,,,,,,,,,,,,Barcelona,217,00:11:32.931,Pass,,69.4,31.9,78.8,31.8,6,3,7,3,0.016895,0.019971,0.003075999999999999,0.003075999999999999,,,,,2024-09-07 18:28:08.318991,2011-04-02,2010/2011,Spain - La Liga,Villarreal vs Barcelona
,,,,,,,,,,,,,,,,0.8672,,,,,,,,,,,,,,164fe23b-e6a8-49b1-b53f-a97590c58587,596,,"[43.9, 54.4]",69304,11,,,,,1.3432288,,Right Foot,,,"[46.1, 63.9]",Ground Pass,,9.7514105,,,,,Borja Valero Iglesias,,,,,,,1,Regular Play,Carlos Marchena López,20127.0,Left Defensive Midfield,20,Villarreal,222,['afe39ff8-29ae-46f0-9762-3b5aab477fca'],37,,,,,,,,,,,,,,,Villarreal,222,00:11:37.112,Pass,,43.9,54.4,46.1,63.9,4,5,4,6,0.012692,0.012147,-0.0005450000000000003,0.0,,,0.12661667,0.12661667,2024-09-07 18:28:08.318991,2011-04-02,2010/2011,Spain - La Liga,Villarreal vs Barcelona
,,,,,,,,,,,,,,,,2.410144,,,,,,,,,,,,,,bd6de493-f281-4474-9991-26a3b981068e,599,,"[56.2, 56.4]",69304,11,,,,,-1.3541547,,Right Foot,,,"[65.4, 14.6]",High Pass,,42.80047,,,,,Santiago Cazorla González,,,True,,,,1,Regular Play,Borja Valero Iglesias,6997.0,Right Midfield,20,Villarreal,222,['ffa4571e-b952-4119-bec3-66262880e8cc'],42,,,,,,,,,,,,,,,Villarreal,222,00:11:42.407,Pass,,56.2,56.4,65.4,14.6,5,5,6,1,0.014291,0.016118,0.0018270000000000005,0.0018270000000000005,,,0.12661667,0.12661667,2024-09-07 18:28:08.318991,2011-04-02,2010/2011,Spain - La Liga,Villarreal vs Barcelona
,,,,,,,,,,,,,,,,1.7304,,,,,,,,,,,,,,14ed1d1a-4db1-47aa-8f00-95b33ed0fb27,602,,"[84.6, 21.4]",69304,11,,,,,0.2964395,38228f07-2963-48ac-9b72-ab524fb1a121,Left Foot,,,"[108.5, 28.7]",Ground Pass,,24.989998,,,,,Giuseppe Rossi,True,,,,,,1,Regular Play,Santiago Cazorla González,11386.0,Left Midfield,20,Villarreal,222,['c993e091-7846-487c-9bea-476641451566'],48,,,,,,,,,,,,,,,Villarreal,222,00:11:48.129,Pass,,84.6,21.4,108.5,28.7,8,2,10,2,0.024122,0.054911,0.030789,0.030789,0.12661667,,0.12661667,,2024-09-07 18:28:08.318991,2011-04-02,2010/2011,Spain - La Liga,Villarreal vs Barcelona
,,,,,,,,,,,,,,,,0.3873,,,,,,,,,,,,,,38228f07-2963-48ac-9b72-ab524fb1a121,604,,"[105.6, 29.1]",69304,11,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Giuseppe Rossi,7141.0,Right Center Forward,20,Villarreal,222,['85f64963-589b-4bc2-acde-c55330bccc7b'],50,,Left Foot,"[114.6, 37.1, 0.3]",True,"[{'location': [104.1, 40.2], 'player': {'id': 22102, 'name': 'Adriano Correia Claro'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [105.6, 33.0], 'player': {'id': 5203, 'name': 'Sergio Busquets i Burgos'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [98.5, 33.0], 'player': {'id': 5506, 'name': 'Javier Alejandro Mascherano'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [91.2, 19.9], 'player': {'id': 5208, 'name': 'Thiago Alcântara do Nascimento'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [99.7, 27.5], 'player': {'id': 5213, 'name': 'Gerard Piqué Bernabéu'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [99.8, 20.2], 'player': {'id': 4324, 'name': 'Daniel Alves da Silva'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [102.8, 40.1], 'player': {'id': 25426, 'name': 'Marco Gastón Ruben Rodríguez'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': True}, {'location': [93.2, 1.5], 'player': {'id': 26765, 'name': 'José Manuel Catalá Mazuecos'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}, {'location': [99.6, 30.7], 'player': {'id': 6997, 'name': 'Borja Valero Iglesias'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': True}, {'location': [114.9, 34.8], 'player': {'id': 20176, 'name': 'Víctor Valdés Arribas'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}]",14ed1d1a-4db1-47aa-8f00-95b33ed0fb27,,Saved,0.12661667,Normal,Open Play,,,,Villarreal,222,00:11:50.149,Shot,,105.6,29.1,,,10,2,0,0,0.054911,0.006383,-0.048528,0.0,,0.12661667,0.12661667,,2024-09-07 18:28:08.318991,2011-04-02,2010/2011,Spain - La Liga,Villarreal vs Barcelona
,,,,,,,,,,,,,,,,1.5409,,,,,,,,,,,,,,86b8a1b5-2aa5-445f-a81f-89986a85a43f,609,,"[7.4, 5.1]",69304,11,,,,,0.07708274,,Left Foot,,,"[32.0, 7.0]",Low Pass,,24.673265,,,,,Ibrahim Afellay,,,,,,,1,Regular Play,Adriano Correia Claro,22102.0,Left Back,21,Barcelona,217,['18944979-6596-491f-974e-9893a878e116'],55,,,,,,,,,,,,,,,Barcelona,217,00:11:55.882,Pass,,7.4,5.1,32.0,7.0,0,0,2,0,0.006383,0.008449,0.002066,0.002066,,,,,2024-09-07 18:28:08.318991,2011-04-02,2010/2011,Spain - La Liga,Villarreal vs Barcelona
,,,,,,,,,,,,,,,,1.8126,,,,,,,,,,,,,,cf1c2ec6-46bc-4159-95b0-f7fc8c308eba,616,,"[56.4, 11.1]",69304,12,,,,,2.310541,,Left Foot,,,"[47.0, 21.4]",Ground Pass,,13.944533,,,,,Seydou Kéita,,,,,,,1,Regular Play,Ibrahim Afellay,4891.0,Left Wing,21,Barcelona,217,['2c0fa643-1da7-4417-99f8-bd433060a3d8'],2,,,,,,,,,,,,,,,Barcelona,217,00:12:02.596,Pass,,56.4,11.1,47.0,21.4,5,1,4,2,0.013845,0.012692,-0.0011529999999999995,0.0,,,,,2024-09-07 18:28:08.318991,2011-04-02,2010/2011,Spain - La Liga,Villarreal vs Barcelona
,,,,,,,,,,,,,,,,0.8259,,,,,,,,,,,,,,b5651bc3-9784-4d57-a9f2-c61d97d61fae,620,,"[49.1, 14.2]",69304,12,,,,,-3.093087,,Left Foot,,,"[38.8, 13.7]",Ground Pass,,10.312129,,,,,Adriano Correia Claro,,,,,,,1,Regular Play,Seydou Kéita,20169.0,Left Center Midfield,21,Barcelona,217,"['47089faa-452b-43c1-b77e-5ee8b4532c4b', 'eea7f4a8-e1ba-4ab2-8f5a-a559f9bb65c6']",6,,,,,,,,,,,,,,,Barcelona,217,00:12:06.788,Pass,True,49.1,14.2,38.8,13.7,4,1,3,1,0.012147,0.010595,-0.0015519999999999996,0.0,,,,,2024-09-07 18:28:08.318991,2011-04-02,2010/2011,Spain - La Liga,Villarreal vs Barcelona
,,,,,,,,,,,,,,,,1.3929,,,,,,,,,,,,,,0ad90afc-de21-4464-be8f-9848bc9d93d5,623,,"[38.8, 13.7]",69304,12,,,,,-0.76293004,,Right Foot,,,"[47.9, 5.0]",Ground Pass,,12.589679,,,,,Seydou Kéita,,,,,,,1,Regular Play,Adriano Correia Claro,22102.0,Left Back,21,Barcelona,217,['fd22cfda-46a1-4682-9278-e81db8bf7155'],7,,,,,,,,,,,,,,,Barcelona,217,00:12:07.713,Pass,,38.8,13.7,47.9,5.0,3,1,4,0,0.010595,0.011263,0.0006680000000000002,0.0006680000000000002,,,,,2024-09-07 18:28:08.318991,2011-04-02,2010/2011,Spain - La Liga,Villarreal vs Barcelona
