50_50,ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,team_id,timestamp,type,under_pressure,x,y,end_x,end_y,x1_bin,y1_bin,x2_bin,y2_bin,start_zone_value,end_zone_value,pass_xT,progressive_xT,expected_assists_xA,shot_statsbomb_xg_cum,xg_chain,xg_buildup,Extraction Date,match_date,season,competition,h2h
,,,,,,,,,,,,,,,2.482222,,,,,,,,,,,,,,,bc062516-eeb2-42c8-9e4b-dba64792a352,596,,"[29.3, 38.6]",69286,14,,,,1.3775848,,Right Foot,,"[34.7, 66.2]",,High Pass,,28.1233,,,,Henrique Adriano Buss,,,,,,,1,From Throw In,Gonzalo Colsa Albendea,26073.0,Right Defensive Midfield,37,Racing Santander,1217,['f5fe0b39-2d3e-4425-930a-9bc1518c3053'],25,,,,,,,,,,,,,,Racing Santander,1217,00:14:25.719,Pass,,29.3,38.6,34.7,66.2,2,3,3,6,0.010165,0.010595,0.0004299999999999998,0.0004299999999999998,,,,,2024-09-07 18:28:26.713517,2010-08-29,2010/2011,Spain - La Liga,Racing Santander vs Barcelona
,,,,,,,,,,,,,,,0.948244,,,,,,,,,,,,,,,9d3bb8e8-5215-4c52-b465-ba357898aec5,599,,"[41.9, 64.6]",69286,14,,,,-0.27073634,,Right Foot,,"[66.4, 57.8]",,Ground Pass,,25.426168,,,,Gonzalo Colsa Albendea,,,,,,,1,From Throw In,Henrique Adriano Buss,25358.0,Right Center Back,37,Racing Santander,1217,['24d3941d-18e5-457e-acb8-59669bf760f8'],30,,,,,,,,,,,,,,Racing Santander,1217,00:14:30.227,Pass,,41.9,64.6,66.4,57.8,3,6,6,5,0.010595,0.016856,0.006260999999999999,0.006260999999999999,,,,,2024-09-07 18:28:26.713517,2010-08-29,2010/2011,Spain - La Liga,Racing Santander vs Barcelona
,,,,,,,,,,,,,,,0.766134,,,,,,,,,,,,,,,5bf660a1-1daa-4eb6-9c2f-dba9ab4329e1,602,,"[66.4, 57.8]",69286,14,,,,2.7610862,,Right Foot,,"[56.4, 61.8]",,Ground Pass,,10.770329,,,,Papa Kouly Diop,,,,,,,1,From Throw In,Gonzalo Colsa Albendea,26073.0,Right Defensive Midfield,37,Racing Santander,1217,['050d0aba-7106-4181-95a0-e6d7f27a98be'],34,,,,,,,,,,,,,,Racing Santander,1217,00:14:34.849,Pass,,66.4,57.8,56.4,61.8,6,5,5,6,0.016856,0.013845,-0.003011,0.0,,,,,2024-09-07 18:28:26.713517,2010-08-29,2010/2011,Spain - La Liga,Racing Santander vs Barcelona
,,,,,,,,,,,,,,,2.088677,,,,,,,,,,,,,,,8eb808d2-8daa-42d0-a658-f695aa3abac6,606,,"[56.4, 52.9]",69286,14,,,,-1.3511628,,Right Foot,,"[66.2, 9.0]",,High Pass,,44.980553,,,,Domingo Cisma González,,,True,,,,1,From Throw In,Papa Kouly Diop,6867.0,Left Defensive Midfield,37,Racing Santander,1217,"['06bbea21-a788-4dd1-94b6-590e281c0d1d', '8e4329c5-872f-4d7c-8534-87c991a400de']",38,,,,,,,,,,,,,,Racing Santander,1217,00:14:38.176,Pass,True,56.4,52.9,66.2,9.0,5,5,6,0,0.014291,0.014736,0.00044500000000000095,0.00044500000000000095,,,,,2024-09-07 18:28:26.713517,2010-08-29,2010/2011,Spain - La Liga,Racing Santander vs Barcelona
,,,,,,,,,,,,,,,0.724959,,,,,,,,,,,,,,,84689761-5ab2-4270-9983-c3ae86956cb7,609,,"[71.1, 4.8]",69286,14,,,,1.3151515,,Left Foot,,"[73.4, 13.6]",,Ground Pass,,9.095603,,,,Manuel Jesús Arana Rodríguez,,,,,,,1,From Throw In,Domingo Cisma González,26238.0,Left Back,37,Racing Santander,1217,['a77dd77d-70eb-482e-8046-bb61cbdad559'],42,,,,,,,,,,,,,,Racing Santander,1217,00:14:42.598,Pass,,71.1,4.8,73.4,13.6,6,0,7,1,0.014736,0.018703,0.003967,0.003967,,,,,2024-09-07 18:28:26.713517,2010-08-29,2010/2011,Spain - La Liga,Racing Santander vs Barcelona
,,,,,,,,,,,,,,,0.776335,,,,,,,,,,,,,,,5562c6c4-f98a-4574-af1a-2f367a329edf,612,,"[73.4, 13.6]",69286,14,,,,-2.9521809,,Right Foot,,"[54.1, 9.9]",,Ground Pass,,19.651463,,,,Marc Torrejón Moya,,,,,,,1,From Throw In,Manuel Jesús Arana Rodríguez,26665.0,Left Midfield,37,Racing Santander,1217,['eab04f25-d204-4408-a327-624fce2f10f4'],43,,,,,,,,,,,,,,Racing Santander,1217,00:14:43.576,Pass,,73.4,13.6,54.1,9.9,7,1,5,0,0.018703,0.012483,-0.006220000000000002,0.0,,,,,2024-09-07 18:28:26.713517,2010-08-29,2010/2011,Spain - La Liga,Racing Santander vs Barcelona
,,,,,,,,,,,,,,,3.300508,,,,,,,,,,,,,,,f03e536a-1c98-4ccb-9004-f779dfd788f6,615,,"[57.3, 21.8]",69286,14,,,,0.90178007,,Right Foot,,"[99.6, 75.3]",,High Pass,,68.2022,,,,Kennedy Bakircioglu,,,True,,,,1,From Throw In,Marc Torrejón Moya,26163.0,Left Center Back,37,Racing Santander,1217,['26d1a30a-9f06-41cf-8161-72b2fcac99b3'],47,,,,,,,,,,,,,,Racing Santander,1217,00:14:47.426,Pass,,57.3,21.8,99.6,75.3,5,2,9,7,0.014291,0.027563,0.013272,0.013272,,,,,2024-09-07 18:28:26.713517,2010-08-29,2010/2011,Spain - La Liga,Racing Santander vs Barcelona
,,,,,,,,,,,,,,,2.4248,,,,,,,,,,,,,,,be04fa44-6c8c-414d-89dc-2b866b6895e1,622,,"[40.5, 25.8]",69286,15,,,,1.7427344,,Right Foot,,"[34.7, 59.2]",,Ground Pass,,33.899853,,,,Gerard Piqué Bernabéu,,,,,,Free Kick,1,From Free Kick,Eric-Sylvain Bilal Abidal,20177.0,Left Center Back,38,Barcelona,217,['40418f97-fa4e-440e-8d4b-12a8b3629323'],7,,,,,,,,,,,,,,Barcelona,217,00:15:07.054,Pass,,40.5,25.8,34.7,59.2,3,2,3,5,0.011105,0.011105,0.0,0.0,,,,,2024-09-07 18:28:26.713517,2010-08-29,2010/2011,Spain - La Liga,Racing Santander vs Barcelona
,,,,,,,,,,,,,,,1.1477,,,,,,,,,,,,,,,5607fa24-9c9e-4504-a4db-35588d2bb116,624,,"[34.5, 61.1]",69286,15,True,,,0.9048271,,Right Foot,,"[46.6, 76.5]",,Ground Pass,,19.584944,,,,Daniel Alves da Silva,,,,,,,1,From Free Kick,Gerard Piqué Bernabéu,5213.0,Right Center Back,38,Barcelona,217,['3fcc272a-32f7-4267-a206-f7d6aa45e8b6'],9,,,,,,,,,,,,,,Barcelona,217,00:15:09.662,Pass,,34.5,61.1,46.6,76.5,3,6,4,7,0.010595,0.011263,0.0006680000000000002,0.0006680000000000002,,,,,2024-09-07 18:28:26.713517,2010-08-29,2010/2011,Spain - La Liga,Racing Santander vs Barcelona
,,,,,,,,,,,,,,,1.18,,,,,,,,,,,,,,,ffe5fdd8-fe11-48fd-b499-1202e1866cd5,626,,"[57.8, 76.7]",69286,15,,,,-0.8113664,,Right Foot,,"[65.3, 68.8]",,Low Pass,,10.893117,,,,Lionel Andrés Messi Cuccittini,,,,,,,1,From Free Kick,Daniel Alves da Silva,4324.0,Right Back,38,Barcelona,217,['ef5dd656-2516-4201-b38b-77a2e310b16a'],12,,,,,,,,,,,,,,Barcelona,217,00:15:12.728,Pass,,57.8,76.7,65.3,68.8,5,7,6,6,0.012483,0.016118,0.003635000000000001,0.003635000000000001,,,,,2024-09-07 18:28:26.713517,2010-08-29,2010/2011,Spain - La Liga,Racing Santander vs Barcelona
